Label	PAM_light	Fm'	PAM_dark	Fm	CBASS_date	Species	Condition	Timepoint	Temp	Replicate		NPQ	QM	Species	Temp	NPQ_Mean	QM_Mean
20240911_Acro_Green_LL_420_40_1	0.017	176	0	231	20240911	Acro_Green	LL	420	40	1	20240911_Acro_Green_LL_420_40_1	0.3125	0.238168831	AcroG	28	0.262318292	
20240911_Acro_Green_LL_420_40_2	0.01	1040	0.003	319	20240911	Acro_Green	LL	420	40	2	20240911_Acro_Green_LL_420_40_2	-0.693269231	-2.2601874	AcroB	28	-0.136547183	
20240911_Acro_Green_LL_420_40_3	0.091	1545	0.025	762	20240911	Acro_Green	LL	420	40	3	20240911_Acro_Green_LL_420_40_3	-0.506796117	-1.027506152	MontiG	28	0.076517651	
20240911_Acro_Green_LL_420_37_1	0.28	1159	0.294	946	20240911	Acro_Green	LL	420	37	1	20240911_Acro_Green_LL_420_37_1	-0.18377912	-0.225243363	MontiB	28	0.150611175	
20240911_Acro_Green_LL_420_37_2	0.22	1461	0.306	1764	20240911	Acro_Green	LL	420	37	2	20240911_Acro_Green_LL_420_37_2	0.207392197	0.171749748	AcroG	34	0.708474626	
20240911_Acro_Green_LL_420_37_3	0.312	312	0.307	618	20240911	Acro_Green	LL	420	37	3	20240911_Acro_Green_LL_420_37_3	0.980769231	0.495399818	AcroB	34	0.382463145	
20240911_Acro_Green_LL_420_34_1	0.442	1184	0.526	1987	20240911	Acro_Green	LL	420	34	1	20240911_Acro_Green_LL_420_34_1	0.678209459	0.404191547	MontiG	34	0.307049734	
20240911_Acro_Green_LL_420_34_2	0.364	1027	0.524	1908	20240911	Acro_Green	LL	420	34	2	20240911_Acro_Green_LL_420_34_2	0.857838364	0.461783005	MontiB	34	1.310478571	
20240911_Acro_Green_LL_420_34_3	0.487	1186	0.554	1885	20240911	Acro_Green	LL	420	34	3	20240911_Acro_Green_LL_420_34_3	0.589376054	0.370895743	AcroG	37	0.334794103	
20240911_Acro_Green_LL_420_28_1	0.512	2075	0.632	1849	20240911	Acro_Green	LL	420	28	1	20240911_Acro_Green_LL_420_28_1	-0.108915663	-0.122334946	AcroB	37	-0.116720583	
20240911_Acro_Green_LL_420_28_2	0.488	1608	0.623	2106	20240911	Acro_Green	LL	420	28	2	20240911_Acro_Green_LL_420_28_2	0.309701493	0.236473088	MontiG	37	0.344171536	
20240911_Acro_Green_LL_420_28_3	0.442	1822	0.625	2890	20240911	Acro_Green	LL	420	28	3	20240911_Acro_Green_LL_420_28_3	0.586169045	0.369566775	MontiB	37	0.511411614	
20240911_Acro_Brown_LL_420_40_1	0.01	319	0.038	213	20240911	Acro_Brown	LL	420	40	1	20240911_Acro_Brown_LL_420_40_1	-0.332288401	-0.49787286	AcroG	40	-0.295855116	
