Label	PAM_light	Fm'	PAM_dark	Fm	CBASS_date	Species	Condition	Timepoint	Temp	Replicate						
20240911_Acro_Green_LL_1050_40_1	0.071	99	0.031	159	20240911	Acro_Green	LL	1050	40	1	20240911_Acro_Green_LL_1050_40_1					
20240911_Acro_Green_LL_1050_40_2	0.07	611	0.004	774	20240911	Acro_Green	LL	1050	40	2	20240911_Acro_Green_LL_1050_40_2					
20240911_Acro_Green_LL_1050_40_3	0.088	1356	0.063	1254	20240911	Acro_Green	LL	1050	40	3	20240911_Acro_Green_LL_1050_40_3					
20240911_Acro_Green_LL_1050_37_1	0.085	59	0.179	1094	20240911	Acro_Green	LL	1050	37	1	20240911_Acro_Green_LL_1050_37_1					
20240911_Acro_Green_LL_1050_37_2	0.194	232	0.255	2201	20240911	Acro_Green	LL	1050	37	2	20240911_Acro_Green_LL_1050_37_2					
20240911_Acro_Green_LL_1050_37_3	0.079	837	0.169	693	20240911	Acro_Green	LL	1050	37	3	20240911_Acro_Green_LL_1050_37_3					
20240911_Acro_Green_LL_1050_34_1	0.449	2456	0.578	1879	20240911	Acro_Green	LL	1050	34	1	20240911_Acro_Green_LL_1050_34_1					
20240911_Acro_Green_LL_1050_34_2	0.436	1876	0.517	1840	20240911	Acro_Green	LL	1050	34	2	20240911_Acro_Green_LL_1050_34_2					
20240911_Acro_Green_LL_1050_34_3	0.483	1878	0.6	3279	20240911	Acro_Green	LL	1050	34	3	20240911_Acro_Green_LL_1050_34_3					
20240911_Acro_Green_LL_1050_28_1	0.632	1963	0.599	1815	20240911	Acro_Green	LL	1050	28	1	20240911_Acro_Green_LL_1050_28_1					
20240911_Acro_Green_LL_1050_28_2	0.534	2013	0.591	679	20240911	Acro_Green	LL	1050	28	2	20240911_Acro_Green_LL_1050_28_2					
20240911_Acro_Green_LL_1050_28_3	0.635	1925	0.627	2507	20240911	Acro_Green	LL	1050	28	3	20240911_Acro_Green_LL_1050_28_3					
20240911_Acro_Brown_LL_1050_40_1	0.009	218	0.009	429	20240911	Acro_Brown	LL	1050	40	1	20240911_Acro_Brown_LL_1050_40_1					
20240911_Acro_Brown_LL_1050_40_2	0.033	270	0	800	20240911	Acro_Brown	LL	1050	40	2	20240911_Acro_Brown_LL_1050_40_2					
20240911_Acro_Brown_LL_1050_40_3	0.011	567	0.01	305	20240911	Acro_Brown	LL	1050	40	3	20240911_Acro_Brown_LL_1050_40_3					
20240911_Acro_Brown_LL_1050_37_1	0.086	1015	0.281	1205	20240911	Acro_Brown	LL	1050	37	1	20240911_Acro_Brown_LL_1050_37_1					
20240911_Acro_Brown_LL_1050_37_2	0.087	852	0.243	1521	20240911	Acro_Brown	LL	1050	37	2	20240911_Acro_Brown_LL_1050_37_2					
20240911_Acro_Brown_LL_1050_37_3	0.004	1119	0.159	1731	20240911	Acro_Brown	LL	1050	37	3	20240911_Acro_Brown_LL_1050_37_3					
20240911_Acro_Brown_LL_1050_34_1	0.442	1993	0.526	2173	20240911	Acro_Brown	LL	1050	34	1	20240911_Acro_Brown_LL_1050_34_1					
20240911_Acro_Brown_LL_1050_34_2	0.539	1680	0.506	1497	20240911	Acro_Brown	LL	1050	34	2	20240911_Acro_Brown_LL_1050_34_2					
