Label	PAM_light	Fm'	PAM_dark	Fm	CBASS_date	Species	Condition	Timepoint	Temp	Replicate	
20240917_Acro_Green_HL_420_40_1	0.007	1504	0.08	373	20240917	Acro_Green	HL	420	40	1	20240917_Acro_Green_HL_420_40_1
20240917_Acro_Green_HL_420_40_2	0.017	1865	0.087	1604	20240917	Acro_Green	HL	420	40	2	20240917_Acro_Green_HL_420_40_2
20240917_Acro_Green_HL_420_40_3	0.072	1169	0.03	601	20240917	Acro_Green	HL	420	40	3	20240917_Acro_Green_HL_420_40_3
20240917_Acro_Green_HL_420_37_1	0.076	893	0.037	486	20240917	Acro_Green	HL	420	37	1	20240917_Acro_Green_HL_420_37_1
20240917_Acro_Green_HL_420_37_2	0.144	569	0.035	849	20240917	Acro_Green	HL	420	37	2	20240917_Acro_Green_HL_420_37_2
20240917_Acro_Green_HL_420_37_3	0.071	748	0.091	824	20240917	Acro_Green	HL	420	37	3	20240917_Acro_Green_HL_420_37_3
20240917_Acro_Green_HL_420_34_1	0.195	1197	0.481	2911	20240917	Acro_Green	HL	420	34	1	20240917_Acro_Green_HL_420_34_1
20240917_Acro_Green_HL_420_34_2	0.278	1369	0.343	2358	20240917	Acro_Green	HL	420	34	2	20240917_Acro_Green_HL_420_34_2
20240917_Acro_Green_HL_420_34_3	0.173	999	0.431	2231	20240917	Acro_Green	HL	420	34	3	20240917_Acro_Green_HL_420_34_3
20240917_Acro_Green_HL_420_28_1	0.32	1253	0.522	2527	20240917	Acro_Green	HL	420	28	1	20240917_Acro_Green_HL_420_28_1
20240917_Acro_Green_HL_420_28_2	0.33	2111	0.549	3027	20240917	Acro_Green	HL	420	28	2	20240917_Acro_Green_HL_420_28_2
20240917_Acro_Green_HL_420_28_3	0.217	1503	0.543	2659	20240917	Acro_Green	HL	420	28	3	20240917_Acro_Green_HL_420_28_3
20240917_Acro_Brown_HL_420_40_1	0.055	384	0.094	180	20240917	Acro_Brown	HL	420	40	1	20240917_Acro_Brown_HL_420_40_1
20240917_Acro_Brown_HL_420_40_2	0.078	193	0.068	59	20240917	Acro_Brown	HL	420	40	2	20240917_Acro_Brown_HL_420_40_2
20240917_Acro_Brown_HL_420_40_3	0.061	668	0.082	342	20240917	Acro_Brown	HL	420	40	3	20240917_Acro_Brown_HL_420_40_3
20240917_Acro_Brown_HL_420_37_1	0.089	548	0.049	865	20240917	Acro_Brown	HL	420	37	1	20240917_Acro_Brown_HL_420_37_1
20240917_Acro_Brown_HL_420_37_2	0.026	541	0.004	950	20240917	Acro_Brown	HL	420	37	2	20240917_Acro_Brown_HL_420_37_2
20240917_Acro_Brown_HL_420_37_3	0.053	551	0.065	1279	20240917	Acro_Brown	HL	420	37	3	20240917_Acro_Brown_HL_420_37_3
20240917_Acro_Brown_HL_420_34_1	0.102	587	0.29	2215	20240917	Acro_Brown	HL	420	34	1	20240917_Acro_Brown_HL_420_34_1
20240917_Acro_Brown_HL_420_34_2	0.159	1313	0.325	2811	20240917	Acro_Brown	HL	420	34	2	20240917_Acro_Brown_HL_420_34_2
20240917_Acro_Brown_HL_420_34_3	0.106	1218	0.405	2802	20240917	Acro_Brown	HL	420	34	3	20240917_Acro_Brown_HL_420_34_3
20240917_Acro_Brown_HL_420_28_1	0.113	1413	0.467	2603	20240917	Acro_Brown	HL	420	28	1	20240917_Acro_Brown_HL_420_28_1
20240917_Acro_Brown_HL_420_28_2	0.147	1662	0.477	2394	20240917	Acro_Brown	HL	420	28	2	20240917_Acro_Brown_HL_420_28_2
20240917_Acro_Brown_HL_420_28_3	0.197	1971	0.498	2741	20240917	Acro_Brown	HL	420	28	3	20240917_Acro_Brown_HL_420_28_3
20240917_Monti_Green_HL_420_40_1	0.01	1655	0.069	1833	20240917	Monti_Green	HL	420	40	1	20240917_Monti_Green_HL_420_40_1
20240917_Monti_Green_HL_420_40_2	0.042	1659	0.062	1796	20240917	Monti_Green	HL	420	40	2	20240917_Monti_Green_HL_420_40_2
20240917_Monti_Green_HL_420_40_3	0.03	1754	0.018	1893	20240917	Monti_Green	HL	420	40	3	20240917_Monti_Green_HL_420_40_3
20240917_Monti_Green_HL_420_37_1	0.131	709	0.048	1878	20240917	Monti_Green	HL	420	37	1	20240917_Monti_Green_HL_420_37_1
20240917_Monti_Green_HL_420_37_2	0.091	528	0.095	1230	20240917	Monti_Green	HL	420	37	2	20240917_Monti_Green_HL_420_37_2
20240917_Monti_Green_HL_420_37_3	0.106	526	0.03	1513	20240917	Monti_Green	HL	420	37	3	20240917_Monti_Green_HL_420_37_3
20240917_Monti_Green_HL_420_34_1	0.258	1154	0.295	2395	20240917	Monti_Green	HL	420	34	1	20240917_Monti_Green_HL_420_34_1
20240917_Monti_Green_HL_420_34_2	0.153	963	0.324	3401	20240917	Monti_Green	HL	420	34	2	20240917_Monti_Green_HL_420_34_2
20240917_Monti_Green_HL_420_34_3	0.226	1101	0.34	2045	20240917	Monti_Green	HL	420	34	3	20240917_Monti_Green_HL_420_34_3
20240917_Monti_Green_HL_420_28_1	0.107	1127	0.354	1868	20240917	Monti_Green	HL	420	28	1	20240917_Monti_Green_HL_420_28_1
20240917_Monti_Green_HL_420_28_2	0.175	1553	0.345	2299	20240917	Monti_Green	HL	420	28	2	20240917_Monti_Green_HL_420_28_2
20240917_Monti_Green_HL_420_28_3	0.123	1383	0.371	1910	20240917	Monti_Green	HL	420	28	3	20240917_Monti_Green_HL_420_28_3
20240917_Monti_Brown_HL_420_40_1	0.016	2192	0.016	1854	20240917	Monti_Brown	HL	420	40	1	20240917_Monti_Brown_HL_420_40_1
20240917_Monti_Brown_HL_420_40_2	0.011	2264	0.015	1671	20240917	Monti_Brown	HL	420	40	2	20240917_Monti_Brown_HL_420_40_2
20240917_Monti_Brown_HL_420_40_3	0.035	2077	0.074	1890	20240917	Monti_Brown	HL	420	40	3	20240917_Monti_Brown_HL_420_40_3
