Label	PAM_light	Fm'	PAM_dark	Fm	CBASS_date	Species	Condition	Timepoint	Temp	Replicate	
20240917_Acro_Green_HL_1050_40_1	0.038	826	0.01	667	20240917	Acro_Green	HL	1050	40	1	20240917_Acro_Green_HL_1050_40_1
20240917_Acro_Green_HL_1050_40_2	0.001	943	0.004	1248	20240917	Acro_Green	HL	1050	40	2	20240917_Acro_Green_HL_1050_40_2
20240917_Acro_Green_HL_1050_40_3	0.032	308	0.036	524	20240917	Acro_Green	HL	1050	40	3	20240917_Acro_Green_HL_1050_40_3
20240917_Acro_Green_HL_1050_37_1	0.183	682	0.055	832	20240917	Acro_Green	HL	1050	37	1	20240917_Acro_Green_HL_1050_37_1
20240917_Acro_Green_HL_1050_37_2	0.216	708	0.014	568	20240917	Acro_Green	HL	1050	37	2	20240917_Acro_Green_HL_1050_37_2
20240917_Acro_Green_HL_1050_37_3	0.17	1191	0.034	1458	20240917	Acro_Green	HL	1050	37	3	20240917_Acro_Green_HL_1050_37_3
20240917_Acro_Green_HL_1050_34_1	0.221	836	0.457	1573	20240917	Acro_Green	HL	1050	34	1	20240917_Acro_Green_HL_1050_34_1
20240917_Acro_Green_HL_1050_34_2	0.287	1118	0.513	2602	20240917	Acro_Green	HL	1050	34	2	20240917_Acro_Green_HL_1050_34_2
20240917_Acro_Green_HL_1050_34_3	0.328	1320	0.47	2525	20240917	Acro_Green	HL	1050	34	3	20240917_Acro_Green_HL_1050_34_3
20240917_Acro_Green_HL_1050_28_1	0.301	1320	0.528	2043	20240917	Acro_Green	HL	1050	28	1	20240917_Acro_Green_HL_1050_28_1
20240917_Acro_Green_HL_1050_28_2	0.402	2524	0.598	2930	20240917	Acro_Green	HL	1050	28	2	20240917_Acro_Green_HL_1050_28_2
20240917_Acro_Green_HL_1050_28_3	0.489	1210	0.525	2241	20240917	Acro_Green	HL	1050	28	3	20240917_Acro_Green_HL_1050_28_3
20240917_Acro_Brown_HL_1050_40_1	0.008	125	0.055	218	20240917	Acro_Brown	HL	1050	40	1	20240917_Acro_Brown_HL_1050_40_1
20240917_Acro_Brown_HL_1050_40_2	0.037	82	0.069	232	20240917	Acro_Brown	HL	1050	40	2	20240917_Acro_Brown_HL_1050_40_2
20240917_Acro_Brown_HL_1050_40_3	0.05	379	0.098	377	20240917	Acro_Brown	HL	1050	40	3	20240917_Acro_Brown_HL_1050_40_3
20240917_Acro_Brown_HL_1050_37_1	0.011	527	0.096	596	20240917	Acro_Brown	HL	1050	37	1	20240917_Acro_Brown_HL_1050_37_1
20240917_Acro_Brown_HL_1050_37_2	0.078	877	0.087	1150	20240917	Acro_Brown	HL	1050	37	2	20240917_Acro_Brown_HL_1050_37_2
20240917_Acro_Brown_HL_1050_37_3	0.011	758	0.029	941	20240917	Acro_Brown	HL	1050	37	3	20240917_Acro_Brown_HL_1050_37_3
20240917_Acro_Brown_HL_1050_34_1	0.116	747	0.45	2134	20240917	Acro_Brown	HL	1050	34	1	20240917_Acro_Brown_HL_1050_34_1
20240917_Acro_Brown_HL_1050_34_2	0.149	733	0.47	2416	20240917	Acro_Brown	HL	1050	34	2	20240917_Acro_Brown_HL_1050_34_2
20240917_Acro_Brown_HL_1050_34_3	0.115	1126	0.452	2388	20240917	Acro_Brown	HL	1050	34	3	20240917_Acro_Brown_HL_1050_34_3
20240917_Acro_Brown_HL_1050_28_1	0.303	1834	0.551	2671	20240917	Acro_Brown	HL	1050	28	1	20240917_Acro_Brown_HL_1050_28_1
20240917_Acro_Brown_HL_1050_28_2	0.289	1916	0.568	1961	20240917	Acro_Brown	HL	1050	28	2	20240917_Acro_Brown_HL_1050_28_2
20240917_Acro_Brown_HL_1050_28_3	0.324	1331	0.506	2415	20240917	Acro_Brown	HL	1050	28	3	20240917_Acro_Brown_HL_1050_28_3
20240917_Monti_Green_HL_1050_40_1	0.084	1495	0.08	2228	20240917	Monti_Green	HL	1050	40	1	20240917_Monti_Green_HL_1050_40_1
20240917_Monti_Green_HL_1050_40_2	0.023	1620	0.082	2120	20240917	Monti_Green	HL	1050	40	2	20240917_Monti_Green_HL_1050_40_2
