"Plot Title: 20240911_CBASS_LL_34C"
"#","Date Time, GMT+02:00","Temp, °C (LGR S/N: 21793880, SEN S/N: 21793880)","Coupler Attached (LGR S/N: 21793880)","Host Connected (LGR S/N: 21793880)","Stopped (LGR S/N: 21793880)","End Of File (LGR S/N: 21793880)"
1,09/11/24 12:00:00 PM,27.961,,,,
2,09/11/24 12:05:00 PM,28.159,,,,
3,09/11/24 12:10:00 PM,28.060,,,,
4,09/11/24 12:15:00 PM,27.961,,,,
5,09/11/24 12:20:00 PM,27.862,,,,
6,09/11/24 12:25:00 PM,27.764,,,,
7,09/11/24 12:30:00 PM,27.665,,,,
8,09/11/24 12:35:00 PM,27.567,,,,
9,09/11/24 12:40:00 PM,27.468,,,,
10,09/11/24 12:45:00 PM,27.370,,,,
11,09/11/24 12:50:00 PM,27.272,,,,
12,09/11/24 12:55:00 PM,27.961,,,,
13,09/11/24 01:00:00 PM,28.357,,,,
14,09/11/24 01:05:00 PM,28.456,,,,
15,09/11/24 01:10:00 PM,29.252,,,,
16,09/11/24 01:15:00 PM,29.352,,,,
17,09/11/24 01:20:00 PM,28.953,,,,
18,09/11/24 01:25:00 PM,28.555,,,,
19,09/11/24 01:30:00 PM,28.853,,,,
20,09/11/24 01:35:00 PM,28.853,,,,
21,09/11/24 01:40:00 PM,28.754,,,,
22,09/11/24 01:45:00 PM,28.655,,,,
23,09/11/24 01:50:00 PM,29.352,,,,
24,09/11/24 01:55:00 PM,30.356,,,,
25,09/11/24 02:00:00 PM,30.154,,,,
26,09/11/24 02:05:00 PM,29.652,,,,
27,09/11/24 02:10:00 PM,29.652,,,,
28,09/11/24 02:15:00 PM,30.154,,,,
29,09/11/24 02:20:00 PM,30.154,,,,
30,09/11/24 02:25:00 PM,30.862,,,,
31,09/11/24 02:30:00 PM,31.370,,,,
32,09/11/24 02:35:00 PM,30.963,,,,
33,09/11/24 02:40:00 PM,30.659,,,,
34,09/11/24 02:45:00 PM,31.370,,,,
35,09/11/24 02:50:00 PM,31.472,,,,
36,09/11/24 02:55:00 PM,31.472,,,,
37,09/11/24 03:00:00 PM,32.291,,,,
38,09/11/24 03:05:00 PM,32.188,,,,
39,09/11/24 03:10:00 PM,32.188,,,,
40,09/11/24 03:15:00 PM,32.291,,,,
41,09/11/24 03:20:00 PM,31.880,,,,
42,09/11/24 03:25:00 PM,31.983,,,,
43,09/11/24 03:30:00 PM,33.014,,,,
44,09/11/24 03:35:00 PM,33.535,,,,
45,09/11/24 03:40:00 PM,33.014,,,,
46,09/11/24 03:45:00 PM,32.704,,,,
47,09/11/24 03:50:00 PM,33.326,,,,
48,09/11/24 03:55:00 PM,33.222,,,,
49,09/11/24 04:00:00 PM,33.430,,,,
50,09/11/24 04:05:00 PM,34.374,,,,
51,09/11/24 04:10:00 PM,34.268,,,,
52,09/11/24 04:15:00 PM,33.743,,,,
53,09/11/24 04:20:00 PM,33.743,,,,
54,09/11/24 04:25:00 PM,34.479,,,,
55,09/11/24 04:30:00 PM,34.163,,,,
56,09/11/24 04:35:00 PM,33.535,,,,
57,09/11/24 04:40:00 PM,33.953,,,,
58,09/11/24 04:45:00 PM,34.268,,,,
59,09/11/24 04:50:00 PM,34.058,,,,
60,09/11/24 04:55:00 PM,33.639,,,,
61,09/11/24 05:00:00 PM,33.743,,,,
62,09/11/24 05:05:00 PM,34.268,,,,
63,09/11/24 05:10:00 PM,34.058,,,,
64,09/11/24 05:15:00 PM,33.743,,,,
65,09/11/24 05:20:00 PM,33.535,,,,
66,09/11/24 05:25:00 PM,34.163,,,,
67,09/11/24 05:30:00 PM,34.374,,,,
68,09/11/24 05:35:00 PM,33.848,,,,
69,09/11/24 05:40:00 PM,33.535,,,,
70,09/11/24 05:45:00 PM,34.268,,,,
71,09/11/24 05:50:00 PM,34.268,,,,
72,09/11/24 05:55:00 PM,33.743,,,,
73,09/11/24 06:00:00 PM,33.639,,,,
74,09/11/24 06:05:00 PM,34.479,,,,
75,09/11/24 06:10:00 PM,34.268,,,,
76,09/11/24 06:15:00 PM,33.639,,,,
77,09/11/24 06:20:00 PM,33.639,,,,
78,09/11/24 06:25:00 PM,34.163,,,,
