"Plot Title: 20240917_CBASS_LL_37C"
"#","Date Time, GMT+02:00","Temp, °C (LGR S/N: 21793879, SEN S/N: 21793879)","Coupler Attached (LGR S/N: 21793879)","Host Connected (LGR S/N: 21793879)","Coupler Detached (LGR S/N: 21793879)","Stopped (LGR S/N: 21793879)","End Of File (LGR S/N: 21793879)"
1,09/17/24 12:00:00 PM,27.567,,,,,
2,09/17/24 12:05:00 PM,27.764,,,,,
3,09/17/24 12:10:00 PM,28.456,,,,,
4,09/17/24 12:15:00 PM,28.258,,,,,
5,09/17/24 12:20:00 PM,27.862,,,,,
6,09/17/24 12:25:00 PM,27.468,,,,,
7,09/17/24 12:30:00 PM,27.665,,,,,
8,09/17/24 12:35:00 PM,28.258,,,,,
9,09/17/24 12:40:00 PM,28.060,,,,,
10,09/17/24 12:45:00 PM,27.665,,,,,
11,09/17/24 12:50:00 PM,27.567,,,,,
12,09/17/24 12:55:00 PM,27.468,,,,,
13,09/17/24 01:00:00 PM,27.862,,,,,
14,09/17/24 01:05:00 PM,29.652,,,,,
15,09/17/24 01:10:00 PM,30.963,,,,,
16,09/17/24 01:15:00 PM,31.064,,,,,
17,09/17/24 01:20:00 PM,30.760,,,,,
18,09/17/24 01:25:00 PM,30.356,,,,,
19,09/17/24 01:30:00 PM,30.255,,,,,
20,09/17/24 01:35:00 PM,30.255,,,,,
21,09/17/24 01:40:00 PM,31.268,,,,,
22,09/17/24 01:45:00 PM,32.394,,,,,
23,09/17/24 01:50:00 PM,32.291,,,,,
24,09/17/24 01:55:00 PM,31.983,,,,,
25,09/17/24 02:00:00 PM,31.574,,,,,
26,09/17/24 02:05:00 PM,31.676,,,,,
27,09/17/24 02:10:00 PM,32.807,,,,,
28,09/17/24 02:15:00 PM,33.848,,,,,
29,09/17/24 02:20:00 PM,33.743,,,,,
30,09/17/24 02:25:00 PM,33.326,,,,,
31,09/17/24 02:30:00 PM,32.911,,,,,
32,09/17/24 02:35:00 PM,33.535,,,,,
33,09/17/24 02:40:00 PM,34.058,,,,,
34,09/17/24 02:45:00 PM,35.009,,,,,
35,09/17/24 02:50:00 PM,35.222,,,,,
36,09/17/24 02:55:00 PM,35.115,,,,,
37,09/17/24 03:00:00 PM,34.903,,,,,
38,09/17/24 03:05:00 PM,34.796,,,,,
39,09/17/24 03:10:00 PM,34.585,,,,,
40,09/17/24 03:15:00 PM,35.222,,,,,
41,09/17/24 03:20:00 PM,36.403,,,,,
42,09/17/24 03:25:00 PM,36.620,,,,,
43,09/17/24 03:30:00 PM,36.295,,,,,
44,09/17/24 03:35:00 PM,36.079,,,,,
45,09/17/24 03:40:00 PM,36.837,,,,,
46,09/17/24 03:45:00 PM,37.274,,,,,
47,09/17/24 03:50:00 PM,38.046,,,,,
48,09/17/24 03:55:00 PM,38.157,,,,,
49,09/17/24 04:00:00 PM,37.935,,,,,
50,09/17/24 04:05:00 PM,37.604,,,,,
51,09/17/24 04:10:00 PM,37.384,,,,,
52,09/17/24 04:15:00 PM,37.604,,,,,
53,09/17/24 04:20:00 PM,38.157,,,,,
54,09/17/24 04:25:00 PM,38.046,,,,,
55,09/17/24 04:30:00 PM,37.714,,,,,
56,09/17/24 04:35:00 PM,37.384,,,,,
57,09/17/24 04:40:00 PM,37.824,,,,,
58,09/17/24 04:45:00 PM,38.268,,,,,
59,09/17/24 04:50:00 PM,37.824,,,,,
60,09/17/24 04:55:00 PM,37.384,,,,,
61,09/17/24 05:00:00 PM,37.935,,,,,
62,09/17/24 05:05:00 PM,38.268,,,,,
63,09/17/24 05:10:00 PM,37.824,,,,,
64,09/17/24 05:15:00 PM,37.384,,,,,
65,09/17/24 05:20:00 PM,37.935,,,,,
66,09/17/24 05:25:00 PM,38.046,,,,,
67,09/17/24 05:30:00 PM,37.714,,,,,
68,09/17/24 05:35:00 PM,37.494,,,,,
69,09/17/24 05:40:00 PM,37.274,,,,,
70,09/17/24 05:45:00 PM,37.935,,,,,
71,09/17/24 05:50:00 PM,38.157,,,,,
72,09/17/24 05:55:00 PM,37.604,,,,,
73,09/17/24 06:00:00 PM,37.384,,,,,
74,09/17/24 06:05:00 PM,37.824,,,,,
75,09/17/24 06:10:00 PM,38.046,,,,,
76,09/17/24 06:15:00 PM,37.604,,,,,
77,09/17/24 06:20:00 PM,37.494,,,,,
78,09/17/24 06:25:00 PM,38.046,,,,,
79,09/17/24 06:30:00 PM,37.714,,,,,
80,09/17/24 06:35:00 PM,37.384,,,,,
81,09/17/24 06:40:00 PM,37.824,,,,,
82,09/17/24 06:45:00 PM,38.046,,,,,
83,09/17/24 06:50:00 PM,37.935,,,,,
84,09/17/24 06:55:00 PM,37.604,,,,,
85,09/17/24 07:00:00 PM,37.384,,,,,
86,09/17/24 07:05:00 PM,36.511,,,,,
87,09/17/24 07:10:00 PM,35.864,,,,,
88,09/17/24 07:15:00 PM,35.222,,,,,
89,09/17/24 07:20:00 PM,34.691,,,,,
90,09/17/24 07:25:00 PM,34.163,,,,,
91,09/17/24 07:30:00 PM,33.535,,,,,
92,09/17/24 07:35:00 PM,32.600,,,,,
93,09/17/24 07:40:00 PM,31.983,,,,,
94,09/17/24 07:45:00 PM,31.472,,,,,
95,09/17/24 07:50:00 PM,30.963,,,,,
96,09/17/24 07:55:00 PM,30.457,,,,,
97,09/17/24 08:00:00 PM,29.953,,,,,
98,09/17/24 08:05:00 PM,29.452,,,,,
99,09/17/24 08:10:00 PM,28.953,,,,,
100,09/17/24 08:15:00 PM,28.555,,,,,
101,09/17/24 08:20:00 PM,28.159,,,,,
102,09/17/24 08:25:00 PM,27.764,,,,,
103,09/17/24 08:30:00 PM,27.567,,,,,
104,09/17/24 08:35:00 PM,28.258,,,,,
105,09/17/24 08:40:00 PM,28.357,,,,,
106,09/17/24 08:45:00 PM,27.961,,,,,
107,09/17/24 08:50:00 PM,27.567,,,,,
108,09/17/24 08:55:00 PM,27.468,,,,,
109,09/17/24 09:00:00 PM,27.370,,,,,
110,09/17/24 09:05:00 PM,27.665,,,,,
111,09/17/24 09:10:00 PM,27.862,,,,,
112,09/17/24 09:15:00 PM,27.665,,,,,
113,09/17/24 09:20:00 PM,27.567,,,,,
114,09/17/24 09:25:00 PM,27.468,,,,,
115,09/17/24 09:30:00 PM,27.370,,,,,
116,09/17/24 09:35:00 PM,27.567,,,,,
117,09/17/24 09:40:00 PM,28.258,,,,,
118,09/17/24 09:45:00 PM,28.159,,,,,
119,09/17/24 09:50:00 PM,27.665,,,,,
120,09/17/24 09:55:00 PM,27.468,,,,,
121,09/17/24 10:00:00 PM,27.370,,,,,
122,09/17/24 10:05:00 PM,27.961,,,,,
123,09/17/24 10:10:00 PM,28.258,,,,,
124,09/17/24 10:15:00 PM,27.862,,,,,
125,09/17/24 10:20:00 PM,27.567,,,,,
126,09/17/24 10:25:00 PM,27.665,,,,,
127,09/17/24 10:30:00 PM,28.357,,,,,
128,09/17/24 10:35:00 PM,28.159,,,,,
129,09/17/24 10:40:00 PM,27.764,,,,,
130,09/17/24 10:45:00 PM,27.567,,,,,
131,09/17/24 10:50:00 PM,27.567,,,,,
132,09/17/24 10:55:00 PM,28.258,,,,,
133,09/17/24 11:00:00 PM,28.159,,,,,
134,09/17/24 11:05:00 PM,27.764,,,,,
135,09/17/24 11:10:00 PM,27.764,,,,,
136,09/17/24 11:15:00 PM,28.357,,,,,
137,09/17/24 11:20:00 PM,28.060,,,,,
138,09/17/24 11:25:00 PM,27.764,,,,,
139,09/17/24 11:30:00 PM,27.567,,,,,
140,09/17/24 11:35:00 PM,27.862,,,,,
141,09/17/24 11:40:00 PM,28.060,,,,,
142,09/17/24 11:45:00 PM,27.961,,,,,
143,09/17/24 11:50:00 PM,27.862,,,,,
144,09/17/24 11:55:00 PM,27.764,,,,,
145,09/18/24 12:00:00 AM,27.665,,,,,
146,09/18/24 12:05:00 AM,27.468,,,,,
147,09/18/24 12:10:00 AM,27.764,,,,,
148,09/18/24 12:15:00 AM,28.258,,,,,
149,09/18/24 12:20:00 AM,27.961,,,,,
150,09/18/24 12:25:00 AM,27.665,,,,,
151,09/18/24 12:30:00 AM,28.060,,,,,
152,09/18/24 12:35:00 AM,28.159,,,,,
153,09/18/24 12:40:00 AM,27.764,,,,,
154,09/18/24 12:45:00 AM,27.468,,,,,
155,09/18/24 12:50:00 AM,28.060,,,,,
156,09/18/24 12:55:00 AM,28.159,,,,,
157,09/18/24 01:00:00 AM,27.764,,,,,
158,09/18/24 01:05:00 AM,27.468,,,,,
159,09/18/24 01:10:00 AM,27.370,,,,,
160,09/18/24 01:15:00 AM,27.961,,,,,
161,09/18/24 01:20:00 AM,28.159,,,,,
162,09/18/24 01:25:00 AM,27.764,,,,,
163,09/18/24 01:30:00 AM,27.468,,,,,
164,09/18/24 01:35:00 AM,27.567,,,,,
165,09/18/24 01:40:00 AM,28.258,,,,,
166,09/18/24 01:45:00 AM,28.258,,,,,
167,09/18/24 01:50:00 AM,27.862,,,,,
168,09/18/24 01:55:00 AM,27.468,,,,,
169,09/18/24 02:00:00 AM,27.468,,,,,
170,09/18/24 02:05:00 AM,28.258,,,,,
171,09/18/24 02:10:00 AM,28.258,,,,,
172,09/18/24 02:15:00 AM,27.862,,,,,
173,09/18/24 02:20:00 AM,27.468,,,,,
174,09/18/24 02:25:00 AM,27.370,,,,,
175,09/18/24 02:30:00 AM,28.159,,,,,
176,09/18/24 02:35:00 AM,28.258,,,,,
177,09/18/24 02:40:00 AM,27.862,,,,,
178,09/18/24 02:45:00 AM,27.567,,,,,
179,09/18/24 02:50:00 AM,27.370,,,,,
180,09/18/24 02:55:00 AM,27.862,,,,,
181,09/18/24 03:00:00 AM,28.258,,,,,
182,09/18/24 03:05:00 AM,27.961,,,,,
183,09/18/24 03:10:00 AM,27.567,,,,,
184,09/18/24 03:15:00 AM,27.468,,,,,
185,09/18/24 03:20:00 AM,27.468,,,,,
186,09/18/24 03:25:00 AM,28.159,,,,,
187,09/18/24 03:30:00 AM,28.060,,,,,
188,09/18/24 03:35:00 AM,27.665,,,,,
189,09/18/24 03:40:00 AM,27.468,,,,,
190,09/18/24 03:45:00 AM,27.468,,,,,
191,09/18/24 03:50:00 AM,28.258,,,,,
192,09/18/24 03:55:00 AM,28.258,,,,,
193,09/18/24 04:00:00 AM,27.862,,,,,
194,09/18/24 04:05:00 AM,27.468,,,,,
195,09/18/24 04:10:00 AM,27.468,,,,,
196,09/18/24 04:15:00 AM,28.159,,,,,
197,09/18/24 04:20:00 AM,28.258,,,,,
198,09/18/24 04:25:00 AM,27.961,,,,,
199,09/18/24 04:30:00 AM,27.468,,,,,
200,09/18/24 04:35:00 AM,27.764,,,,,
201,09/18/24 04:40:00 AM,28.357,,,,,
202,09/18/24 04:45:00 AM,28.159,,,,,
203,09/18/24 04:50:00 AM,27.665,,,,,
204,09/18/24 04:55:00 AM,27.468,,,,,
