"Plot Title: 20240917_CBASS_LL_40C"
"#","Date Time, GMT+02:00","Temp, °C (LGR S/N: 21793878, SEN S/N: 21793878)","Coupler Attached (LGR S/N: 21793878)","Host Connected (LGR S/N: 21793878)","Stopped (LGR S/N: 21793878)","End Of File (LGR S/N: 21793878)"
1,09/17/24 12:00:00 PM,27.862,,,,
2,09/17/24 12:05:00 PM,27.862,,,,
3,09/17/24 12:10:00 PM,28.456,,,,
4,09/17/24 12:15:00 PM,28.258,,,,
5,09/17/24 12:20:00 PM,27.862,,,,
6,09/17/24 12:25:00 PM,28.060,,,,
7,09/17/24 12:30:00 PM,28.357,,,,
8,09/17/24 12:35:00 PM,27.961,,,,
9,09/17/24 12:40:00 PM,27.764,,,,
10,09/17/24 12:45:00 PM,28.357,,,,
11,09/17/24 12:50:00 PM,28.258,,,,
12,09/17/24 12:55:00 PM,27.862,,,,
13,09/17/24 01:00:00 PM,28.357,,,,
14,09/17/24 01:05:00 PM,30.054,,,,
15,09/17/24 01:10:00 PM,31.268,,,,
16,09/17/24 01:15:00 PM,31.166,,,,
17,09/17/24 01:20:00 PM,30.760,,,,
18,09/17/24 01:25:00 PM,30.558,,,,
19,09/17/24 01:30:00 PM,30.558,,,,
20,09/17/24 01:35:00 PM,31.166,,,,
21,09/17/24 01:40:00 PM,32.497,,,,
22,09/17/24 01:45:00 PM,33.118,,,,
23,09/17/24 01:50:00 PM,32.807,,,,
24,09/17/24 01:55:00 PM,32.600,,,,
25,09/17/24 02:00:00 PM,33.118,,,,
26,09/17/24 02:05:00 PM,33.326,,,,
27,09/17/24 02:10:00 PM,33.743,,,,
28,09/17/24 02:15:00 PM,35.009,,,,
29,09/17/24 02:20:00 PM,35.115,,,,
30,09/17/24 02:25:00 PM,34.691,,,,
31,09/17/24 02:30:00 PM,34.691,,,,
32,09/17/24 02:35:00 PM,35.115,,,,
33,09/17/24 02:40:00 PM,35.115,,,,
34,09/17/24 02:45:00 PM,36.187,,,,
35,09/17/24 02:50:00 PM,36.837,,,,
36,09/17/24 02:55:00 PM,36.620,,,,
37,09/17/24 03:00:00 PM,36.620,,,,
38,09/17/24 03:05:00 PM,37.274,,,,
39,09/17/24 03:10:00 PM,36.946,,,,
40,09/17/24 03:15:00 PM,37.494,,,,
41,09/17/24 03:20:00 PM,38.714,,,,
42,09/17/24 03:25:00 PM,39.276,,,,
43,09/17/24 03:30:00 PM,38.714,,,,
44,09/17/24 03:35:00 PM,38.938,,,,
45,09/17/24 03:40:00 PM,39.163,,,,
46,09/17/24 03:45:00 PM,39.163,,,,
47,09/17/24 03:50:00 PM,40.185,,,,
48,09/17/24 03:55:00 PM,41.108,,,,
49,09/17/24 04:00:00 PM,40.761,,,,
50,09/17/24 04:05:00 PM,40.530,,,,
51,09/17/24 04:10:00 PM,40.992,,,,
52,09/17/24 04:15:00 PM,40.876,,,,
53,09/17/24 04:20:00 PM,40.415,,,,
54,09/17/24 04:25:00 PM,40.876,,,,
55,09/17/24 04:30:00 PM,40.761,,,,
56,09/17/24 04:35:00 PM,40.415,,,,
57,09/17/24 04:40:00 PM,40.876,,,,
58,09/17/24 04:45:00 PM,40.761,,,,
59,09/17/24 04:50:00 PM,40.530,,,,
60,09/17/24 04:55:00 PM,40.876,,,,
61,09/17/24 05:00:00 PM,40.645,,,,
62,09/17/24 05:05:00 PM,40.530,,,,
63,09/17/24 05:10:00 PM,41.225,,,,
64,09/17/24 05:15:00 PM,40.761,,,,
65,09/17/24 05:20:00 PM,40.761,,,,
66,09/17/24 05:25:00 PM,41.108,,,,
67,09/17/24 05:30:00 PM,40.530,,,,
68,09/17/24 05:35:00 PM,40.645,,,,
69,09/17/24 05:40:00 PM,41.225,,,,
70,09/17/24 05:45:00 PM,40.761,,,,
71,09/17/24 05:50:00 PM,40.530,,,,
72,09/17/24 05:55:00 PM,40.992,,,,
73,09/17/24 06:00:00 PM,40.300,,,,
74,09/17/24 06:05:00 PM,40.645,,,,
75,09/17/24 06:10:00 PM,40.876,,,,
76,09/17/24 06:15:00 PM,40.415,,,,
77,09/17/24 06:20:00 PM,40.530,,,,
78,09/17/24 06:25:00 PM,41.108,,,,
79,09/17/24 06:30:00 PM,40.530,,,,
80,09/17/24 06:35:00 PM,40.530,,,,
81,09/17/24 06:40:00 PM,41.108,,,,
82,09/17/24 06:45:00 PM,40.761,,,,
83,09/17/24 06:50:00 PM,40.415,,,,
84,09/17/24 06:55:00 PM,41.108,,,,
85,09/17/24 07:00:00 PM,40.992,,,,
86,09/17/24 07:05:00 PM,39.957,,,,
87,09/17/24 07:10:00 PM,39.050,,,,
88,09/17/24 07:15:00 PM,38.157,,,,
89,09/17/24 07:20:00 PM,37.384,,,,
90,09/17/24 07:25:00 PM,36.620,,,,
91,09/17/24 07:30:00 PM,35.864,,,,
92,09/17/24 07:35:00 PM,34.796,,,,
93,09/17/24 07:40:00 PM,34.058,,,,
94,09/17/24 07:45:00 PM,33.430,,,,
95,09/17/24 07:50:00 PM,32.704,,,,
96,09/17/24 07:55:00 PM,32.188,,,,
97,09/17/24 08:00:00 PM,31.574,,,,
98,09/17/24 08:05:00 PM,30.963,,,,
99,09/17/24 08:10:00 PM,30.457,,,,
100,09/17/24 08:15:00 PM,29.853,,,,
101,09/17/24 08:20:00 PM,29.352,,,,
102,09/17/24 08:25:00 PM,28.853,,,,
103,09/17/24 08:30:00 PM,28.456,,,,
104,09/17/24 08:35:00 PM,27.961,,,,
105,09/17/24 08:40:00 PM,27.862,,,,
106,09/17/24 08:45:00 PM,28.258,,,,
107,09/17/24 08:50:00 PM,28.258,,,,
108,09/17/24 08:55:00 PM,27.862,,,,
109,09/17/24 09:00:00 PM,27.862,,,,
110,09/17/24 09:05:00 PM,28.258,,,,
111,09/17/24 09:10:00 PM,27.961,,,,
112,09/17/24 09:15:00 PM,27.764,,,,
113,09/17/24 09:20:00 PM,27.961,,,,
114,09/17/24 09:25:00 PM,28.060,,,,
115,09/17/24 09:30:00 PM,27.961,,,,
116,09/17/24 09:35:00 PM,27.862,,,,
117,09/17/24 09:40:00 PM,28.060,,,,
118,09/17/24 09:45:00 PM,28.357,,,,
119,09/17/24 09:50:00 PM,27.961,,,,
120,09/17/24 09:55:00 PM,27.764,,,,
121,09/17/24 10:00:00 PM,28.159,,,,
122,09/17/24 10:05:00 PM,28.060,,,,
123,09/17/24 10:10:00 PM,27.764,,,,
124,09/17/24 10:15:00 PM,28.159,,,,
125,09/17/24 10:20:00 PM,28.258,,,,
126,09/17/24 10:25:00 PM,27.961,,,,
127,09/17/24 10:30:00 PM,27.764,,,,
128,09/17/24 10:35:00 PM,28.456,,,,
129,09/17/24 10:40:00 PM,28.357,,,,
130,09/17/24 10:45:00 PM,27.961,,,,
131,09/17/24 10:50:00 PM,27.862,,,,
132,09/17/24 10:55:00 PM,27.764,,,,
133,09/17/24 11:00:00 PM,27.665,,,,
134,09/17/24 11:05:00 PM,28.357,,,,
135,09/17/24 11:10:00 PM,28.456,,,,
136,09/17/24 11:15:00 PM,28.060,,,,
137,09/17/24 11:20:00 PM,27.764,,,,
138,09/17/24 11:25:00 PM,28.456,,,,
139,09/17/24 11:30:00 PM,28.357,,,,
140,09/17/24 11:35:00 PM,28.060,,,,
141,09/17/24 11:40:00 PM,27.862,,,,
142,09/17/24 11:45:00 PM,27.764,,,,
143,09/17/24 11:50:00 PM,27.665,,,,
144,09/17/24 11:55:00 PM,28.258,,,,
145,09/18/24 12:00:00 AM,28.357,,,,
146,09/18/24 12:05:00 AM,28.060,,,,
147,09/18/24 12:10:00 AM,27.764,,,,
148,09/18/24 12:15:00 AM,28.060,,,,
149,09/18/24 12:20:00 AM,28.258,,,,
150,09/18/24 12:25:00 AM,27.862,,,,
151,09/18/24 12:30:00 AM,27.665,,,,
152,09/18/24 12:35:00 AM,28.357,,,,
153,09/18/24 12:40:00 AM,28.159,,,,
154,09/18/24 12:45:00 AM,27.862,,,,
155,09/18/24 12:50:00 AM,27.961,,,,
156,09/18/24 12:55:00 AM,28.357,,,,
157,09/18/24 01:00:00 AM,28.060,,,,
158,09/18/24 01:05:00 AM,27.764,,,,
159,09/18/24 01:10:00 AM,28.258,,,,
160,09/18/24 01:15:00 AM,28.357,,,,
161,09/18/24 01:20:00 AM,27.961,,,,
162,09/18/24 01:25:00 AM,27.665,,,,
163,09/18/24 01:30:00 AM,28.159,,,,
164,09/18/24 01:35:00 AM,28.060,,,,
165,09/18/24 01:40:00 AM,27.862,,,,
166,09/18/24 01:45:00 AM,27.764,,,,
167,09/18/24 01:50:00 AM,27.961,,,,
168,09/18/24 01:55:00 AM,28.456,,,,
169,09/18/24 02:00:00 AM,28.258,,,,
170,09/18/24 02:05:00 AM,27.862,,,,
171,09/18/24 02:10:00 AM,27.961,,,,
172,09/18/24 02:15:00 AM,28.357,,,,
173,09/18/24 02:20:00 AM,28.060,,,,
174,09/18/24 02:25:00 AM,27.862,,,,
175,09/18/24 02:30:00 AM,27.764,,,,
176,09/18/24 02:35:00 AM,27.764,,,,
177,09/18/24 02:40:00 AM,28.159,,,,
178,09/18/24 02:45:00 AM,28.258,,,,
179,09/18/24 02:50:00 AM,27.862,,,,
180,09/18/24 02:55:00 AM,27.862,,,,
181,09/18/24 03:00:00 AM,28.159,,,,
182,09/18/24 03:05:00 AM,27.862,,,,
183,09/18/24 03:10:00 AM,27.764,,,,
184,09/18/24 03:15:00 AM,28.159,,,,
185,09/18/24 03:20:00 AM,28.357,,,,
186,09/18/24 03:25:00 AM,28.060,,,,
187,09/18/24 03:30:00 AM,27.862,,,,
188,09/18/24 03:35:00 AM,28.258,,,,
189,09/18/24 03:40:00 AM,28.060,,,,
190,09/18/24 03:45:00 AM,27.665,,,,
191,09/18/24 03:50:00 AM,28.258,,,,
192,09/18/24 03:55:00 AM,28.357,,,,
193,09/18/24 04:00:00 AM,28.060,,,,
194,09/18/24 04:05:00 AM,27.961,,,,
195,09/18/24 04:10:00 AM,28.258,,,,
196,09/18/24 04:15:00 AM,27.961,,,,
197,09/18/24 04:20:00 AM,27.764,,,,
198,09/18/24 04:25:00 AM,28.456,,,,
199,09/18/24 04:30:00 AM,28.258,,,,
200,09/18/24 04:35:00 AM,27.862,,,,
201,09/18/24 04:40:00 AM,27.862,,,,
202,09/18/24 04:45:00 AM,28.258,,,,
203,09/18/24 04:50:00 AM,27.961,,,,
204,09/18/24 04:55:00 AM,27.862,,,,
205,09/18/24 05:00:00 AM,28.357,,,,
206,09/18/24 05:05:00 AM,28.258,,,,
207,09/18/24 05:10:00 AM,27.862,,,,
208,09/18/24 05:15:00 AM,27.764,,,,
209,09/18/24 05:20:00 AM,28.456,,,,
210,09/18/24 05:25:00 AM,28.258,,,,
211,09/18/24 05:30:00 AM,27.862,,,,
212,09/18/24 05:35:00 AM,27.665,,,,
213,09/18/24 05:40:00 AM,28.258,,,,
214,09/18/24 05:45:00 AM,28.258,,,,
215,09/18/24 05:50:00 AM,27.862,,,,
216,09/18/24 05:55:00 AM,27.764,,,,
217,09/18/24 06:00:00 AM,28.357,,,,
218,09/18/24 06:05:00 AM,28.258,,,,
219,09/18/24 06:10:00 AM,27.862,,,,
220,09/18/24 06:15:00 AM,27.862,,,,
221,09/18/24 06:20:00 AM,28.159,,,,
222,09/18/24 06:25:00 AM,27.862,,,,
223,09/18/24 06:30:00 AM,27.961,,,,
224,09/18/24 06:35:00 AM,28.258,,,,
225,09/18/24 06:40:00 AM,27.961,,,,
226,09/18/24 06:45:00 AM,28.159,,,,
227,09/18/24 06:50:00 AM,27.961,,,,
228,09/18/24 06:55:00 AM,27.764,,,,
229,09/18/24 07:00:00 AM,28.258,,,,
230,09/18/24 07:05:00 AM,28.357,,,,
231,09/18/24 07:10:00 AM,27.961,,,,
232,09/18/24 07:15:00 AM,27.764,,,,
233,09/18/24 07:20:00 AM,28.456,,,,
234,09/18/24 07:25:00 AM,28.258,,,,
235,09/18/24 07:30:00 AM,27.862,,,,
236,09/18/24 07:35:00 AM,27.764,,,,
237,09/18/24 07:40:00 AM,28.357,,,,
238,09/18/24 07:45:00 AM,28.357,,,,
239,09/18/24 07:50:00 AM,27.961,,,,
240,09/18/24 07:55:00 AM,27.764,,,,
241,09/18/24 08:00:00 AM,28.357,,,,
242,09/18/24 08:05:00 AM,28.655,,,,
243,09/18/24 08:10:00 AM,28.555,,,,
244,09/18/24 08:15:00 AM,28.159,,,,
245,09/18/24 08:20:00 AM,28.555,,,,
246,09/18/24 08:25:00 AM,28.853,,,,
247,09/18/24 08:30:00 AM,28.555,,,,
248,09/18/24 08:35:00 AM,28.655,,,,
249,09/18/24 08:40:00 AM,28.953,,,,
250,09/18/24 08:45:00 AM,29.352,,,,
251,09/18/24 08:50:00 AM,29.053,,,,
252,09/18/24 08:55:00 AM,28.754,,,,
253,09/18/24 09:00:00 AM,28.754,,,,
254,09/18/24 09:05:00 AM,29.252,,,,
255,09/18/24 09:10:00 AM,29.152,,,,
256,09/18/24 09:15:00 AM,28.953,,,,
257,09/18/24 09:20:00 AM,28.754,,,,
258,09/18/24 09:25:00 AM,28.754,,,,
259,09/18/24 09:30:00 AM,28.754,,,,
260,09/18/24 09:35:00 AM,28.754,,,,
261,09/18/24 09:40:00 AM,28.754,,,,
262,09/18/24 09:45:00 AM,28.655,,,,
263,09/18/24 09:50:00 AM,28.258,,,,
264,09/18/24 09:55:00 AM,27.862,,,,
265,09/18/24 10:00:00 AM,27.764,,,,
266,09/18/24 10:05:00 AM,27.862,,,,
267,09/18/24 10:10:00 AM,28.555,,,,
268,09/18/24 10:15:00 AM,28.357,,,,
269,09/18/24 10:20:00 AM,27.961,,,,
270,09/18/24 10:25:00 AM,27.665,,,,
271,09/18/24 10:30:00 AM,28.060,,,,
272,09/18/24 10:35:00 AM,28.555,,,,
273,09/18/24 10:40:00 AM,28.258,,,,
274,09/18/24 10:45:00 AM,25.319,,,,
275,09/18/24 10:50:00 AM,23.869,,,,
276,09/18/24 10:55:00 AM,25.902,,,,
277,09/18/24 11:00:00 AM,27.665,,,,
278,09/18/24 11:05:00 AM,27.764,,,,
279,09/18/24 11:10:00 AM,28.258,,,,
280,09/18/24 11:15:00 AM,28.258,,,,
281,09/18/24 11:20:00 AM,27.961,,,,
282,09/18/24 11:25:00 AM,23.966,,,,
283,09/18/24 11:30:00 AM,23.292,,,,
284,09/18/24 11:35:00 AM,25.222,,,,
285,09/18/24 11:38:10 AM,,Logged,,,
286,09/18/24 11:38:11 AM,,,Logged,,
287,09/18/24 11:38:30 AM,,,Logged,,
288,09/18/24 11:39:02 AM,,,,Logged,Logged
