ID	Temp	Treatment	MIG	MIG_End	Relative
MB	28	LL	19.10978775	15.0480203	-4.061767451
MB	28	LL	16.35289692	11.21081936	-5.142077565
MB	28	LL	13.23158628	7.285705597	-5.945880681
MG	28	LL	13.06995296	9.943363504	-3.126589459
MG	28	LL	14.54457765	8.321491827	-6.223085822
MG	28	LL	15.3398955	8.051487054	-7.288408443
AB	28	LL	28.12866608	17.71268175	-10.41598433
AB	28	LL	33.22719164	19.8349377	-13.39225394
AB	28	LL	19.37048665	13.52825282	-5.84223383
AG	28	LL	24.46715008	14.33937296	-10.12777711
AG	28	LL	27.32906532	17.14428945	-10.18477587
AG	28	LL	29.81613279	15.55596102	-14.26017177
MB	34	LL	17.26069611	19.37009071	2.109394603
MB	34	LL	16.68620168	15.62369899	-1.062502689
MB	34	LL	15.91654056	21.437542	5.521001439
MG	34	LL	13.03508048	12.20362875	-0.831451729
MG	34	LL	14.49681295	10.28612296	-4.210689991
MG	34	LL	15.34259641	11.44578209	-3.896814322
AB	34	LL	19.07736048	16.79389577	-2.283464713
AB	34	LL	29.23153116	18.18486483	-11.04666633
AB	34	LL	30.42252488	25.48209723	-4.940427644
AG	34	LL	25.51474297	26.88965013	1.37490716
AG	34	LL	19.13972578	20.82480389	1.685078111
AG	34	LL	27.361306	20.8381055	-6.523200498
MB	37	LL	18.21156514	42.43540899	24.22384385
MB	37	LL	16.28289978	42.82246927	26.53956949
MB	37	LL	23.52567676	42.28672649	18.76104973
MG	37	LL	18.76335969	54.77779166	36.01443197
MG	37	LL	16.99126761	43.8694925	26.87822489
MG	37	LL	17.13250826	24.04666236	6.914154107
AB	37	LL	31.87312513	56.12929306	24.25616792
AB	37	LL	29.13110848	49.69569532	20.56458684
AB	37	LL	40.96826505	47.43145338	6.463188327
AG	37	LL	26.45096352	45.93959708	19.48863356
AG	37	LL	29.14048844	46.35250765	17.21201921
AG	37	LL	29.63275629	38.04224873	8.409492447
MB	40	LL	17.73968247	27.80831987	10.06863739
MB	40	LL	19.15523036	18.14911541	-1.006114954
MB	40	LL	20.4615999	17.82190291	-2.639696986
MG	40	LL	22.89523163	59.276271	36.38103937
MG	40	LL	26.40916344	35.97406689	9.564903445
MG	40	LL	30.33752736	33.3473906	3.00986324
AB	40	LL	39.00100951	74.87458548	35.87357597
AB	40	LL	40.09827766	50.21560119	10.11732354
AB	40	LL	41.89037945	55.13005511	13.23967566
AG	40	LL	34.80098518	70.91196087	36.11097569
AG	40	LL	32.56000096	32.82947351	0.269472553
AG	40	LL	32.09209374	24.23997615	-7.852117586
MB	28	HL	19.51754851	20.73215065	1.21460214
MB	28	HL	14.50510231	17.98641026	3.48130795
MB	28	HL	7.915900719	12.38614975	4.470249031
MG	28	HL	12.84400424	11.05805468	-1.78594956
MG	28	HL	11.70665161	11.89713229	0.19048068
MG	28	HL	10.9161512	11.14606098	0.22990978
AB	28	HL	21.89471033	26.1889623	4.29425197
AB	28	HL	22.43713569	23.59312737	1.15599168
