wavelength,mean_emission,se_emission,Species,Temp
347.817,0.291111111,1.396189959,AcroB,28
348.042,0.024444444,1.938840852,AcroB,28
348.268,1.968888889,2.460698918,AcroB,28
348.493,4.404444444,1.483429032,AcroB,28
348.719,-0.632222222,1.34289457,AcroB,28
348.944,-1.597777778,1.371643792,AcroB,28
349.17,3.6,1.806313864,AcroB,28
349.395,4.231111111,2.515369218,AcroB,28
349.621,7.928888889,1.56702571,AcroB,28
349.846,5.733333333,2.282772411,AcroB,28
350.071,3.868888889,2.158645305,AcroB,28
350.297,1.602222222,3.157743066,AcroB,28
350.522,2.321111111,4.062023638,AcroB,28
350.747,2.777777778,5.969087624,AcroB,28
350.973,-2.127777778,5.923717502,AcroB,28
351.198,-2.556666667,5.922737333,AcroB,28
351.423,-0.657777778,6.270980541,AcroB,28
351.649,-4.446666667,6.415388166,AcroB,28
351.874,-0.716666667,7.124057943,AcroB,28
352.099,1.237777778,7.874752147,AcroB,28
352.324,5.908888889,6.455152114,AcroB,28
352.55,6.298888889,6.737036892,AcroB,28
352.775,10.56222222,6.588017223,AcroB,28
353,12.67888889,6.666471416,AcroB,28
353.225,13.96333333,5.785729233,AcroB,28
353.45,19.61,4.559233431,AcroB,28
353.675,25.61111111,4.394385867,AcroB,28
353.9,25.94777778,3.934234878,AcroB,28
354.125,28.37777778,2.681679192,AcroB,28
354.351,24.35666667,1.621388925,AcroB,28
354.576,21.77,1.840534751,AcroB,28
354.801,19.41222222,2.849292836,AcroB,28
355.026,23.68,1.83678008,AcroB,28
355.251,23.31111111,2.304943448,AcroB,28
355.476,17.08777778,2.034839649,AcroB,28
355.701,18.20777778,1.750060785,AcroB,28
355.926,15.03666667,2.653048362,AcroB,28
356.15,17.41222222,2.795643772,AcroB,28
356.375,18.28,3.231795481,AcroB,28
356.6,21.51111111,4.144814257,AcroB,28
356.825,23.30444444,3.644824836,AcroB,28
357.05,20.07333333,3.528335472,AcroB,28
357.275,13.98333333,4.077127568,AcroB,28
357.5,13.05,4.706395232,AcroB,28
357.724,14.91333333,5.071898147,AcroB,28
357.949,21.02555556,5.397972279,AcroB,28
358.174,15.91444444,4.909491225,AcroB,28
358.399,17.60222222,4.215002506,AcroB,28
358.624,19.10555556,5.736908341,AcroB,28
358.848,17.32444444,6.105022423,AcroB,28
359.073,15.55555556,5.464338519,AcroB,28
359.298,13.59888889,5.426556999,AcroB,28
359.522,19.29777778,5.560431236,AcroB,28
359.747,18.50888889,5.249023072,AcroB,28
359.972,17.20777778,4.402990553,AcroB,28
360.196,17.36333333,5.52233827,AcroB,28
360.421,13.73444444,6.268572008,AcroB,28
360.645,16.75,4.798069425,AcroB,28
360.87,18.01555556,5.307607724,AcroB,28
361.095,10.05111111,4.578363506,AcroB,28
361.319,7.451111111,3.515819276,AcroB,28
361.544,5.301111111,3.204783293,AcroB,28
361.768,6.36,4.145378487,AcroB,28
361.993,5.904444444,3.625774747,AcroB,28
362.217,9.167777778,4.083543125,AcroB,28
362.441,4.148888889,3.729761265,AcroB,28
362.666,-0.447777778,2.851267992,AcroB,28
362.89,-1.28,2.93301045,AcroB,28
363.115,-3.597777778,3.118809953,AcroB,28
363.339,-2.493333333,2.895966406,AcroB,28
363.563,-0.89,2.426834045,AcroB,28
363.788,1.947777778,3.644222182,AcroB,28
364.012,-0.785555556,2.975706246,AcroB,28
364.236,-4.352222222,3.413506066,AcroB,28
364.461,-5.985555556,3.714074222,AcroB,28
364.685,-3.98,4.686780623,AcroB,28
364.909,-3.754444444,5.113143431,AcroB,28
365.133,-3.872222222,5.857386108,AcroB,28
365.358,2.248888889,4.834992609,AcroB,28
365.582,4.605555556,4.78438174,AcroB,28
365.806,3.012222222,6.004437062,AcroB,28
366.03,3.49,5.415016827,AcroB,28
366.254,3.714444444,6.187301862,AcroB,28
366.479,10.05888889,6.243912632,AcroB,28
366.703,10.95222222,5.206094495,AcroB,28
366.927,14.29222222,4.86194724,AcroB,28
367.151,12.58333333,4.813929387,AcroB,28
367.375,13.12555556,4.180297482,AcroB,28
367.599,12.91666667,4.52094787,AcroB,28
367.823,8.807777778,4.995694362,AcroB,28
368.047,10.74111111,4.564684819,AcroB,28
368.271,10.53777778,4.532430056,AcroB,28
368.495,13.46777778,5.096079086,AcroB,28
368.719,9.236666667,5.166162818,AcroB,28
368.943,4.77,6.121333778,AcroB,28
369.167,7.028888889,5.473257735,AcroB,28
369.391,9.233333333,4.824743031,AcroB,28
369.615,10.80777778,4.335781453,AcroB,28
369.839,13.41,3.687282166,AcroB,28
370.062,13.50777778,3.532566607,AcroB,28
370.286,15.1,3.095660102,AcroB,28
370.51,7.354444444,3.153844208,AcroB,28
370.734,0.47,3.474127283,AcroB,28
370.958,-1.207777778,3.690753059,AcroB,28
371.181,3.164444444,4.426990455,AcroB,28
371.405,9.014444444,3.720220077,AcroB,28
371.629,9.701111111,4.598228203,AcroB,28
371.853,9.054444444,5.529618297,AcroB,28
372.076,9.492222222,6.700899417,AcroB,28
372.3,8.697777778,7.12103384,AcroB,28
372.524,14.07,7.804521833,AcroB,28
372.747,12.90444444,7.785845859,AcroB,28
372.971,13.88777778,8.377829393,AcroB,28
373.195,17.68666667,7.733793987,AcroB,28
373.418,18.54333333,6.415884079,AcroB,28
373.642,19.51444444,6.076583916,AcroB,28
373.865,15.53,5.801277487,AcroB,28
374.089,13.05444444,6.625652162,AcroB,28
374.312,5.284444444,6.519124534,AcroB,28
374.536,6.635555556,5.73564914,AcroB,28
374.759,8.44,5.371787494,AcroB,28
374.983,-0.035555556,4.251507302,AcroB,28
375.206,-2.664444444,4.576693555,AcroB,28
375.43,-2.1,4.754044535,AcroB,28
375.653,-1.946666667,5.00418748,AcroB,28
375.877,-4.133333333,5.966901637,AcroB,28
376.1,-3.057777778,6.182151788,AcroB,28
376.323,-1.153333333,6.860007729,AcroB,28
376.547,1.331111111,5.801447492,AcroB,28
376.77,7.346666667,5.617196539,AcroB,28
376.994,4.625555556,5.348782869,AcroB,28
377.217,7.026666667,5.092752682,AcroB,28
377.44,11.56222222,5.126939573,AcroB,28
377.663,12.31444444,5.980149457,AcroB,28
377.887,18.85444444,7.926004414,AcroB,28
378.11,17.05222222,7.559060514,AcroB,28
378.333,22.96111111,5.147617155,AcroB,28
378.556,19.63777778,4.722732224,AcroB,28
378.78,21.32666667,4.205051458,AcroB,28
379.003,18.81666667,3.158748028,AcroB,28
379.226,19.64555556,3.252609729,AcroB,28
379.449,16.43888889,4.269515862,AcroB,28
379.672,12.12,3.677978521,AcroB,28
379.895,9.214444444,3.657051745,AcroB,28
380.118,10.10111111,3.744403549,AcroB,28
380.341,7.767777778,3.712284441,AcroB,28
380.564,12.33555556,4.172255759,AcroB,28
380.787,5.048888889,4.442839985,AcroB,28
381.01,4.956666667,4.671651462,AcroB,28
381.233,2.951111111,4.06802864,AcroB,28
381.456,1.734444444,4.962239322,AcroB,28
381.679,-3.311111111,4.275887344,AcroB,28
381.902,-4.948888889,4.17220892,AcroB,28
382.125,-7.118888889,4.250597846,AcroB,28
382.348,-6.206666667,5.789590504,AcroB,28
382.571,-1.503333333,5.328431064,AcroB,28
382.794,0.942222222,5.371775527,AcroB,28
383.017,-0.015555556,4.125378769,AcroB,28
383.24,2.708888889,4.174272492,AcroB,28
383.463,0.862222222,2.871832092,AcroB,28
383.685,-0.541111111,3.178579531,AcroB,28
383.908,-1.287777778,3.479794053,AcroB,28
384.131,1.343333333,3.339152443,AcroB,28
384.354,5.922222222,3.296370643,AcroB,28
384.576,6.118888889,2.64477824,AcroB,28
384.799,13.20555556,2.412220576,AcroB,28
385.022,8.806666667,3.992384268,AcroB,28
385.245,-0.3,4.941973971,AcroB,28
385.467,0.123333333,4.114683979,AcroB,28
385.69,2.181111111,3.633500324,AcroB,28
385.913,8.882222222,3.245563761,AcroB,28
386.135,15.44555556,2.023845902,AcroB,28
386.358,16.57555556,2.499027882,AcroB,28
386.58,16.43222222,4.52971839,AcroB,28
386.803,12.51333333,4.400581571,AcroB,28
387.025,13.75333333,4.344883502,AcroB,28
387.248,9.001111111,4.235663298,AcroB,28
387.47,10.51888889,4.532362376,AcroB,28
387.693,17.07,3.721136351,AcroB,28
387.915,16.48888889,3.956335272,AcroB,28
388.138,12.16111111,3.856040811,AcroB,28
388.36,9.044444444,5.390434243,AcroB,28
388.583,2.795555556,6.542259062,AcroB,28
388.805,4.525555556,8.062216257,AcroB,28
389.028,7.078888889,7.19610766,AcroB,28
389.25,9.321111111,6.824620263,AcroB,28
389.472,11.90444444,6.773083409,AcroB,28
389.695,9.748888889,6.165984243,AcroB,28
389.917,9.958888889,5.271281951,AcroB,28
390.139,5.298888889,5.481480909,AcroB,28
390.362,7.512222222,5.106010618,AcroB,28
390.584,13.74888889,5.516160257,AcroB,28
