wavelength,mean_emission,se_emission,Species,Temp
347.817,-5.012222222,5.719864392,MontiG,28
348.042,-5.433333333,5.036208743,MontiG,28
348.268,-3.104444444,3.719005183,MontiG,28
348.493,0.078888889,2.881060176,MontiG,28
348.719,-4.537777778,1.60659044,MontiG,28
348.944,-3.391111111,1.590948233,MontiG,28
349.17,3.473333333,1.149580434,MontiG,28
349.395,5.597777778,2.609838295,MontiG,28
349.621,9.35,2.567542228,MontiG,28
349.846,4.598888889,3.010307235,MontiG,28
350.071,4.762222222,3.264283097,MontiG,28
350.297,4.566666667,4.184995089,MontiG,28
350.522,5.13,3.920515869,MontiG,28
350.747,5.516666667,3.69377921,MontiG,28
350.973,0.904444444,3.388339906,MontiG,28
351.198,0.408888889,3.276816039,MontiG,28
351.423,-0.894444444,2.595525019,MontiG,28
351.649,-4.88,3.112067102,MontiG,28
351.874,-3.596666667,3.899785452,MontiG,28
352.099,-3.352222222,3.539352058,MontiG,28
352.324,2.673333333,3.154785044,MontiG,28
352.55,4.057777778,2.8684177,MontiG,28
352.775,7.63,2.23796014,MontiG,28
353,9.095555556,2.78257693,MontiG,28
353.225,10.98111111,4.174694874,MontiG,28
353.45,15.55888889,5.147313961,MontiG,28
353.675,20.07666667,4.260129,MontiG,28
353.9,23.32666667,4.837131058,MontiG,28
354.125,27.47111111,4.155159752,MontiG,28
354.351,26.27444444,4.762842552,MontiG,28
354.576,25.46333333,4.302981442,MontiG,28
354.801,22.55666667,2.935041075,MontiG,28
355.026,26.25,3.610135825,MontiG,28
355.251,27.03,4.420773645,MontiG,28
355.476,22.99555556,5.581144565,MontiG,28
355.701,25.17333333,6.223691432,MontiG,28
355.926,23.87111111,6.999509683,MontiG,28
356.15,27.49,6.010320561,MontiG,28
356.375,26.81666667,5.886330708,MontiG,28
356.6,28.29111111,6.38319002,MontiG,28
356.825,32.47666667,6.799247799,MontiG,28
357.05,28.65222222,6.242187442,MontiG,28
357.275,23.53444444,7.426311513,MontiG,28
357.5,21.11777778,6.450608952,MontiG,28
357.724,21.80333333,6.538282787,MontiG,28
357.949,27.63444444,5.284799431,MontiG,28
358.174,23.33222222,5.524725108,MontiG,28
358.399,23.35888889,4.191354699,MontiG,28
358.624,24.60333333,3.777107617,MontiG,28
358.848,22.56333333,4.857864532,MontiG,28
359.073,20.02666667,5.923663766,MontiG,28
359.298,15.39333333,5.241276454,MontiG,28
359.522,21.23111111,5.014405503,MontiG,28
359.747,19.25888889,4.074707914,MontiG,28
359.972,18.70888889,4.070828453,MontiG,28
360.196,18.59222222,3.431590332,MontiG,28
360.421,15.28111111,3.007003657,MontiG,28
360.645,16.90111111,2.687538548,MontiG,28
360.87,19.68222222,2.982935722,MontiG,28
361.095,13.09444444,2.059161482,MontiG,28
361.319,10.65222222,2.569597135,MontiG,28
361.544,9.174444444,2.636711491,MontiG,28
361.768,11.50888889,2.793524228,MontiG,28
361.993,12.11,3.929604,MontiG,28
362.217,15.77333333,4.543882421,MontiG,28
