wavelength,mean_emission,se_emission,Species,Temp
347.817,-25.21777778,3.996755698,AcroG,40
348.042,-23.57333333,3.677104178,AcroG,40
348.268,-17.29555556,3.726630946,AcroG,40
348.493,-9.628888889,2.96493339,AcroG,40
348.719,-14.69888889,2.530818713,AcroG,40
348.944,-8.843333333,1.676425021,AcroG,40
349.17,7.55,1.842086717,AcroG,40
349.395,17.79444444,1.191440578,AcroG,40
349.621,29.69222222,1.67701393,AcroG,40
349.846,24.42555556,3.092837622,AcroG,40
350.071,24.57111111,4.003349231,AcroG,40
350.297,24.12555556,4.131475538,AcroG,40
350.522,26.67,4.016147337,AcroG,40
350.747,25.72888889,3.878767148,AcroG,40
350.973,15.93333333,3.435937612,AcroG,40
351.198,18.43555556,3.758271031,AcroG,40
351.423,18.24333333,4.71898916,AcroG,40
351.649,11.24777778,4.00758196,AcroG,40
351.874,14.81222222,3.238648088,AcroG,40
352.099,13.25,4.357197765,AcroG,40
352.324,19.32,5.048772293,AcroG,40
352.55,16.27111111,5.286974284,AcroG,40
352.775,19.96333333,4.098838527,AcroG,40
353,20.92333333,3.662192335,AcroG,40
353.225,24.04666667,4.307309979,AcroG,40
353.45,33.77444444,4.926219268,AcroG,40
353.675,39.44222222,3.675304776,AcroG,40
353.9,45.02888889,2.180308057,AcroG,40
354.125,50.29555556,2.670792938,AcroG,40
354.351,43.65333333,3.658310126,AcroG,40
354.576,41.87888889,2.793445365,AcroG,40
354.801,41.02666667,3.378794295,AcroG,40
355.026,48.36111111,3.066503541,AcroG,40
355.251,49.13666667,4.107292186,AcroG,40
355.476,46.78333333,4.365921929,AcroG,40
355.701,48.77111111,4.70073979,AcroG,40
355.926,45.10666667,4.473692505,AcroG,40
356.15,49.12555556,3.695512366,AcroG,40
356.375,46.17,4.741684955,AcroG,40
356.6,47.25777778,5.156577007,AcroG,40
356.825,52.63888889,6.890055745,AcroG,40
357.05,49.96111111,7.130527915,AcroG,40
357.275,43.00444444,5.949839732,AcroG,40
357.5,39.68666667,5.604426151,AcroG,40
357.724,38.98222222,4.725491552,AcroG,40
357.949,43.58333333,6.435397097,AcroG,40
358.174,35.97,5.60211317,AcroG,40
358.399,39.44444444,5.989839798,AcroG,40
358.624,39.65888889,4.529875169,AcroG,40
358.848,37.98555556,5.000526364,AcroG,40
359.073,37.54222222,4.264023877,AcroG,40
359.298,32.6,3.393892095,AcroG,40
359.522,37.20444444,3.653389279,AcroG,40
359.747,33.26555556,3.160720806,AcroG,40
359.972,33.33555556,3.393062447,AcroG,40
360.196,34.14888889,3.895780807,AcroG,40
360.421,27.58111111,4.12978878,AcroG,40
360.645,34.70555556,4.453943693,AcroG,40
360.87,37.89777778,3.764207075,AcroG,40
361.095,30.89,4.158135344,AcroG,40
361.319,31.29333333,4.772349653,AcroG,40
361.544,27.97333333,4.914935229,AcroG,40
361.768,31.42666667,4.663097624,AcroG,40
361.993,32.84888889,5.988915458,AcroG,40
362.217,38.16111111,6.609914903,AcroG,40
362.441,34.78,7.016535722,AcroG,40
362.666,30.9,6.502885935,AcroG,40
362.89,33.44888889,6.564984136,AcroG,40
363.115,28.65,6.81457778,AcroG,40
363.339,28.15333333,7.557762898,AcroG,40
363.563,28.25777778,8.048106078,AcroG,40
363.788,31.53222222,7.54829321,AcroG,40
364.012,25.59,7.41529246,AcroG,40
364.236,18.88333333,7.69616296,AcroG,40
364.461,15.97666667,7.331997616,AcroG,40
