wavelength,mean_emission,se_emission,Species,Temp
347.817,-27.20444444,2.089601756,MontiB,40
348.042,-27.28888889,1.715174757,MontiB,40
348.268,-20.93888889,1.148889225,MontiB,40
348.493,-12.85666667,1.392594202,MontiB,40
348.719,-17.40111111,1.937549041,MontiB,40
348.944,-8.312222222,2.012212412,MontiB,40
349.17,8.565555556,0.973730811,MontiB,40
349.395,19.19888889,1.10184013,MontiB,40
349.621,32.65333333,0.662209822,MontiB,40
349.846,25.78666667,1.837896183,MontiB,40
350.071,25.11333333,1.695318504,MontiB,40
350.297,23.71555556,2.135375352,MontiB,40
350.522,27.08111111,2.495850913,MontiB,40
350.747,24.76111111,3.455250849,MontiB,40
350.973,16.67333333,3.628566588,MontiB,40
351.198,18.33444444,3.455590565,MontiB,40
351.423,15.39444444,3.265158315,MontiB,40
351.649,7.62,3.105856708,MontiB,40
351.874,12.62111111,2.92517019,MontiB,40
352.099,9.867777778,3.049313516,MontiB,40
352.324,18.7,2.854974033,MontiB,40
352.55,16.06111111,3.575423247,MontiB,40
352.775,18.84666667,4.156567774,MontiB,40
353,21.29333333,2.226570788,MontiB,40
353.225,28.16333333,4.106448176,MontiB,40
353.45,36.65333333,4.784035679,MontiB,40
353.675,42.79777778,4.338377763,MontiB,40
353.9,49.18111111,4.93501924,MontiB,40
354.125,55.25111111,6.133896282,MontiB,40
354.351,47.34666667,5.57858626,MontiB,40
354.576,47.39,5.291027577,MontiB,40
354.801,45.84555556,4.087068074,MontiB,40
355.026,52.59666667,4.32148169,MontiB,40
355.251,53.29555556,5.838194207,MontiB,40
355.476,50.44888889,6.062934273,MontiB,40
355.701,50.39777778,5.964802894,MontiB,40
355.926,46.82666667,5.057708678,MontiB,40
356.15,50.93333333,5.167192903,MontiB,40
356.375,50.05111111,6.005133453,MontiB,40
356.6,50.18666667,4.682625836,MontiB,40
356.825,53.43444444,3.623935177,MontiB,40
357.05,48.39555556,3.944526237,MontiB,40
357.275,40.97222222,3.912656185,MontiB,40
357.5,38.88555556,2.082117843,MontiB,40
357.724,37.73888889,2.826903159,MontiB,40
357.949,40.91222222,2.902587075,MontiB,40
358.174,34.55666667,3.11782511,MontiB,40
358.399,37.49111111,2.791252892,MontiB,40
358.624,38.37555556,3.632119249,MontiB,40
358.848,36.78666667,3.19913024,MontiB,40
359.073,36.22888889,2.875259432,MontiB,40
359.298,31.85888889,2.814891778,MontiB,40
359.522,36.83222222,2.223154832,MontiB,40
359.747,33.16777778,1.638087898,MontiB,40
359.972,30.21666667,1.708365218,MontiB,40
360.196,32.48777778,1.822490751,MontiB,40
360.421,27.66111111,2.259975116,MontiB,40
360.645,33.30777778,2.553388948,MontiB,40
360.87,37.02888889,1.725140311,MontiB,40
361.095,30.94444444,2.699498713,MontiB,40
