wavelength,mean_emission,se_emission,Species ,Temp
347.817,-18.31555556,2.432841021,MontiG,28
348.042,-8.754444444,2.362667868,MontiG,28
348.268,-6.306666667,2.242617064,MontiG,28
348.493,-6.012222222,1.779931835,MontiG,28
348.719,-7.085555556,1.384020244,MontiG,28
348.944,-5.885555556,0.722518758,MontiG,28
349.17,0.697777778,1.438929289,MontiG,28
349.395,8.452222222,1.815307273,MontiG,28
349.621,11.66,1.488966638,MontiG,28
349.846,9.667777778,2.406999907,MontiG,28
350.071,12.92222222,3.52197791,MontiG,28
350.297,18.88444444,3.496084216,MontiG,28
350.522,12.33222222,3.177487905,MontiG,28
350.747,12.94,3.178968275,MontiG,28
350.973,15.32888889,3.103980219,MontiG,28
351.198,18.22888889,2.217019592,MontiG,28
351.423,21.01888889,2.598644705,MontiG,28
351.649,15.26555556,2.025336711,MontiG,28
351.874,14.18,2.589933746,MontiG,28
352.099,15.66444444,2.549489945,MontiG,28
352.324,16.92333333,2.391614171,MontiG,28
352.55,9.896666667,2.244393447,MontiG,28
352.775,11.82333333,2.364558678,MontiG,28
353,15.47777778,2.072282719,MontiG,28
353.225,14.31555556,2.847487816,MontiG,28
353.45,14.02777778,3.07130746,MontiG,28
353.675,16.44,2.913164173,MontiG,28
353.9,21.02888889,4.475390678,MontiG,28
354.125,22.17666667,4.262188368,MontiG,28
354.351,17.75555556,4.282034983,MontiG,28
354.576,18.02888889,3.855651005,MontiG,28
354.801,17.42666667,5.20923287,MontiG,28
355.026,20.16666667,3.549154174,MontiG,28
355.251,22.19333333,3.299158446,MontiG,28
355.476,23.78111111,3.351451807,MontiG,28
355.701,23.55111111,2.941898725,MontiG,28
355.926,26.24666667,3.50995621,MontiG,28
356.15,22.42444444,1.702892536,MontiG,28
356.375,14.07333333,2.00472934,MontiG,28
356.6,16.20444444,3.1888231,MontiG,28
356.825,23.00777778,3.701287164,MontiG,28
357.05,20.21333333,4.13540296,MontiG,28
357.275,22.04777778,4.729938237,MontiG,28
357.5,21.51444444,4.828071857,MontiG,28
357.724,15.82666667,5.480956406,MontiG,28
357.949,9.835555556,5.853854558,MontiG,28
358.174,10.17111111,5.20689747,MontiG,28
358.399,9.663333333,5.094232378,MontiG,28
358.624,10.24222222,4.344015758,MontiG,28
358.848,12.59333333,4.546299261,MontiG,28
359.073,13.09333333,5.101533655,MontiG,28
359.298,9.95,5.128731836,MontiG,28
359.522,10.87333333,5.704306936,MontiG,28
359.747,10.08111111,6.323999199,MontiG,28
359.972,10.33666667,5.470486154,MontiG,28
360.196,14.27888889,4.345712298,MontiG,28
360.421,17.98222222,4.664913958,MontiG,28
360.645,17.17888889,3.495096599,MontiG,28
360.87,16.13333333,4.364494227,MontiG,28
361.095,21.00666667,4.647944528,MontiG,28
361.319,24.04222222,4.567783123,MontiG,28
361.544,25.62555556,5.014270606,MontiG,28
361.768,25.61555556,4.818870436,MontiG,28
361.993,28.11222222,3.86858901,MontiG,28
362.217,28.36222222,4.213272454,MontiG,28
362.441,29.63444444,4.606698393,MontiG,28
362.666,31.39777778,3.461421065,MontiG,28
362.89,33.78111111,3.270084287,MontiG,28
363.115,36.29111111,2.390082304,MontiG,28
363.339,33.01666667,2.483957614,MontiG,28
363.563,30.53777778,2.565536833,MontiG,28
363.788,29.53111111,2.639929205,MontiG,28
364.012,25.86666667,2.694116736,MontiG,28
364.236,21.45444444,2.405255509,MontiG,28
364.461,21.28,2.692573723,MontiG,28
364.685,19.04222222,2.598334237,MontiG,28
364.909,17.01444444,2.729268079,MontiG,28
365.133,9.407777778,2.09615594,MontiG,28
365.358,9.042222222,2.531805891,MontiG,28
365.582,7.656666667,4.258022064,MontiG,28
365.806,9.921111111,5.817611227,MontiG,28
366.03,5.217777778,5.683823913,MontiG,28
366.254,3.538888889,5.417526369,MontiG,28
366.479,5.706666667,6.607991577,MontiG,28
366.703,9.205555556,5.788023712,MontiG,28
366.927,14.58222222,5.332386696,MontiG,28
367.151,12.04111111,5.20361158,MontiG,28
367.375,13.78666667,4.153643252,MontiG,28
367.599,18.80555556,3.172784678,MontiG,28
367.823,18.51,3.440038637,MontiG,28
368.047,21.91333333,4.837368443,MontiG,28
368.271,25.05777778,5.710218782,MontiG,28
368.495,30.18222222,5.158107114,MontiG,28
368.719,30.04333333,4.715362545,MontiG,28
368.943,28.05888889,3.648468236,MontiG,28
369.167,29.46666667,3.518522011,MontiG,28
369.391,26.33555556,2.296754673,MontiG,28
369.615,29.69444444,2.799889533,MontiG,28
369.839,31.31666667,2.45957433,MontiG,28
370.062,32.79777778,2.304643859,MontiG,28
370.286,27.48333333,2.076724502,MontiG,28
370.51,29.1,2.082706325,MontiG,28
370.734,28.77555556,2.422437397,MontiG,28
370.958,23.61444444,1.435452696,MontiG,28
371.181,25.41888889,1.651608651,MontiG,28
371.405,25.32666667,2.509372775,MontiG,28
371.629,21.77222222,4.179036955,MontiG,28
371.853,21.21666667,4.66104559,MontiG,28
372.076,19.66333333,4.720032651,MontiG,28
372.3,19.66777778,4.390932014,MontiG,28
372.524,19.70888889,4.646295159,MontiG,28
372.747,20.46888889,4.631378032,MontiG,28
372.971,16.12666667,4.969701949,MontiG,28
373.195,10.74555556,4.072876642,MontiG,28
373.418,17.33888889,3.584063247,MontiG,28
373.642,15.20666667,3.252433142,MontiG,28
373.865,20.15555556,2.58222661,MontiG,28
374.089,21.80666667,2.972314211,MontiG,28
374.312,17.64444444,3.768866523,MontiG,28
374.536,18.94555556,3.803762527,MontiG,28
374.759,19.93777778,4.443062153,MontiG,28
