wavelength,mean_emission,se_emission,Species ,Temp
347.817,-29.89111111,1.244916071,AcroB,34
348.042,-20.60555556,1.394514691,AcroB,34
348.268,-14.45222222,2.067487601,AcroB,34
348.493,-12.57222222,2.045207052,AcroB,34
348.719,-14.25555556,2.16792738,AcroB,34
348.944,-8.441111111,2.056603601,AcroB,34
349.17,2.601111111,2.167161314,AcroB,34
349.395,13.85222222,1.96731587,AcroB,34
349.621,22.78444444,1.528270818,AcroB,34
349.846,21.53,1.338476397,AcroB,34
350.071,24.23222222,1.49130009,AcroB,34
350.297,31.13666667,1.436328288,AcroB,34
350.522,28.56111111,2.57414195,AcroB,34
350.747,25.24444444,2.867396848,AcroB,34
350.973,27.39333333,2.443682548,AcroB,34
351.198,32.78222222,2.871907176,AcroB,34
351.423,32.78555556,3.138529746,AcroB,34
351.649,24.86666667,3.056353393,AcroB,34
351.874,23.28222222,2.900227884,AcroB,34
352.099,23.96333333,2.517748333,AcroB,34
352.324,25.19222222,3.264876946,AcroB,34
352.55,16.48777778,3.068228676,AcroB,34
352.775,17.26222222,3.23281704,AcroB,34
353,18.10444444,3.850705173,AcroB,34
353.225,21.17555556,3.386446889,AcroB,34
353.45,21.34333333,3.683831926,AcroB,34
353.675,22.42222222,2.61031129,AcroB,34
353.9,30.04333333,3.057543597,AcroB,34
354.125,32.06111111,3.132076326,AcroB,34
354.351,25.44222222,2.92226465,AcroB,34
354.576,23.37222222,3.033508819,AcroB,34
354.801,21.22666667,4.296683614,AcroB,34
355.026,24.44555556,3.185880449,AcroB,34
355.251,26.37111111,2.142800511,AcroB,34
355.476,29.58222222,2.12732261,AcroB,34
355.701,29.70444444,2.488234363,AcroB,34
355.926,30.78111111,2.525140439,AcroB,34
356.15,28.05555556,4.399663171,AcroB,34
356.375,17.15333333,6.038923812,AcroB,34
356.6,19.20777778,5.315200117,AcroB,34
356.825,28.09777778,5.167911348,AcroB,34
357.05,28.61111111,5.483506769,AcroB,34
357.275,28.70888889,5.362600183,AcroB,34
357.5,26.92666667,5.532906699,AcroB,34
357.724,20.66777778,6.140537112,AcroB,34
357.949,14.28111111,5.09225867,AcroB,34
358.174,10.94,5.521082499,AcroB,34
358.399,10.74,5.524829891,AcroB,34
358.624,10.58555556,5.049685244,AcroB,34
358.848,14.60222222,5.240619926,AcroB,34
359.073,16.31444444,5.416456706,AcroB,34
359.298,12.88777778,5.704786037,AcroB,34
359.522,10.82111111,5.028311173,AcroB,34
359.747,10.84111111,5.510114924,AcroB,34
359.972,11.25222222,5.284580269,AcroB,34
