wavelength,mean_emission,se_emission,Species ,Temp
347.817,-35.20111111,2.192425162,AcroG,37
348.042,-26.72444444,2.752874094,AcroG,37
348.268,-19.19444444,2.021007788,AcroG,37
348.493,-14.68333333,1.559371167,AcroG,37
348.719,-14.51222222,1.323766055,AcroG,37
348.944,-7.431111111,1.418008903,AcroG,37
349.17,4.286666667,1.931381601,AcroG,37
349.395,18.10333333,1.787024154,AcroG,37
349.621,24.86111111,1.227396589,AcroG,37
349.846,23.50222222,1.786581152,AcroG,37
350.071,27.89777778,2.031302373,AcroG,37
350.297,35.68777778,3.382513829,AcroG,37
350.522,33.61555556,3.90778681,AcroG,37
350.747,29.20555556,2.703488777,AcroG,37
350.973,28.60333333,3.35360087,AcroG,37
351.198,32.10444444,3.725038909,AcroG,37
351.423,32.23666667,4.14870324,AcroG,37
351.649,23.65777778,4.624843975,AcroG,37
351.874,24.19,5.673080345,AcroG,37
352.099,24.96777778,5.653906801,AcroG,37
352.324,26.15666667,5.448526582,AcroG,37
352.55,15.48777778,5.997938095,AcroG,37
352.775,16.21111111,5.952547189,AcroG,37
353,18.52222222,6.641775378,AcroG,37
353.225,21.20444444,5.877963179,AcroG,37
353.45,23.21777778,5.330785046,AcroG,37
353.675,24.68222222,4.9543535,AcroG,37
353.9,32.82888889,6.10289931,AcroG,37
354.125,33.80222222,4.6953806,AcroG,37
354.351,24.78888889,4.283985742,AcroG,37
354.576,24.31666667,4.799266719,AcroG,37
354.801,23.80666667,4.243706273,AcroG,37
355.026,29.28222222,4.583588157,AcroG,37
355.251,32.81333333,4.609245617,AcroG,37
355.476,37.08444444,3.515814364,AcroG,37
355.701,37.81111111,4.553222812,AcroG,37
355.926,38.30555556,5.159633975,AcroG,37
356.15,37.46666667,5.044879591,AcroG,37
356.375,28.68666667,4.295524707,AcroG,37
356.6,31.93,4.369985239,AcroG,37
356.825,42.45111111,3.925182736,AcroG,37
357.05,42.51333333,3.240142951,AcroG,37
357.275,42.53666667,3.756741587,AcroG,37
357.5,39.02888889,4.0526805,AcroG,37
357.724,32.12333333,3.684561658,AcroG,37
357.949,24.13222222,3.168304455,AcroG,37
358.174,21.60666667,2.655723111,AcroG,37
358.399,23.37,3.486842725,AcroG,37
358.624,22.85777778,4.094018714,AcroG,37
358.848,24.00555556,3.619699043,AcroG,37
359.073,24.66666667,3.109486394,AcroG,37
359.298,18.97222222,3.56347208,AcroG,37
359.522,18.6,3.224476995,AcroG,37
359.747,19.99333333,3.255932783,AcroG,37
359.972,22.11888889,3.595538158,AcroG,37
360.196,26.80111111,3.622062342,AcroG,37
360.421,28.96888889,3.287506368,AcroG,37
360.645,29.41333333,2.726358818,AcroG,37
360.87,29.56111111,2.968557183,AcroG,37
361.095,32.96222222,3.235770517,AcroG,37
361.319,37.76666667,3.113806778,AcroG,37
361.544,38.54222222,2.818809397,AcroG,37
361.768,39.98666667,3.603810485,AcroG,37
361.993,41.79666667,4.269982618,AcroG,37
362.217,41.33333333,3.351218958,AcroG,37
362.441,43.61888889,3.204085045,AcroG,37
362.666,46.52777778,3.346922359,AcroG,37
362.89,50.51444444,2.561762641,AcroG,37
363.115,51.84444444,3.013483328,AcroG,37
363.339,45.23,2.46181266,AcroG,37
363.563,42.25555556,2.052692068,AcroG,37
363.788,40.52555556,1.941612481,AcroG,37
364.012,35.28444444,1.512892598,AcroG,37
364.236,30.11222222,2.001308851,AcroG,37
364.461,29.79555556,3.277167759,AcroG,37
364.685,27.57333333,3.962317544,AcroG,37
364.909,27.23,4.737565031,AcroG,37
365.133,19.62,5.157401246,AcroG,37
365.358,20.61111111,3.74107329,AcroG,37
365.582,20.52111111,3.592790581,AcroG,37
365.806,23.07222222,3.524676354,AcroG,37
366.03,18.69111111,3.710493483,AcroG,37
366.254,14.53444444,3.407365563,AcroG,37
366.479,18.73111111,5.164027207,AcroG,37
366.703,22.27333333,4.826833601,AcroG,37
366.927,28.03222222,5.128061243,AcroG,37
367.151,25.29666667,5.373057366,AcroG,37
367.375,27.68444444,6.106708012,AcroG,37
367.599,31.75444444,4.933839549,AcroG,37
367.823,28.26666667,4.261135368,AcroG,37
368.047,29.61888889,3.867447742,AcroG,37
368.271,35.43555556,3.436188903,AcroG,37
368.495,44.98777778,3.173550739,AcroG,37
368.719,45.00222222,4.092058741,AcroG,37
368.943,44.16666667,3.855895126,AcroG,37
369.167,46.04111111,3.647658848,AcroG,37
369.391,41.96222222,4.30096383,AcroG,37
369.615,43.63888889,4.419588417,AcroG,37
369.839,45.05222222,3.893191347,AcroG,37
370.062,46.38,4.750925296,AcroG,37
370.286,41.44222222,4.359433685,AcroG,37
