wavelength,mean_emission,se_emission,Species ,Temp
347.817,-43.35444444,3.514213189,MontiB,40
348.042,-32.88111111,3.587825619,MontiB,40
348.268,-23.73777778,2.811038356,MontiB,40
348.493,-19.35,2.512939508,MontiB,40
348.719,-19.69111111,1.688599147,MontiB,40
348.944,-10.26777778,1.284940959,MontiB,40
349.17,5.714444444,1.512201207,MontiB,40
349.395,23.15444444,2.124477783,MontiB,40
349.621,36.51777778,2.683929996,MontiB,40
349.846,33.94222222,3.722896026,MontiB,40
350.071,37.82666667,4.083208255,MontiB,40
350.297,46.35111111,3.136291544,MontiB,40
350.522,43.94111111,3.72045192,MontiB,40
350.747,39.45666667,4.106948109,MontiB,40
350.973,39.87111111,5.310696887,MontiB,40
351.198,45.38555556,4.584624708,MontiB,40
351.423,46.03111111,4.312310622,MontiB,40
351.649,38.80555556,5.598412565,MontiB,40
351.874,39.88888889,5.575250109,MontiB,40
352.099,39.91444444,4.612181027,MontiB,40
352.324,43.12444444,4.419890064,MontiB,40
352.55,30.12333333,5.310731043,MontiB,40
352.775,31.38,3.697162778,MontiB,40
353,35.99333333,3.935272885,MontiB,40
353.225,40.82222222,4.23530884,MontiB,40
353.45,43.65777778,5.333561728,MontiB,40
353.675,45.56777778,5.150323926,MontiB,40
353.9,55.05222222,6.74920624,MontiB,40
354.125,56.76111111,7.362155982,MontiB,40
354.351,48.47333333,6.899693929,MontiB,40
354.576,48.77111111,5.837539677,MontiB,40
354.801,48.19,6.565126351,MontiB,40
355.026,55.51111111,6.822603315,MontiB,40
355.251,58.45777778,7.110455541,MontiB,40
355.476,60.23,6.960788963,MontiB,40
355.701,59.69,5.643215415,MontiB,40
355.926,60.16444444,6.565543655,MontiB,40
356.15,58.37333333,7.27201867,MontiB,40
356.375,48.6,7.045821513,MontiB,40
356.6,50.35,8.092426812,MontiB,40
356.825,59.34777778,7.551245843,MontiB,40
357.05,57.79333333,9.775920405,MontiB,40
357.275,56.22666667,9.72372414,MontiB,40
357.5,52.09555556,9.646601458,MontiB,40
357.724,43.28333333,9.885796327,MontiB,40
357.949,36.79444444,10.32999706,MontiB,40
358.174,32.91444444,10.85816184,MontiB,40
358.399,33.2,9.412574054,MontiB,40
358.624,33.53444444,8.385788659,MontiB,40
358.848,36.97666667,8.97046698,MontiB,40
359.073,38.05,8.112586112,MontiB,40
359.298,33.96222222,8.310507164,MontiB,40
359.522,32.8,8.576402916,MontiB,40
359.747,31.12333333,9.006654276,MontiB,40
359.972,30.62888889,8.903941376,MontiB,40
360.196,36.78444444,8.584529539,MontiB,40
360.421,37.80111111,8.192710931,MontiB,40
360.645,41.13666667,8.110820248,MontiB,40
360.87,42.03444444,7.183591902,MontiB,40
361.095,46.05555556,6.89765972,MontiB,40
361.319,47.83888889,5.819923288,MontiB,40
361.544,48.95555556,5.883889767,MontiB,40
361.768,49.26666667,5.90675754,MontiB,40
361.993,53.57777778,4.987191785,MontiB,40
362.217,56.75555556,4.767444751,MontiB,40
362.441,61.88777778,4.593095624,MontiB,40
362.666,64.32666667,4.347572151,MontiB,40
362.89,70.02333333,5.006622666,MontiB,40
363.115,70.71555556,5.0014011,MontiB,40
363.339,64.59333333,4.441617547,MontiB,40
363.563,61.19444444,4.420797671,MontiB,40
363.788,62.48555556,4.465206288,MontiB,40
364.012,55.61888889,3.48624401,MontiB,40
364.236,51.66777778,2.037326492,MontiB,40
364.461,49.27666667,2.250046397,MontiB,40
364.685,46.68555556,2.158558709,MontiB,40
364.909,47.55555556,2.556657904,MontiB,40
365.133,38.06222222,3.224889071,MontiB,40
365.358,39.11444444,4.16333038,MontiB,40
365.582,37.80666667,4.074947062,MontiB,40
