wavelength,mean_emission,se_emission,Species,Temp
347.817,-14.72777778,3.342957249,AcroB,28
348.042,-11.72444444,2.853259297,AcroB,28
348.268,-7.495555556,1.420262981,AcroB,28
348.493,-6.482222222,1.885012541,AcroB,28
348.719,-5.71,1.447149937,AcroB,28
348.944,0.595555556,1.762988856,AcroB,28
349.17,4.158888889,1.359099328,AcroB,28
349.395,8.961111111,1.37928103,AcroB,28
349.621,16.11222222,0.774748031,AcroB,28
349.846,15.54444444,2.201337346,AcroB,28
350.071,18.28,2.933406989,AcroB,28
350.297,16.8,3.056563854,AcroB,28
350.522,13.14222222,3.441715715,AcroB,28
350.747,9.98,1.701169865,AcroB,28
350.973,9.541111111,2.826937035,AcroB,28
351.198,7.696666667,4.114139426,AcroB,28
351.423,3.281111111,4.568803174,AcroB,28
351.649,7.288888889,4.07949485,AcroB,28
351.874,11.02111111,5.268986027,AcroB,28
352.099,11.41111111,5.941675562,AcroB,28
352.324,13.17222222,5.400678867,AcroB,28
352.55,11.01555556,4.843519541,AcroB,28
352.775,12.17333333,5.30809657,AcroB,28
353,12.90333333,4.674046275,AcroB,28
353.225,18.22666667,4.54409305,AcroB,28
353.45,14.47666667,4.606518961,AcroB,28
353.675,22.28,3.835086333,AcroB,28
353.9,29.54888889,3.961913881,AcroB,28
354.125,21.70222222,5.036633691,AcroB,28
354.351,16.23666667,5.237807523,AcroB,28
354.576,14.17444444,4.749746591,AcroB,28
354.801,11.8,4.829371952,AcroB,28
355.026,14.43444444,5.233214228,AcroB,28
355.251,10.97333333,4.703832966,AcroB,28
355.476,9.962222222,5.234711419,AcroB,28
355.701,4.492222222,6.165162309,AcroB,28
355.926,7.636666667,6.64273266,AcroB,28
356.15,3.904444444,8.208566409,AcroB,28
356.375,-0.43,9.139092107,AcroB,28
356.6,5.274444444,8.833085469,AcroB,28
356.825,9.174444444,7.67974132,AcroB,28
357.05,5.817777778,7.045665772,AcroB,28
357.275,7.172222222,7.498263031,AcroB,28
357.5,4.086666667,7.066103877,AcroB,28
357.724,4.647777778,7.440269589,AcroB,28
357.949,7.944444444,7.213598858,AcroB,28
358.174,5.841111111,7.252263701,AcroB,28
358.399,6.378888889,6.838057377,AcroB,28
358.624,3.231111111,6.005655299,AcroB,28
358.848,2.245555556,6.439238892,AcroB,28
359.073,1.807777778,6.872640764,AcroB,28
359.298,-4.515555556,7.839508503,AcroB,28
359.522,-0.114444444,7.797380113,AcroB,28
359.747,-0.494444444,8.187880612,AcroB,28
359.972,-5.245555556,7.717361916,AcroB,28
360.196,-3.136666667,6.756551436,AcroB,28
360.421,-1.884444444,6.14418129,AcroB,28
360.645,1.266666667,5.430755798,AcroB,28
360.87,0.281111111,5.917899297,AcroB,28
361.095,3.295555556,5.848328626,AcroB,28
361.319,1.144444444,5.518907565,AcroB,28
361.544,-1.401111111,5.938650803,AcroB,28
361.768,3.81,5.529033438,AcroB,28
361.993,2.061111111,5.722703736,AcroB,28
362.217,0.482222222,6.203836966,AcroB,28
362.441,3.386666667,5.556624341,AcroB,28
362.666,3.553333333,6.320233251,AcroB,28
362.89,2.035555556,6.490077687,AcroB,28
363.115,-5.44,6.613845647,AcroB,28
