wavelength,mean_emission,se_emission,Species,Temp
347.817,-22.04666667,2.64587909,MontiB,28
348.042,-20.00111111,4.057431065,MontiB,28
348.268,-12.14888889,3.562883154,MontiB,28
348.493,-8.99,2.236639914,MontiB,28
348.719,-8.012222222,1.798265878,MontiB,28
348.944,1.05,2.796419328,MontiB,28
349.17,6.925555556,2.497925399,MontiB,28
349.395,13.84777778,2.380061736,MontiB,28
349.621,20.68333333,1.561284638,MontiB,28
349.846,19.67555556,2.063568056,MontiB,28
350.071,21.86555556,3.298288486,MontiB,28
350.297,22.07777778,2.115990885,MontiB,28
350.522,21.05333333,3.550600395,MontiB,28
350.747,15.15111111,4.718504814,MontiB,28
350.973,14.64555556,4.154603573,MontiB,28
351.198,14.42,3.377278257,MontiB,28
351.423,10.40222222,3.555867177,MontiB,28
351.649,15.73888889,3.806625483,MontiB,28
351.874,18.01888889,4.306710928,MontiB,28
352.099,18.55444444,3.914766542,MontiB,28
352.324,20.86555556,4.349515753,MontiB,28
352.55,17.60777778,4.081862796,MontiB,28
352.775,19.20666667,5.267719597,MontiB,28
353,19.76666667,5.602518816,MontiB,28
353.225,27.56555556,6.385098112,MontiB,28
353.45,24.33444444,6.515415201,MontiB,28
353.675,28.51333333,6.958586312,MontiB,28
353.9,35.35777778,6.220589554,MontiB,28
354.125,26.79777778,6.258178646,MontiB,28
354.351,23.50777778,6.369902612,MontiB,28
354.576,24.49666667,6.273248424,MontiB,28
354.801,23.95111111,6.257729276,MontiB,28
355.026,29.07333333,6.261874772,MontiB,28
355.251,25.74111111,5.363688492,MontiB,28
355.476,24.52888889,5.420548319,MontiB,28
355.701,18.01777778,6.239545753,MontiB,28
355.926,19.85111111,5.866968757,MontiB,28
356.15,19.20111111,6.093620604,MontiB,28
356.375,15.56222222,5.795105829,MontiB,28
356.6,22.60666667,6.301243939,MontiB,28
356.825,26.48777778,5.645575882,MontiB,28
357.05,21.99333333,5.541709983,MontiB,28
357.275,22.12555556,4.29558545,MontiB,28
357.5,17.90555556,4.598113242,MontiB,28
357.724,18.69666667,4.652369302,MontiB,28
357.949,22.30111111,5.41888898,MontiB,28
358.174,20.39888889,3.510050628,MontiB,28
358.399,20.75111111,3.04027125,MontiB,28
358.624,16.98777778,2.870203642,MontiB,28
358.848,14.98,3.286334746,MontiB,28
359.073,13.60222222,3.641502274,MontiB,28
359.298,6.945555556,3.485014546,MontiB,28
359.522,10.23444444,3.911520816,MontiB,28
359.747,10.02555556,5.143629068,MontiB,28
359.972,7.797777778,4.107605367,MontiB,28
360.196,9.334444444,4.392715943,MontiB,28
360.421,9.471111111,4.816497263,MontiB,28
360.645,14.06333333,5.450525185,MontiB,28
360.87,14.72444444,5.479795322,MontiB,28
361.095,17.76666667,4.607665652,MontiB,28
361.319,14.46333333,4.192049375,MontiB,28
361.544,11.64111111,4.097725002,MontiB,28
361.768,17.40222222,4.902962692,MontiB,28
361.993,16.48555556,5.186957603,MontiB,28
362.217,15.73555556,6.15510656,MontiB,28
362.441,17.51111111,6.655795962,MontiB,28
362.666,16.64888889,6.233970515,MontiB,28
362.89,18.90111111,6.128478031,MontiB,28
363.115,11.06888889,6.871098856,MontiB,28
363.339,6.775555556,6.530994246,MontiB,28
363.563,6.807777778,6.559803511,MontiB,28
363.788,10.83666667,7.202988327,MontiB,28
364.012,9.536666667,7.066546967,MontiB,28
