wavelength,mean_emission,se_emission,Species,Temp
347.817,-18.72888889,3.973595494,MontiG,28
348.042,-17.60777778,2.433096907,MontiG,28
348.268,-10.16666667,2.758707725,MontiG,28
348.493,-8.452222222,2.148826895,MontiG,28
348.719,-7.143333333,1.204783381,MontiG,28
348.944,0.578888889,2.028409713,MontiG,28
349.17,6.378888889,2.344496253,MontiG,28
349.395,10.55333333,1.712813839,MontiG,28
349.621,18.01,1.293629421,MontiG,28
349.846,16.31555556,1.632603689,MontiG,28
350.071,19.10555556,2.559248331,MontiG,28
350.297,18.73111111,5.238785869,MontiG,28
350.522,18.48888889,5.00436547,MontiG,28
350.747,12.40222222,4.990555788,MontiG,28
350.973,11.72333333,5.002990411,MontiG,28
351.198,9.21,4.618074245,MontiG,28
351.423,4.927777778,4.79104134,MontiG,28
351.649,9.452222222,4.584858963,MontiG,28
351.874,12.96888889,4.947367892,MontiG,28
352.099,11.37777778,4.62759429,MontiG,28
352.324,15.31,3.371577625,MontiG,28
352.55,10.75111111,3.423248824,MontiG,28
352.775,12.65666667,3.24656513,MontiG,28
353,11.45,3.799098081,MontiG,28
353.225,19.19111111,3.542723508,MontiG,28
353.45,16.07888889,3.104054506,MontiG,28
353.675,23.17222222,3.432513024,MontiG,28
353.9,28.42333333,3.581738591,MontiG,28
354.125,20.22222222,4.60859675,MontiG,28
354.351,15.49666667,4.074890665,MontiG,28
354.576,15.99111111,3.132981831,MontiG,28
354.801,13.58,3.240504226,MontiG,28
355.026,16.66,4.208439485,MontiG,28
355.251,14.91666667,5.337080201,MontiG,28
355.476,15.39222222,5.723489849,MontiG,28
355.701,7.401111111,5.923827992,MontiG,28
355.926,8.445555556,5.967052222,MontiG,28
356.15,5.458888889,6.151776156,MontiG,28
356.375,1.2,5.252808296,MontiG,28
356.6,8.724444444,6.769899976,MontiG,28
356.825,13.86222222,6.815425667,MontiG,28
357.05,10.93333333,6.976343378,MontiG,28
357.275,10.41,7.033335008,MontiG,28
357.5,9.672222222,6.656005974,MontiG,28
357.724,9.821111111,5.222084739,MontiG,28
357.949,11.31666667,3.766972516,MontiG,28
358.174,10.44666667,2.718778859,MontiG,28
358.399,12.09888889,2.587168984,MontiG,28
358.624,9.087777778,2.498982012,MontiG,28
358.848,7.797777778,2.714343475,MontiG,28
359.073,4.386666667,2.205564656,MontiG,28
359.298,-3.695555556,3.201024329,MontiG,28
359.522,-1.761111111,3.634970475,MontiG,28
359.747,-0.377777778,4.426023302,MontiG,28
359.972,-4.001111111,5.474783838,MontiG,28
360.196,-3.764444444,5.495280321,MontiG,28
360.421,-2.594444444,6.297811776,MontiG,28
360.645,0.171111111,5.451077114,MontiG,28
360.87,-0.462222222,4.727368016,MontiG,28
361.095,3.83,5.099333289,MontiG,28
361.319,0.823333333,5.389350991,MontiG,28
361.544,-2.05,5.68774143,MontiG,28
361.768,3.373333333,4.85093763,MontiG,28
361.993,3.48,4.576583176,MontiG,28
362.217,0.718888889,5.402075299,MontiG,28
362.441,1.863333333,4.365218559,MontiG,28
362.666,0.523333333,4.013682592,MontiG,28
362.89,1.97,2.97638703,MontiG,28
363.115,-4.144444444,2.982596013,MontiG,28
363.339,-6.685555556,3.704045947,MontiG,28
363.563,-9.67,3.840559018,MontiG,28
363.788,-3.726666667,3.129184942,MontiG,28
364.012,-1.907777778,4.175822432,MontiG,28
364.236,-1.46,3.647104153,MontiG,28
364.461,1.346666667,4.340745601,MontiG,28
364.685,-0.917777778,4.267281834,MontiG,28
364.909,0.133333333,3.870702917,MontiG,28
365.133,-2.825555556,5.3465549,MontiG,28
365.358,-6.597777778,4.020162475,MontiG,28
365.582,-4.003333333,3.324265702,MontiG,28
365.806,1.551111111,3.716045451,MontiG,28
366.03,-0.028888889,4.254679154,MontiG,28
366.254,-2.447777778,5.110721348,MontiG,28
366.479,0.577777778,6.044673067,MontiG,28
366.703,-2.656666667,6.617948104,MontiG,28
366.927,-5.353333333,7.299972972,MontiG,28
367.151,-4.304444444,6.852507832,MontiG,28
367.375,1.831111111,6.992039064,MontiG,28
367.599,1.456666667,7.446773307,MontiG,28
367.823,4.133333333,7.254130222,MontiG,28
368.047,5.946666667,5.714901761,MontiG,28
368.271,7.244444444,4.949497591,MontiG,28
368.495,11.56666667,4.640201545,MontiG,28
368.719,9.65,5.210675429,MontiG,28
368.943,5.906666667,5.749591304,MontiG,28
369.167,9.174444444,5.428745297,MontiG,28
369.391,10.54666667,6.341279234,MontiG,28
369.615,13.6,8.078626765,MontiG,28
369.839,6.475555556,6.795549907,MontiG,28
370.062,11.75444444,6.775277446,MontiG,28
370.286,9.695555556,6.784162172,MontiG,28
370.51,9.18,6.261885637,MontiG,28
370.734,9.501111111,5.694613099,MontiG,28
370.958,13.06222222,5.080622754,MontiG,28
371.181,15.51555556,4.983542099,MontiG,28
371.405,21.28111111,4.23042058,MontiG,28
371.629,18.64333333,3.514733783,MontiG,28
371.853,16.23,3.124467644,MontiG,28
372.076,11.26777778,2.513587916,MontiG,28
372.3,11.32444444,3.588800428,MontiG,28
372.524,7.873333333,3.00888058,MontiG,28
372.747,9.592222222,3.671906891,MontiG,28
372.971,11.68111111,3.864131212,MontiG,28
373.195,6.497777778,5.132407826,MontiG,28
373.418,1.566666667,5.718848757,MontiG,28
373.642,1.377777778,5.826007424,MontiG,28
373.865,2.885555556,4.594919898,MontiG,28
374.089,3.582222222,5.49547977,MontiG,28
374.312,5.235555556,5.174014499,MontiG,28
374.536,4.256666667,6.100704103,MontiG,28
374.759,1.467777778,6.227172607,MontiG,28
374.983,4.536666667,6.209804613,MontiG,28
375.206,5.664444444,7.544016729,MontiG,28
375.43,8.286666667,7.928067197,MontiG,28
375.653,10.10222222,6.822345393,MontiG,28
375.877,8.902222222,6.433958688,MontiG,28
376.1,10.65222222,5.485699562,MontiG,28
376.323,5.111111111,6.146952165,MontiG,28
376.547,4.431111111,6.74537042,MontiG,28
376.77,6.768888889,7.145627187,MontiG,28
376.994,13.46444444,7.631298115,MontiG,28
377.217,17.86333333,6.671927851,MontiG,28
377.44,15.09888889,5.807694333,MontiG,28
377.663,17.40555556,5.753316361,MontiG,28
377.887,15.29,6.572422964,MontiG,28
378.11,18.46,6.30702361,MontiG,28
378.333,18.08333333,5.624363475,MontiG,28
378.556,20.23111111,5.389726382,MontiG,28
378.78,21.80333333,4.752319854,MontiG,28
379.003,21.33666667,3.34758463,MontiG,28
379.226,21.74555556,2.584610903,MontiG,28
379.449,22.15111111,3.699806963,MontiG,28
379.672,23.16666667,3.677900836,MontiG,28
379.895,24.25777778,3.147005878,MontiG,28
380.118,19.21555556,3.525666635,MontiG,28
380.341,22.23777778,3.114748752,MontiG,28
380.564,14.07,3.238933164,MontiG,28
380.787,12.35111111,3.148698303,MontiG,28
381.01,9.931111111,3.216546628,MontiG,28
381.233,3.817777778,3.337775394,MontiG,28
381.456,5.713333333,5.110522484,MontiG,28
381.679,0.285555556,4.787167189,MontiG,28
381.902,-3.25,4.847522887,MontiG,28
382.125,-5.101111111,4.879379634,MontiG,28
382.348,-7.392222222,5.222210902,MontiG,28
382.571,-5.454444444,5.13698175,MontiG,28
382.794,-8.531111111,5.445678338,MontiG,28
383.017,-6.201111111,5.643207555,MontiG,28
383.24,-3.114444444,5.130740698,MontiG,28
383.463,0.375555556,4.552394324,MontiG,28
383.685,6.352222222,4.913875097,MontiG,28
383.908,10.03666667,5.084625939,MontiG,28
384.131,14.90888889,3.763624996,MontiG,28
384.354,13.87555556,2.765210045,MontiG,28
384.576,16.22,2.938813555,MontiG,28
384.799,19.66666667,3.087348713,MontiG,28
385.022,18.56111111,2.66427829,MontiG,28
385.245,20.37222222,3.047511672,MontiG,28
