wavelength,mean_emission,se_emission,Species,Temp
347.817,-19.76444444,4.3042358,AcroG,34
348.042,-18.17888889,3.792594007,AcroG,34
348.268,-10.72888889,3.681724123,AcroG,34
348.493,-8.886666667,4.874504512,AcroG,34
348.719,-6.867777778,3.739614509,AcroG,34
348.944,1.337777778,2.473411702,AcroG,34
349.17,8.302222222,2.81389435,AcroG,34
349.395,14.96777778,2.344202667,AcroG,34
349.621,22.65111111,2.135062569,AcroG,34
349.846,19.81666667,1.960639315,AcroG,34
350.071,18.84777778,3.050033689,AcroG,34
350.297,17.72555556,3.279723659,AcroG,34
350.522,17.85666667,3.256877291,AcroG,34
350.747,12.08444444,3.009385678,AcroG,34
350.973,11.65333333,3.459155096,AcroG,34
351.198,9.724444444,2.638497922,AcroG,34
351.423,6.611111111,3.730322502,AcroG,34
351.649,12.38777778,3.747011068,AcroG,34
351.874,17.08444444,4.148648247,AcroG,34
352.099,19.11888889,4.452541831,AcroG,34
352.324,23.39666667,5.308555938,AcroG,34
352.55,22.32333333,5.776298236,AcroG,34
352.775,22.80111111,5.923134431,AcroG,34
353,22.46111111,6.210031738,AcroG,34
353.225,32.28777778,6.806497488,AcroG,34
353.45,30.74444444,6.346977526,AcroG,34
353.675,35.67,5.368518249,AcroG,34
353.9,42.23222222,4.485880689,AcroG,34
354.125,33.32333333,5.184753731,AcroG,34
354.351,28.96111111,5.257770126,AcroG,34
354.576,27.71222222,4.824402811,AcroG,34
354.801,25.58222222,4.107181077,AcroG,34
355.026,28.31666667,4.36596265,AcroG,34
355.251,28.17333333,4.440245845,AcroG,34
355.476,28.28777778,5.139980635,AcroG,34
355.701,20.38888889,4.802547551,AcroG,34
355.926,19.89777778,5.673110549,AcroG,34
356.15,19.51777778,5.890603775,AcroG,34
356.375,15.55555556,5.567329837,AcroG,34
356.6,21.97444444,6.455851133,AcroG,34
356.825,24.32444444,5.364933787,AcroG,34
357.05,18.82222222,4.131724259,AcroG,34
357.275,19.51111111,3.707674547,AcroG,34
357.5,16.36555556,2.943858412,AcroG,34
357.724,14.78333333,3.853655133,AcroG,34
357.949,17.21,3.490048393,AcroG,34
358.174,13.72222222,3.354293515,AcroG,34
358.399,16.87555556,2.37505353,AcroG,34
358.624,13.66333333,4.469709255,AcroG,34
358.848,12.61444444,5.278970206,AcroG,34
359.073,11.22777778,6.46205396,AcroG,34
359.298,3.576666667,6.967528174,AcroG,34
359.522,7.133333333,6.739801288,AcroG,34
359.747,5.297777778,7.72726483,AcroG,34
359.972,2.721111111,6.821843704,AcroG,34
360.196,6.108888889,7.253164152,AcroG,34
360.421,5.576666667,7.885641697,AcroG,34
360.645,9.687777778,7.036690888,AcroG,34
360.87,7.955555556,7.781552883,AcroG,34
361.095,10.53,7.436588699,AcroG,34
361.319,5.648888889,7.313517284,AcroG,34
361.544,1.294444444,6.688246667,AcroG,34
361.768,8.341111111,5.711432196,AcroG,34
361.993,7.6,5.251509082,AcroG,34
362.217,6.798888889,4.495890549,AcroG,34
362.441,9.907777778,5.208045354,AcroG,34
362.666,9.763333333,4.448385021,AcroG,34
362.89,11.92888889,5.506272859,AcroG,34
363.115,6.746666667,5.127664268,AcroG,34
363.339,5.264444444,4.176923206,AcroG,34
363.563,4.764444444,3.199651155,AcroG,34
363.788,11.26666667,2.849503554,AcroG,34
364.012,11.34222222,3.530784256,AcroG,34
364.236,8.707777778,2.83131532,AcroG,34
364.461,13.32333333,2.811847674,AcroG,34
364.685,11.61111111,3.346718439,AcroG,34
364.909,10.68333333,3.486807736,AcroG,34
365.133,6.777777778,5.162273418,AcroG,34
365.358,1.203333333,4.161152047,AcroG,34
365.582,4.295555556,4.043433877,AcroG,34
365.806,8.703333333,4.26673978,AcroG,34
366.03,3.285555556,5.94285633,AcroG,34
366.254,0.915555556,6.022622927,AcroG,34
366.479,4.328888889,7.493469008,AcroG,34
366.703,1.952222222,7.485865044,AcroG,34
366.927,-1.124444444,7.067556112,AcroG,34
367.151,-0.674444444,7.274731901,AcroG,34
367.375,5.468888889,6.474599061,AcroG,34
367.599,4.028888889,6.442873471,AcroG,34
367.823,7.667777778,6.059234864,AcroG,34
368.047,6.566666667,5.890345526,AcroG,34
368.271,9.747777778,6.035136585,AcroG,34
368.495,17.21333333,4.668150466,AcroG,34
368.719,15.11222222,4.123148311,AcroG,34
368.943,12.10222222,5.100551654,AcroG,34
369.167,16.30888889,4.151551463,AcroG,34
369.391,17.17,3.827364792,AcroG,34
369.615,19.64888889,4.691210304,AcroG,34
369.839,14.01555556,3.648155329,AcroG,34
370.062,17.03777778,4.108337451,AcroG,34
370.286,15.80222222,2.859636938,AcroG,34
370.51,17.91111111,3.808958519,AcroG,34
370.734,16.27111111,3.944727198,AcroG,34
370.958,17.56111111,4.764652185,AcroG,34
371.181,21.66,4.980739341,AcroG,34
371.405,27.27333333,4.72656512,AcroG,34
371.629,24.82,4.238859959,AcroG,34
371.853,23.58666667,4.761800052,AcroG,34
372.076,20.31888889,3.551452421,AcroG,34
372.3,19.48444444,4.812146006,AcroG,34
372.524,18.73888889,5.33755069,AcroG,34
372.747,21.28222222,4.608434645,AcroG,34
372.971,21.47777778,5.901785058,AcroG,34
373.195,14.44777778,5.306927483,AcroG,34
373.418,11.11555556,4.570196614,AcroG,34
373.642,9.01,4.378068184,AcroG,34
373.865,12.56444444,4.205187412,AcroG,34
374.089,13.50777778,4.41789089,AcroG,34
374.312,16.10444444,4.766159576,AcroG,34
374.536,13.51333333,3.993230543,AcroG,34
374.759,12.02777778,5.426735327,AcroG,34
374.983,14.47444444,5.510650824,AcroG,34
375.206,14.58555556,5.421143176,AcroG,34
375.43,17.19,5.284026455,AcroG,34
375.653,22.00777778,5.023504662,AcroG,34
375.877,21.17888889,4.040504949,AcroG,34
376.1,23.40555556,5.023149696,AcroG,34
376.323,17.92222222,4.296915402,AcroG,34
376.547,17.11777778,5.586040634,AcroG,34
376.77,19.42444444,6.065279291,AcroG,34
376.994,25.01666667,7.290978041,AcroG,34
377.217,26.75777778,6.822743366,AcroG,34
377.44,26.37333333,7.136781748,AcroG,34
377.663,28.42888889,8.328426003,AcroG,34
377.887,26.86444444,7.980220336,AcroG,34
378.11,28.19777778,9.172297508,AcroG,34
378.333,27.13,9.801408876,AcroG,34
378.556,29.98111111,9.567149835,AcroG,34
378.78,29.94555556,10.41744423,AcroG,34
379.003,29.09111111,8.837141168,AcroG,34
379.226,26.65111111,8.696057671,AcroG,34
379.449,28.89666667,7.626441634,AcroG,34
379.672,32.93555556,6.872206364,AcroG,34
379.895,32.97444444,6.493981557,AcroG,34
380.118,29.77444444,6.430419711,AcroG,34
380.341,35.34,5.93445186,AcroG,34
380.564,25.41888889,5.724399269,AcroG,34
380.787,23.00555556,5.36429662,AcroG,34
381.01,19.73333333,6.166963791,AcroG,34
381.233,12.91666667,5.866459231,AcroG,34
381.456,14.69555556,6.671910852,AcroG,34
381.679,11.08222222,6.167312058,AcroG,34
381.902,8.072222222,4.811786887,AcroG,34
382.125,4.298888889,5.487815427,AcroG,34
382.348,1.794444444,5.761346357,AcroG,34
382.571,4.107777778,4.705188643,AcroG,34
382.794,-1.273333333,4.870565221,AcroG,34
383.017,2.75,4.053174445,AcroG,34
383.24,6.414444444,3.798388735,AcroG,34
383.463,10.97777778,4.610578698,AcroG,34
383.685,17.85111111,4.897490009,AcroG,34
383.908,21.64555556,4.496798157,AcroG,34
384.131,26.57888889,5.214169412,AcroG,34
384.354,23.85333333,6.185329504,AcroG,34
384.576,24.74444444,4.861001547,AcroG,34
384.799,26.80222222,5.163662736,AcroG,34
385.022,24.61111111,4.122958817,AcroG,34
385.245,27.29222222,4.203839569,AcroG,34
385.467,32.16777778,3.80740525,AcroG,34
385.69,31.15333333,3.682194156,AcroG,34
385.913,30.54333333,3.986707905,AcroG,34
386.135,30.13333333,2.624308994,AcroG,34
386.358,23.99444444,3.01068426,AcroG,34
386.58,23.73888889,3.261531195,AcroG,34
386.803,24.71666667,3.416036818,AcroG,34
387.025,23.68222222,3.634123945,AcroG,34
387.248,21.57333333,4.210586479,AcroG,34
387.47,20.37888889,3.49181428,AcroG,34
387.693,15.39666667,2.826623345,AcroG,34
387.915,16.61777778,2.827358219,AcroG,34
388.138,13.67555556,3.572508094,AcroG,34
388.36,6.268888889,3.441016578,AcroG,34
388.583,4.784444444,3.419536611,AcroG,34
388.805,7.101111111,3.201870565,AcroG,34
389.028,6.696666667,2.617479067,AcroG,34
389.25,6.07,3.444782007,AcroG,34
389.472,6.354444444,3.589618998,AcroG,34
389.695,4.404444444,5.048252633,AcroG,34
389.917,4.143333333,4.601066175,AcroG,34
390.139,9.802222222,5.725880964,AcroG,34
390.362,9.851111111,5.881795843,AcroG,34
390.584,8.325555556,5.787053841,AcroG,34
390.806,12.06666667,5.555758539,AcroG,34
391.028,16.87888889,4.941325361,AcroG,34
391.251,16.86777778,5.922166545,AcroG,34
391.473,16.49666667,6.218231866,AcroG,34
391.695,19.65888889,5.752629271,AcroG,34
391.917,21.93555556,4.92655555,AcroG,34
392.139,27.86222222,2.848289229,AcroG,34
392.362,26.69111111,3.766687529,AcroG,34
392.584,25.21666667,3.665661986,AcroG,34
392.806,23.80888889,3.30690307,AcroG,34
393.028,28.31888889,3.948794815,AcroG,34
393.25,25.71666667,5.02819926,AcroG,34
393.472,22.83,6.63446761,AcroG,34
393.694,26.08444444,6.045492982,AcroG,34
393.916,21.53888889,5.984359215,AcroG,34
394.138,23.21555556,6.000299757,AcroG,34
394.36,25.32444444,5.044884626,AcroG,34
394.582,22.93888889,5.630129479,AcroG,34
394.804,22.65222222,4.788990069,AcroG,34
395.026,21.41,4.221301168,AcroG,34
395.248,19.52888889,4.490787933,AcroG,34
395.47,18.66888889,4.291111375,AcroG,34
395.692,20.57666667,4.491286432,AcroG,34
395.913,21.33222222,2.150872867,AcroG,34
396.135,12.49777778,2.569334163,AcroG,34
396.357,11.11111111,3.134307397,AcroG,34
396.579,11.48666667,3.901626773,AcroG,34
396.801,3.547777778,3.813893352,AcroG,34
397.022,0.001111111,3.415257214,AcroG,34
397.244,8.333333333,4.142211429,AcroG,34
397.466,9.086666667,3.927191504,AcroG,34
397.688,10.71555556,4.25932722,AcroG,34
397.909,14.17777778,3.610403061,AcroG,34
398.131,11.05,2.899947089,AcroG,34
398.353,11.15555556,3.101028017,AcroG,34
398.574,21.01222222,3.052372036,AcroG,34
398.796,25.92666667,3.427647203,AcroG,34
399.018,26.13222222,3.805522645,AcroG,34
399.239,29.69111111,4.049673992,AcroG,34
399.461,26.67888889,4.785346757,AcroG,34
399.682,17.35,5.678613139,AcroG,34
399.904,16.88444444,5.438908183,AcroG,34
400.126,15.29444444,4.924561884,AcroG,34
400.347,13.61666667,5.880189469,AcroG,34
400.569,20.22555556,6.11381918,AcroG,34
400.79,11.31,5.489878638,AcroG,34
401.012,5.093333333,6.113658743,AcroG,34
401.233,1.945555556,8.588982217,AcroG,34
401.454,-0.43,7.779239903,AcroG,34
401.676,1.713333333,8.475256379,AcroG,34
401.897,8.404444444,7.610203672,AcroG,34
402.119,12.60111111,8.056482246,AcroG,34
402.34,8.254444444,8.52318849,AcroG,34
402.561,10.64333333,7.771024635,AcroG,34
402.783,9.071111111,6.623031993,AcroG,34
403.004,8.973333333,6.460244977,AcroG,34
403.225,15.02222222,5.966285091,AcroG,34
403.447,16.53222222,6.480055289,AcroG,34
403.668,17.48444444,5.837591257,AcroG,34
403.889,14.83222222,6.324474954,AcroG,34
404.11,12.34444444,5.878202886,AcroG,34
404.332,10.81,4.670981585,AcroG,34
404.553,13.62111111,3.733084323,AcroG,34
404.774,17.01333333,4.198899865,AcroG,34
404.995,18.95444444,4.412262985,AcroG,34
405.216,16.57,4.739269115,AcroG,34
405.437,14.30444444,6.009475009,AcroG,34
405.658,17.40666667,5.838816226,AcroG,34
405.88,10.44333333,5.278331505,AcroG,34
406.101,9.953333333,6.310950942,AcroG,34
406.322,8.95,5.155103156,AcroG,34
406.543,10.89777778,4.19631656,AcroG,34
406.764,11.11333333,3.57307044,AcroG,34
406.985,5.327777778,3.391912057,AcroG,34
407.206,3.864444444,3.460107134,AcroG,34
407.427,3.113333333,3.215716481,AcroG,34
407.648,4.82,3.826466089,AcroG,34
407.869,-1.886666667,4.113946174,AcroG,34
408.089,-0.705555556,3.59112524,AcroG,34
408.31,6.726666667,3.679318523,AcroG,34
408.531,10.18888889,4.936206928,AcroG,34
408.752,15.53333333,5.415068306,AcroG,34
408.973,23.04222222,5.603515859,AcroG,34
409.194,19.39,5.796185264,AcroG,34
409.415,20.69333333,5.629011825,AcroG,34
409.635,22.56444444,6.213921013,AcroG,34
409.856,22.86555556,5.360193027,AcroG,34
410.077,29.01333333,5.310421231,AcroG,34
410.298,32.20222222,4.168742123,AcroG,34
410.518,28.10777778,3.145997811,AcroG,34
410.739,30.37666667,2.612498223,AcroG,34
410.96,26.97111111,3.161633789,AcroG,34
411.18,26.88888889,3.031801642,AcroG,34
411.401,21.31555556,2.820322164,AcroG,34
411.622,22.84111111,2.319114452,AcroG,34
411.842,41.37,2.185194914,AcroG,34
412.063,38.82555556,2.144034088,AcroG,34
412.284,32.18333333,1.644478468,AcroG,34
412.504,29.22444444,1.631590417,AcroG,34
412.725,31.63888889,1.311912248,AcroG,34
412.945,34.97555556,1.87819585,AcroG,34
413.166,33.25444444,2.16910537,AcroG,34
413.386,32.60666667,3.518551734,AcroG,34
413.607,29.30222222,4.158711722,AcroG,34
413.827,31.02444444,3.276954779,AcroG,34
414.048,32.45888889,4.303055372,AcroG,34
414.268,14.42222222,5.427228616,AcroG,34
414.489,16.04888889,5.260563817,AcroG,34
414.709,16.84222222,4.4823738,AcroG,34
414.929,12.50333333,4.037367229,AcroG,34
415.15,18.63,4.402034257,AcroG,34
415.37,19.60222222,4.285659457,AcroG,34
415.59,18.73,4.319413966,AcroG,34
415.811,19.81888889,5.782476788,AcroG,34
416.031,23.7,4.960522151,AcroG,34
416.251,18.76777778,5.041649689,AcroG,34
