Species	Temp	Pre_wavelength	Pre_mean_emission	Pre_se_emission	Post_wavelength	Post_mean_emission	Post_se_emission	Relative_emission	Condition				
MontiG	28	490.149	2885.76111	136.989792	490.149	1694.52333	103.570658	-1191.23778	LL				
MontiG	34	490.149	2452.62667	440.175781	490.149	1847.86556	155.439566	-604.76111	LL				
MontiG	37	490.149	2258.87444	122.159741	490.149	122.11556	9.137399	-2136.75888	LL				
MontiG	40	490.149	3759.78333	192.4966	490.149	79.3	3.405005	-3680.48333	LL				
MontiG	28	679.931	156.60333	12.367113	679.931	75.53889	7.561854	-81.06444	LL				
MontiG	34	679.931	162.80333	19.714651	679.931	111.18667	3.336389	-51.61666	LL				
MontiG	37	679.931	140.58111	6.341715	679.931	124.39667	8.834189	-16.18444	LL				
MontiG	40	679.931	210.08333	10.820464	679.931	100.03	7.759716	-110.05333	LL				
MontiB	28	679.931	112.89444	11.98978	679.931	54.95556	5.539727	-57.93888	LL				
MontiB	34	679.931	117.78889	19.203505	679.931	80.26778	7.867351	-37.52111	LL				
MontiB	37	679.931	114.54111	5.346775	679.931	103.96556	7.774391	-10.57555	LL				
MontiB	40	679.931	163.71444	9.108379	679.931	118.50111	6.205492	-45.21333	LL				
AcroG	28	516.18	2692.44222	77.027594	516.18	1301.76556	116.57839	-1390.67666	LL				
AcroG	34	516.18	1843.00111	437.114046	516.18	1146.48556	159.673213	-696.51555	LL				
AcroG	37	516.18	3178.90444	151.459511	516.18	50.85778	5.540806	-3128.04666	LL				
AcroG	40	516.18	2146.89222	103.729239	516.18	34.89889	3.323624	-2111.99333	LL				
AcroG	28	679.931	104.90444	5.517521	679.931	32.46667	7.649658	-72.43777	LL				
AcroG	34	679.931	74.86556	7.375815	679.931	64.62444	9.605854	-10.24112	LL				
AcroG	37	679.931	128.75889	12.498697	679.931	59.85333	4.835046	-68.90556	LL				
AcroG	40	679.931	111.25111	5.765015	679.931	74.2	2.611738	-37.05111	LL				
AcroB	28	679.931	82.69333	10.923246	679.931	59.06444	4.11992	-23.62889	LL				
AcroB	34	679.931	101.17667	11.890165	679.931	82.32333	3.256816	-18.85334	LL				
AcroB	37	679.931	103.54667	13.690906	679.931	76.98222	7.111857	-26.56445	LL				
AcroB	40	679.931	129.03333	7.337247	679.931	52.99222	5.972375	-76.04111	LL				
MontiG	28	490.149	2160.85444	63.760449	490.149	5513.11667	14.92995	3352.26223	HL				
MontiG	34	490.149	1797.30222	77.772647	490.149	5427.73889	18.287442	3630.43667	HL				
MontiG	37	490.149	1736.17444	116.478281	490.149	387.51222	8.090582	-1348.66222	HL				
MontiG	40	490.149	2680.22667	340.198952	490.149	110.24222	5.846609	-2569.98445	HL				
MontiG	28	679.931	150.34667	4.703476	679.931	132.79778	4.775443	-17.54889	HL				
MontiG	34	679.931	185.52111	7.248503	679.931	161.21444	6.804036	-24.30667	HL				
MontiG	37	679.931	171.73889	8.126106	679.931	180.66778	5.400399	8.92889	HL				
MontiG	40	679.931	273.93889	15.933594	679.931	188.53333	6.744138	-85.40556	HL				
MontiB	28	679.931	104.26111	6.090461	679.931	100.36222	4.467992	-3.89889	HL				
MontiB	34	679.931	133.24	9.066753	679.931	102.76444	4.467244	-30.47556	HL				
MontiB	37	679.931	136.21667	7.997297	679.931	179.45889	3.673141	43.24222	HL				
MontiB	40	679.931	232.44556	8.551504	679.931	188.18667	7.143634	-44.25889	HL				
AcroG	28	516.18	1310.86556	234.118882	516.18	2754.94111	40.709942	1444.07555	HL				
AcroG	34	516.18	1471.65444	142.013415	516.18	3726.09222	59.522693	2254.43778	HL				
AcroG	37	516.18	1454.61556	122.846427	516.18	38.61444	4.074547	-1416.00112	HL				
AcroG	40	516.18	1797.97222	444.967363	516.18	34.81	5.733679	-1763.16222	HL				
AcroG	28	679.931	54.84444	8.005739	679.931	68.07778	6.179902	13.23334	HL				
AcroG	34	679.931	84.36	10.051948	679.931	89.27	7.319723	4.91	HL				
AcroG	37	679.931	97.94444	5.445838	679.931	51.29333	3.748231	-46.65111	HL				
AcroG	40	679.931	115.28111	8.873046	679.931	63.62889	11.921561	-51.65222	HL				
AcroB	28	679.931	82.47444	5.098328	679.931	97.99333	4.077626	15.51889	HL				
AcroB	34	679.931	102.43222	3.416176	679.931	127.27889	7.310353	24.84667	HL				
AcroB	37	679.931	134.77	7.600979	679.931	57.42889	8.753371	-77.34111	HL				
AcroB	40	679.931	131.48889	8.684037	679.931	62.30556	5.056449	-69.18333	HL				
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
