wavelength,mean_reflectance,se_reflectance,Species,Temp
347.817,54.77888889,29.5048574,AcroG,28
348.042,49.60777778,28.63217277,AcroG,28
348.268,39.02666667,61.55132205,AcroG,28
348.493,65.81777778,35.4387528,AcroG,28
348.719,72.77222222,32.14966362,AcroG,28
348.944,-2.595555556,48.76791846,AcroG,28
349.17,-624.0177778,565.7058397,AcroG,28
349.395,3042.291111,1389.951762,AcroG,28
349.621,148.2711111,53.3394262,AcroG,28
349.846,62.18444444,32.39096012,AcroG,28
350.071,35.44888889,35.22356077,AcroG,28
350.297,12.68333333,41.5205413,AcroG,28
350.522,22.44888889,61.27737488,AcroG,28
350.747,17.67666667,136.8106049,AcroG,28
350.973,12.79777778,40.19624698,AcroG,28
351.198,26.92777778,25.38275458,AcroG,28
351.423,37.69777778,17.36446444,AcroG,28
351.649,38.17111111,22.42899587,AcroG,28
351.874,52.40666667,18.08327129,AcroG,28
352.099,62.31222222,16.89238521,AcroG,28
352.324,61.50444444,11.35338059,AcroG,28
352.55,62.60777778,14.39529405,AcroG,28
352.775,58.15111111,13.25608363,AcroG,28
353,59.19666667,11.39846585,AcroG,28
353.225,69.22111111,12.03718275,AcroG,28
353.45,102.3244444,19.4143887,AcroG,28
353.675,101.4922222,24.06361864,AcroG,28
353.9,107.7877778,30.19806139,AcroG,28
354.125,104.6977778,36.7155253,AcroG,28
354.351,83.22333333,34.77224364,AcroG,28
354.576,61.99222222,36.02685336,AcroG,28
354.801,128.3388889,80.36893865,AcroG,28
355.026,56.40333333,34.83514059,AcroG,28
355.251,19.27444444,53.84461704,AcroG,28
355.476,50.40111111,26.79066216,AcroG,28
355.701,55.92111111,17.2477827,AcroG,28
355.926,40.16888889,10.35637998,AcroG,28
356.15,34.98222222,7.74147373,AcroG,28
356.375,30.34222222,7.684997352,AcroG,28
356.6,42.02555556,5.645265271,AcroG,28
356.825,49.47555556,6.377682051,AcroG,28
357.05,51.59333333,8.502457913,AcroG,28
357.275,37.49666667,9.73994474,AcroG,28
357.5,38.35444444,9.075352757,AcroG,28
357.724,42.13111111,6.77900351,AcroG,28
357.949,37.72777778,16.51804396,AcroG,28
358.174,39.96555556,18.11237457,AcroG,28
358.399,45.15666667,20.35916704,AcroG,28
358.624,48.44222222,19.87214075,AcroG,28
358.848,68.07666667,38.01651586,AcroG,28
359.073,61.05555556,42.51538008,AcroG,28
359.298,71.35444444,39.04245585,AcroG,28
359.522,73.20333333,29.98833071,AcroG,28
359.747,89.97,26.27965523,AcroG,28
359.972,98.31333333,26.90741635,AcroG,28
