wavelength,mean_reflectance,se_reflectance,Species,Temp
347.817,1.144444444,20.57937682,AcroB,37
348.042,-5.256666667,20.76892035,AcroB,37
348.268,-52.12111111,32.63724268,AcroB,37
348.493,-15.30666667,18.70767079,AcroB,37
348.719,-40.57333333,21.46975357,AcroB,37
348.944,-58.46333333,55.39715784,AcroB,37
349.17,-1210.1,373.9890202,AcroB,37
349.395,3408.897778,988.867774,AcroB,37
349.621,83.62666667,22.50926424,AcroB,37
349.846,26.13111111,22.21289603,AcroB,37
350.071,-24.85555556,27.37569206,AcroB,37
350.297,-94.83111111,39.86970382,AcroB,37
350.522,-173.0966667,60.31391938,AcroB,37
350.747,260.4855556,65.89894115,AcroB,37
350.973,99.46111111,23.84474365,AcroB,37
351.198,97.09,19.80014105,AcroB,37
351.423,78.63666667,19.82779698,AcroB,37
351.649,66.46333333,18.63422056,AcroB,37
351.874,71.38777778,14.39062229,AcroB,37
352.099,68.95222222,16.37544245,AcroB,37
352.324,67.84222222,14.3110276,AcroB,37
352.55,61.88444444,14.9299491,AcroB,37
352.775,54.40666667,12.39041643,AcroB,37
353,52.74888889,12.68451195,AcroB,37
353.225,66.84666667,15.32061396,AcroB,37
353.45,98.81444444,23.61073606,AcroB,37
353.675,98.47555556,23.32670206,AcroB,37
353.9,112.8833333,23.15085354,AcroB,37
354.125,125.6433333,32.25588776,AcroB,37
354.351,114.5922222,38.41590463,AcroB,37
354.576,89.35111111,51.77477585,AcroB,37
354.801,169.17,169.4351294,AcroB,37
355.026,93.72666667,65.6320658,AcroB,37
355.251,98.31555556,101.9245352,AcroB,37
355.476,86.16333333,47.12053446,AcroB,37
355.701,66.49777778,28.97370042,AcroB,37
355.926,50.22333333,17.46989103,AcroB,37
356.15,44.85777778,17.93734633,AcroB,37
356.375,38.00111111,13.74159918,AcroB,37
356.6,52.21777778,11.49207439,AcroB,37
356.825,58.63444444,15.86252259,AcroB,37
357.05,70.90444444,13.43833861,AcroB,37
357.275,59.79888889,12.18806231,AcroB,37
357.5,57.75888889,14.446996,AcroB,37
357.724,57.78222222,14.96928128,AcroB,37
357.949,60.87444444,17.43008753,AcroB,37
358.174,63.97444444,21.17970886,AcroB,37
358.399,63.49666667,26.71070118,AcroB,37
358.624,68.47666667,27.32589444,AcroB,37
358.848,82.21666667,31.40930401,AcroB,37
359.073,67.34,27.28076047,AcroB,37
359.298,66.62,24.86563668,AcroB,37
359.522,56.50555556,21.20199105,AcroB,37
359.747,68.24333333,24.05748347,AcroB,37
359.972,79.94888889,22.2216584,AcroB,37
360.196,79.46,18.40980509,AcroB,37
360.421,69.63888889,10.94995819,AcroB,37
360.645,67.23,11.62127376,AcroB,37
360.87,64.53444444,15.04554791,AcroB,37
361.095,75.70222222,15.9729801,AcroB,37
361.319,80.10444444,13.24983077,AcroB,37
361.544,81.32111111,8.53071312,AcroB,37
361.768,87.38,8.418190704,AcroB,37
361.993,93.26,12.72390508,AcroB,37
362.217,87.85,9.786968675,AcroB,37
362.441,95.47444444,8.096317933,AcroB,37
362.666,101.88,8.852188018,AcroB,37
362.89,85.47888889,6.318149343,AcroB,37
363.115,83.86,9.649546553,AcroB,37
363.339,83.74111111,15.49501644,AcroB,37
363.563,84.14222222,21.40079521,AcroB,37
363.788,79.30222222,20.33295592,AcroB,37
364.012,54.33444444,17.02167451,AcroB,37
364.236,60.14666667,13.33704561,AcroB,37
364.461,48.72888889,14.51558775,AcroB,37
364.685,39.09,15.35960343,AcroB,37
364.909,38.98888889,14.37371407,AcroB,37
365.133,46.53222222,11.8161519,AcroB,37
365.358,57.67333333,18.52647052,AcroB,37
365.582,54.65555556,17.34472372,AcroB,37
365.806,60.55777778,15.96243,AcroB,37
366.03,57.29333333,13.35754249,AcroB,37
366.254,55.75666667,13.72430199,AcroB,37
366.479,74.01,16.15550378,AcroB,37
366.703,60.13555556,19.36110983,AcroB,37
366.927,66.37666667,20.05044063,AcroB,37
367.151,80.90333333,23.84321177,AcroB,37
367.375,74.32,30.0620713,AcroB,37
367.599,62.80888889,37.20709283,AcroB,37
367.823,49.81555556,27.79289063,AcroB,37
368.047,73.13333333,37.76726792,AcroB,37
368.271,91.25333333,31.13859739,AcroB,37
368.495,93.60111111,34.79801519,AcroB,37
368.719,89.83555556,24.48846261,AcroB,37
368.943,77.45777778,25.83721823,AcroB,37
369.167,78.45,18.81062197,AcroB,37
369.391,88.97,19.01795013,AcroB,37
369.615,92.25333333,16.89658245,AcroB,37
369.839,89.02444444,13.31418778,AcroB,37
370.062,102.1033333,12.41447014,AcroB,37
370.286,103.0622222,11.17020681,AcroB,37
370.51,92.77,10.44801662,AcroB,37
370.734,79.29333333,11.18282417,AcroB,37
370.958,80.20555556,13.95600296,AcroB,37
371.181,76.35222222,12.65671642,AcroB,37
371.405,76.25444444,11.88531792,AcroB,37
371.629,80.24222222,12.76077653,AcroB,37
371.853,75.24,12.68011628,AcroB,37
372.076,72.16222222,14.52090591,AcroB,37
372.3,68.94444444,15.33442639,AcroB,37
372.524,60.57,11.99795816,AcroB,37
372.747,60.03,15.34981209,AcroB,37
372.971,50.42777778,14.59617789,AcroB,37
373.195,62.98666667,15.46968948,AcroB,37
373.418,63.30444444,9.808915526,AcroB,37
373.642,65.96,8.971147787,AcroB,37
373.865,69.34555556,8.060574602,AcroB,37
374.089,69.00111111,5.827222648,AcroB,37
374.312,66.09111111,3.651653177,AcroB,37
374.536,64.60555556,4.567876489,AcroB,37
374.759,65.18888889,7.83000242,AcroB,37
374.983,67.16222222,9.009367871,AcroB,37
375.206,69.48666667,9.230785132,AcroB,37
375.43,71.70444444,8.810529181,AcroB,37
375.653,68.09555556,8.986509103,AcroB,37
375.877,67.48333333,14.26876983,AcroB,37
376.1,64.37222222,18.82366069,AcroB,37
376.323,61.00222222,15.39377839,AcroB,37
376.547,57.60666667,13.37880981,AcroB,37
376.77,50.54333333,15.27234525,AcroB,37
376.994,51.98888889,12.34358118,AcroB,37
377.217,47.78555556,13.55304254,AcroB,37
377.44,57.71777778,15.62135633,AcroB,37
377.663,55.43444444,17.63474529,AcroB,37
377.887,57.94111111,16.49120824,AcroB,37
378.11,48.04,14.22954113,AcroB,37
378.333,45.19888889,13.93861293,AcroB,37
378.556,50.41333333,14.8554431,AcroB,37
378.78,51.63,10.33481419,AcroB,37
379.003,53.34666667,15.25837652,AcroB,37
379.226,63.31333333,13.36394086,AcroB,37
379.449,59.51333333,11.58079939,AcroB,37
379.672,71.97111111,11.842559,AcroB,37
379.895,58.26222222,21.74711298,AcroB,37
380.118,50.46222222,20.35954304,AcroB,37
380.341,47.23333333,19.69439699,AcroB,37
380.564,51.73666667,16.41241112,AcroB,37
380.787,70.96777778,13.79908949,AcroB,37
381.01,68.05111111,19.01607848,AcroB,37
381.233,50.20333333,14.5497889,AcroB,37
381.456,42.61222222,20.85433571,AcroB,37
381.679,51.12777778,17.32426239,AcroB,37
381.902,55.97333333,19.94605883,AcroB,37
382.125,43.73777778,24.53979523,AcroB,37
382.348,52.23888889,15.78307074,AcroB,37
382.571,61.66222222,17.10684761,AcroB,37
382.794,62.84333333,19.25482357,AcroB,37
383.017,68.82777778,18.84954581,AcroB,37
383.24,62.52777778,19.92874803,AcroB,37
383.463,67.89111111,17.65387416,AcroB,37
383.685,87.40555556,23.34044783,AcroB,37
383.908,84.58555556,22.46773875,AcroB,37
384.131,84.40555556,31.14405666,AcroB,37
384.354,80.80333333,19.3123705,AcroB,37
384.576,77.45555556,13.06526357,AcroB,37
384.799,73.66555556,15.95396802,AcroB,37
385.022,77.63333333,19.04628555,AcroB,37
385.245,86.67666667,20.03367862,AcroB,37
385.467,84.34444444,20.21825484,AcroB,37
385.69,94.99111111,27.23874493,AcroB,37
385.913,86.30222222,27.58891809,AcroB,37
386.135,80.1,22.27293049,AcroB,37
386.358,83.48777778,19.12496816,AcroB,37
386.58,88.91111111,15.5203611,AcroB,37
386.803,81.21222222,17.51541876,AcroB,37
387.025,80.15777778,24.48542971,AcroB,37
387.248,78.66333333,13.99457632,AcroB,37
387.47,68.00777778,12.054411,AcroB,37
387.693,61.73555556,17.95887728,AcroB,37
387.915,69.80222222,15.75837717,AcroB,37
388.138,68.76555556,14.57081447,AcroB,37
388.36,69.29555556,16.45751315,AcroB,37
388.583,75.71111111,16.58882671,AcroB,37
388.805,75.99,24.48657803,AcroB,37
389.028,62.47222222,22.20705243,AcroB,37
389.25,81.06777778,32.15370473,AcroB,37
389.472,69.70222222,23.5649175,AcroB,37
389.695,76.04111111,30.76134588,AcroB,37
389.917,70.60222222,23.3139576,AcroB,37
390.139,79.62333333,15.54807251,AcroB,37
390.362,76.59,14.57566559,AcroB,37
390.584,79.04666667,15.03468462,AcroB,37
390.806,80.48777778,10.46429578,AcroB,37
391.028,66.03555556,13.02332669,AcroB,37
391.251,62.62666667,12.13850145,AcroB,37
391.473,74.82777778,13.12538677,AcroB,37
391.695,58.21888889,12.47925133,AcroB,37
391.917,68.85111111,13.19031426,AcroB,37
392.139,60.56444444,11.40328544,AcroB,37
392.362,71.28,14.14051305,AcroB,37
392.584,73.31444444,19.0623999,AcroB,37
392.806,89.15111111,18.03187861,AcroB,37
393.028,96.73666667,22.08688904,AcroB,37
393.25,92.95333333,27.75039566,AcroB,37
393.472,102.2,24.27321101,AcroB,37
393.694,102.8311111,21.83733217,AcroB,37
393.916,105.9366667,18.26504777,AcroB,37
394.138,96.59333333,16.17868267,AcroB,37
394.36,95.86666667,14.32566616,AcroB,37
394.582,110.4666667,22.12256453,AcroB,37
394.804,99.64888889,20.16854023,AcroB,37
395.026,85.20555556,12.83303608,AcroB,37
395.248,71.07,13.43854945,AcroB,37
395.47,66.33555556,13.69853333,AcroB,37
395.692,70.12222222,12.36567034,AcroB,37
395.913,68.91444444,11.97184132,AcroB,37
396.135,65.14333333,10.43169498,AcroB,37
396.357,68.51888889,12.25569111,AcroB,37
396.579,73.05444444,9.354703875,AcroB,37
396.801,70.98666667,10.05592841,AcroB,37
397.022,72.60333333,7.650367764,AcroB,37
397.244,79.49,12.31181103,AcroB,37
397.466,82.29555556,13.34293716,AcroB,37
397.688,82.75333333,22.79814545,AcroB,37
397.909,76.06111111,24.5218521,AcroB,37
398.131,74.31888889,25.701827,AcroB,37
398.353,71.27333333,27.65368583,AcroB,37
398.574,60.83666667,22.45111036,AcroB,37
398.796,48.77444444,17.84696424,AcroB,37
399.018,53.37888889,19.98310462,AcroB,37
399.239,58.46777778,18.69319772,AcroB,37
399.461,59.62111111,13.94739032,AcroB,37
399.682,50.23111111,12.17602898,AcroB,37
399.904,45.76,13.28491567,AcroB,37
400.126,53.85,6.927415924,AcroB,37
400.347,52.82444444,8.322444038,AcroB,37
400.569,52.75222222,8.175025214,AcroB,37
400.79,59.93444444,9.273129444,AcroB,37
401.012,62.67111111,9.355804496,AcroB,37
401.233,67.30222222,8.665884325,AcroB,37
401.454,61.54111111,8.431883853,AcroB,37
401.676,64.60111111,9.148370868,AcroB,37
401.897,69.47333333,8.432407762,AcroB,37
402.119,71.08888889,7.866668925,AcroB,37
402.34,72.36555556,6.760971798,AcroB,37
402.561,74.92777778,9.566904798,AcroB,37
402.783,81.88555556,12.07808517,AcroB,37
403.004,80.07111111,12.73974637,AcroB,37
