wavelength,mean_reflectance,se_reflectance,Species,Temp
347.817,21.59111111,17.88974717,MontiB,37
348.042,13.25,19.37670733,MontiB,37
348.268,-0.856666667,37.25416857,MontiB,37
348.493,4.25,39.33558874,MontiB,37
348.719,20.27888889,45.13575741,MontiB,37
348.944,-32.45777778,31.21419931,MontiB,37
349.17,-970.1111111,519.6566412,MontiB,37
349.395,2296.723333,1172.826891,MontiB,37
349.621,77.65777778,27.50603506,MontiB,37
349.846,39.05222222,25.73089108,MontiB,37
350.071,12.72222222,36.21483742,MontiB,37
350.297,-47.44777778,54.44952325,MontiB,37
350.522,-82.77888889,85.14586849,MontiB,37
350.747,145.9722222,139.2867611,MontiB,37
350.973,63.48555556,52.48194933,MontiB,37
351.198,41.60666667,44.93626305,MontiB,37
351.423,36.91111111,32.46986403,MontiB,37
351.649,36.50222222,27.86164242,MontiB,37
351.874,46.57222222,21.54190543,MontiB,37
352.099,49.58777778,23.73972132,MontiB,37
352.324,53.22555556,15.27569848,MontiB,37
352.55,59.18555556,15.23457739,MontiB,37
352.775,52.79666667,14.36190298,MontiB,37
353,51.55777778,15.77672304,MontiB,37
353.225,55.57,11.6584597,MontiB,37
353.45,86.92333333,24.98782194,MontiB,37
353.675,89.37,31.59395914,MontiB,37
353.9,100.9822222,33.70158701,MontiB,37
354.125,95.74777778,35.84808737,MontiB,37
354.351,69.47777778,47.58606022,MontiB,37
354.576,40.40888889,40.14843142,MontiB,37
354.801,10.47888889,104.583067,MontiB,37
355.026,15.74777778,42.19335521,MontiB,37
355.251,-39.68222222,69.65015191,MontiB,37
355.476,16.08222222,44.74502081,MontiB,37
355.701,31.05333333,28.04813564,MontiB,37
355.926,24.03666667,13.55823079,MontiB,37
356.15,27.20111111,15.38483849,MontiB,37
356.375,25.21666667,13.92044498,MontiB,37
356.6,37.29888889,13.63672575,MontiB,37
356.825,50.01444444,14.28758929,MontiB,37
357.05,61.83555556,17.78980894,MontiB,37
357.275,53.76444444,17.94750933,MontiB,37
357.5,57.59888889,19.14928425,MontiB,37
357.724,51.92777778,16.23198481,MontiB,37
357.949,54.86888889,22.4171974,MontiB,37
358.174,49.27666667,23.27557075,MontiB,37
358.399,52.05666667,27.58148257,MontiB,37
358.624,52.33777778,26.40390687,MontiB,37
358.848,69.38555556,34.72065768,MontiB,37
359.073,61.56555556,35.46568205,MontiB,37
359.298,48.85555556,33.24242526,MontiB,37
359.522,45.95666667,25.59013196,MontiB,37
359.747,63.89,26.31211217,MontiB,37
359.972,59.79222222,26.61056913,MontiB,37
360.196,64.53444444,31.92802227,MontiB,37
360.421,54.07888889,20.45787977,MontiB,37
360.645,64.66555556,24.05904273,MontiB,37
360.87,56.54888889,22.44072039,MontiB,37
361.095,67.96777778,23.23457765,MontiB,37
361.319,68.47,26.58879404,MontiB,37
361.544,77.58,22.45767568,MontiB,37
361.768,87.71222222,23.82258829,MontiB,37
361.993,89.22,32.15251168,MontiB,37
362.217,74.70555556,29.73133445,MontiB,37
362.441,84.41333333,24.86676962,MontiB,37
362.666,90.53888889,26.06462944,MontiB,37
362.89,78.84888889,22.83788909,MontiB,37
363.115,70.86,24.02222545,MontiB,37
363.339,69.39666667,27.31736903,MontiB,37
363.563,71.11,33.4947778,MontiB,37
363.788,66.86888889,31.58090203,MontiB,37
364.012,42.10444444,22.96212641,MontiB,37
364.236,43.41111111,19.24815083,MontiB,37
364.461,39.84555556,18.35358512,MontiB,37
364.685,35.81555556,21.61098274,MontiB,37
364.909,36.84444444,21.35245755,MontiB,37
365.133,39.67444444,17.80992097,MontiB,37
365.358,52.98777778,20.34849372,MontiB,37
365.582,53.94444444,14.76171795,MontiB,37
365.806,65.29,11.12325065,MontiB,37
366.03,59.41666667,7.25946925,MontiB,37
366.254,56.31444444,6.458118192,MontiB,37
366.479,66.48444444,14.86041652,MontiB,37
366.703,60.32666667,18.40610696,MontiB,37
366.927,70.04888889,21.41698011,MontiB,37
367.151,74.79666667,26.1142694,MontiB,37
367.375,68.13555556,29.89726433,MontiB,37
367.599,66.8,27.72844337,MontiB,37
367.823,45.96888889,21.8168424,MontiB,37
368.047,58.77888889,33.44934871,MontiB,37
368.271,70.33666667,27.08194241,MontiB,37
368.495,68.37444444,29.4527545,MontiB,37
368.719,70.88555556,18.96195386,MontiB,37
368.943,69.04666667,19.80247459,MontiB,37
369.167,69.01666667,18.41660469,MontiB,37
369.391,70.36333333,17.13099748,MontiB,37
369.615,74.29111111,15.47894418,MontiB,37
369.839,75.90666667,10.00689379,MontiB,37
370.062,87.24777778,9.804351274,MontiB,37
370.286,86.91444444,9.790998892,MontiB,37
370.51,76.60222222,7.788084988,MontiB,37
370.734,65.78,7.523661744,MontiB,37
370.958,66.96555556,9.83144893,MontiB,37
371.181,63.57777778,9.917939042,MontiB,37
371.405,61.75666667,8.628996644,MontiB,37
371.629,62.64777778,9.46022471,MontiB,37
371.853,65.50333333,9.622588149,MontiB,37
372.076,68.47222222,9.209179251,MontiB,37
372.3,63.16,12.40968281,MontiB,37
372.524,56.20222222,10.62066024,MontiB,37
372.747,60.17111111,14.93235252,MontiB,37
372.971,57.55777778,16.28996013,MontiB,37
373.195,69.90888889,19.17942065,MontiB,37
373.418,64.02333333,13.00741584,MontiB,37
373.642,65.14,12.23305475,MontiB,37
373.865,72.59,13.63780531,MontiB,37
374.089,71.32555556,17.47749181,MontiB,37
374.312,61.92888889,17.50279683,MontiB,37
374.536,56.99888889,17.58818315,MontiB,37
374.759,60.38777778,15.22273383,MontiB,37
374.983,59.72333333,13.54238669,MontiB,37
375.206,58.44,11.90740535,MontiB,37
375.43,56.63444444,12.28766328,MontiB,37
375.653,55.59666667,11.44767104,MontiB,37
375.877,54.92111111,10.25133898,MontiB,37
376.1,52.34111111,14.96887418,MontiB,37
376.323,44.81777778,12.3978534,MontiB,37
376.547,44.73333333,9.777602386,MontiB,37
376.77,41.10333333,12.45947551,MontiB,37
376.994,41.97777778,14.30848214,MontiB,37
377.217,29.01111111,14.90169438,MontiB,37
377.44,41.49777778,17.53022196,MontiB,37
377.663,43.80333333,23.81432068,MontiB,37
377.887,48.84222222,19.87870038,MontiB,37
378.11,36.41444444,18.64107976,MontiB,37
378.333,34.85444444,18.29968553,MontiB,37
378.556,34.06777778,18.47152866,MontiB,37
378.78,36.00111111,17.71175697,MontiB,37
