wavelength,mean_reflectance,se_reflectance,Species,Temp
347.817,14.65888889,18.32737809,MontiG,37
348.042,-4.173333333,17.60700048,MontiG,37
348.268,-39.59111111,44.44863389,MontiG,37
348.493,-9.966666667,41.97313196,MontiG,37
348.719,-13.52555556,42.03948321,MontiG,37
348.944,-107.5355556,52.43317941,MontiG,37
349.17,-1078.036667,503.9930625,MontiG,37
349.395,2953.535556,960.5240816,MontiG,37
349.621,92.86555556,13.27131216,MontiG,37
349.846,37.47666667,26.6016348,MontiG,37
350.071,-6.657777778,44.34986512,MontiG,37
350.297,-57.83333333,53.50816695,MontiG,37
350.522,-122.4,83.15836822,MontiG,37
350.747,195.6333333,139.8433127,MontiG,37
350.973,85.23444444,53.53359249,MontiG,37
351.198,74.64444444,42.15978575,MontiG,37
351.423,71.58555556,38.97440032,MontiG,37
351.649,67.85222222,40.12362227,MontiG,37
351.874,72.24777778,27.571607,MontiG,37
352.099,71.19111111,28.77746451,MontiG,37
352.324,71.02777778,19.51130769,MontiG,37
352.55,67.26333333,18.09514672,MontiG,37
352.775,59.61222222,15.24226784,MontiG,37
353,59.91111111,12.28167943,MontiG,37
353.225,71.95777778,15.94850375,MontiG,37
353.45,104.3488889,25.98343408,MontiG,37
353.675,103.0255556,27.71769588,MontiG,37
353.9,109.1344444,21.34590947,MontiG,37
354.125,113.25,36.11262187,MontiG,37
354.351,86.92333333,41.33774072,MontiG,37
354.576,75.75333333,40.09278394,MontiG,37
354.801,145.7255556,133.3932877,MontiG,37
355.026,90.58333333,48.66278536,MontiG,37
355.251,82.12111111,89.17961913,MontiG,37
355.476,92.87555556,64.20086281,MontiG,37
355.701,76.39444444,38.38147821,MontiG,37
355.926,58.46777778,26.10212287,MontiG,37
356.15,56.50222222,24.72219985,MontiG,37
356.375,48.96666667,19.19806033,MontiG,37
356.6,58.48333333,14.26537724,MontiG,37
356.825,71.10111111,15.2842093,MontiG,37
357.05,74.97111111,19.43862448,MontiG,37
357.275,59.28444444,17.05435605,MontiG,37
357.5,61.28333333,18.5920286,MontiG,37
357.724,56.78111111,14.55503369,MontiG,37
357.949,53.24,20.05789661,MontiG,37
358.174,48.55333333,21.19222888,MontiG,37
358.399,49.33777778,18.29484698,MontiG,37
358.624,47.20888889,19.0160482,MontiG,37
358.848,66.26111111,25.57805909,MontiG,37
359.073,45.61555556,28.15664367,MontiG,37
359.298,41.17888889,29.14972091,MontiG,37
359.522,40.1,23.65478854,MontiG,37
359.747,60.24555556,20.22769505,MontiG,37
359.972,60.53111111,25.2386996,MontiG,37
360.196,73.44222222,31.48573483,MontiG,37
360.421,66.60333333,22.40635982,MontiG,37
360.645,67.90333333,26.09386669,MontiG,37
360.87,56.66444444,21.05501197,MontiG,37
361.095,67.94555556,21.86260161,MontiG,37
361.319,68.04888889,27.08903991,MontiG,37
361.544,81.36555556,21.01500539,MontiG,37
361.768,90.69555556,20.18950898,MontiG,37
361.993,100.7522222,27.2797352,MontiG,37
362.217,87.28222222,28.42324687,MontiG,37
362.441,97.06444444,23.64628223,MontiG,37
362.666,98.26333333,28.99129759,MontiG,37
362.89,77.08666667,23.39627736,MontiG,37
363.115,73.39777778,23.66420038,MontiG,37
363.339,74,23.4972376,MontiG,37
363.563,78.76666667,27.18830589,MontiG,37
363.788,76.40666667,26.59723118,MontiG,37
364.012,48.47777778,23.33072109,MontiG,37
364.236,50.43444444,22.29931068,MontiG,37
364.461,43.09222222,15.78850387,MontiG,37
364.685,34.78555556,14.86469108,MontiG,37
364.909,33.58555556,15.24948669,MontiG,37
365.133,38.88,11.25768577,MontiG,37
365.358,54.60777778,10.86440872,MontiG,37
365.582,57.45666667,10.62495402,MontiG,37
365.806,60.86222222,11.08986823,MontiG,37
366.03,52.38333333,6.234785851,MontiG,37
366.254,42.58333333,6.518364005,MontiG,37
366.479,50.78444444,10.05823976,MontiG,37
366.703,42.22444444,14.16401779,MontiG,37
366.927,48.80666667,18.69334871,MontiG,37
367.151,58.19333333,21.3467475,MontiG,37
367.375,47.59333333,25.41192169,MontiG,37
367.599,51.49111111,23.11411306,MontiG,37
367.823,36.7,18.05921267,MontiG,37
368.047,47.83666667,25.97795058,MontiG,37
368.271,71.65555556,20.59770599,MontiG,37
368.495,77.84333333,20.43338137,MontiG,37
368.719,84.70111111,20.53042741,MontiG,37
368.943,77.33222222,20.47481866,MontiG,37
369.167,78.26111111,21.66724765,MontiG,37
369.391,74.86777778,18.19830027,MontiG,37
369.615,77.90777778,14.31946989,MontiG,37
369.839,77.97555556,12.96967041,MontiG,37
370.062,86.16,13.4119033,MontiG,37
370.286,88.31777778,9.299612203,MontiG,37
370.51,77.91111111,9.705658543,MontiG,37
370.734,67.00333333,9.936454468,MontiG,37
370.958,64.21,10.52674646,MontiG,37
371.181,58.61111111,9.285428293,MontiG,37
371.405,60.53666667,7.325652633,MontiG,37
371.629,63.13333333,9.910633214,MontiG,37
371.853,69.81222222,8.129401062,MontiG,37
372.076,68.28888889,8.301006521,MontiG,37
372.3,66.52111111,7.682699713,MontiG,37
372.524,58.36,8.303804238,MontiG,37
372.747,61.59444444,10.92409038,MontiG,37
372.971,54.05888889,13.905668,MontiG,37
373.195,63.75666667,17.88575941,MontiG,37
373.418,63.50888889,14.42463941,MontiG,37
373.642,65.85444444,13.09642913,MontiG,37
373.865,72.56333333,15.67567439,MontiG,37
374.089,68.34222222,11.51796843,MontiG,37
374.312,58.21333333,11.72189249,MontiG,37
374.536,56.45555556,10.16684152,MontiG,37
374.759,57.17555556,10.40903881,MontiG,37
374.983,54.63444444,10.42188272,MontiG,37
375.206,53.16888889,8.665518985,MontiG,37
375.43,51.23666667,8.810089939,MontiG,37
375.653,51.97555556,9.271744662,MontiG,37
375.877,49.76444444,10.72701,MontiG,37
376.1,43.06777778,15.04575611,MontiG,37
376.323,34.42777778,16.4136797,MontiG,37
376.547,37.14888889,13.40397526,MontiG,37
376.77,32.24666667,15.84870536,MontiG,37
376.994,32.63,18.849897,MontiG,37
377.217,19.60555556,20.76953322,MontiG,37
377.44,39.80222222,18.79494524,MontiG,37
377.663,45.22222222,19.49060927,MontiG,37
377.887,52.73,14.27335983,MontiG,37
378.11,46.06111111,14.23842801,MontiG,37
378.333,51.16666667,17.39786535,MontiG,37
378.556,54.34666667,20.37561878,MontiG,37
378.78,57.26,21.21846119,MontiG,37
379.003,65.41888889,23.85096705,MontiG,37
379.226,82.08555556,21.63485723,MontiG,37
379.449,74.57222222,21.04251018,MontiG,37
379.672,94.36222222,20.52724961,MontiG,37
379.895,92.52888889,28.28944097,MontiG,37
380.118,84.75333333,30.15977127,MontiG,37
380.341,85.42555556,26.49286115,MontiG,37
380.564,84.93777778,27.99411282,MontiG,37
380.787,97.23777778,28.31072214,MontiG,37
381.01,98.09888889,26.50304045,MontiG,37
381.233,82.47222222,20.06468357,MontiG,37
381.456,73.89888889,20.1451443,MontiG,37
381.679,64.35666667,15.64586294,MontiG,37
381.902,77.81222222,20.62331443,MontiG,37
382.125,66.65333333,18.03515674,MontiG,37
382.348,53.25333333,12.41226956,MontiG,37
382.571,64.28555556,9.635267469,MontiG,37
382.794,69.19,13.89926261,MontiG,37
383.017,61.73555556,9.46332143,MontiG,37
383.24,52.27444444,9.464319292,MontiG,37
383.463,58.28333333,10.20413939,MontiG,37
383.685,61.55444444,11.47960786,MontiG,37
383.908,61.48222222,8.186126563,MontiG,37
384.131,57.93333333,9.757571225,MontiG,37
384.354,56.43111111,7.458113906,MontiG,37
384.576,56.46444444,8.229055002,MontiG,37
384.799,55.16777778,11.11597129,MontiG,37
385.022,52.29333333,12.63100002,MontiG,37
385.245,61.01444444,15.58546442,MontiG,37
385.467,65.26555556,18.2986975,MontiG,37
385.69,67.40888889,18.2759533,MontiG,37
385.913,52.78888889,16.77893994,MontiG,37
386.135,59.72333333,10.5791744,MontiG,37
386.358,62.52333333,8.114824411,MontiG,37
386.58,73.90111111,8.500899241,MontiG,37
386.803,63.78777778,7.687205345,MontiG,37
387.025,56.5,10.28092126,MontiG,37
387.248,64.91555556,9.151740558,MontiG,37
387.47,54.84444444,10.72490106,MontiG,37
387.693,43.97111111,13.41214528,MontiG,37
387.915,54.06666667,15.18387853,MontiG,37
388.138,52.28444444,13.10341498,MontiG,37
388.36,59.17888889,15.72143718,MontiG,37
388.583,61.05666667,17.17646622,MontiG,37
388.805,59.51666667,20.31808553,MontiG,37
389.028,46.20444444,18.04938918,MontiG,37
389.25,63.04555556,19.9836326,MontiG,37
389.472,54.50888889,14.23834571,MontiG,37
389.695,41.08111111,16.52827238,MontiG,37
389.917,56.13,10.106243,MontiG,37
390.139,68.73222222,9.591511875,MontiG,37
390.362,64.20222222,7.847818535,MontiG,37
390.584,67.54222222,11.42823899,MontiG,37
390.806,69.94444444,11.6240071,MontiG,37
391.028,57.99888889,12.38487798,MontiG,37
391.251,56.29777778,13.43821181,MontiG,37
391.473,64.98444444,17.97520413,MontiG,37
391.695,51.46,14.19039708,MontiG,37
391.917,63.77222222,14.69919152,MontiG,37
392.139,65.41888889,15.51536852,MontiG,37
392.362,67.64777778,19.87952638,MontiG,37
392.584,66.02888889,25.23772778,MontiG,37
392.806,81.95222222,30.3218271,MontiG,37
393.028,96.27222222,28.19545803,MontiG,37
393.25,85.30111111,34.25013297,MontiG,37
393.472,103.08,36.52916861,MontiG,37
393.694,99.19888889,31.11811349,MontiG,37
393.916,101.9022222,24.464017,MontiG,37
394.138,89.76111111,29.32549424,MontiG,37
394.36,88.89111111,26.55030052,MontiG,37
394.582,98.94777778,34.72405371,MontiG,37
394.804,96.61,27.0975669,MontiG,37
395.026,80.91555556,16.4248351,MontiG,37
395.248,67.86,15.74754755,MontiG,37
395.47,64.95333333,11.08315302,MontiG,37
395.692,68.21555556,9.140898375,MontiG,37
395.913,65.37111111,11.1022846,MontiG,37
396.135,61.74333333,12.28277244,MontiG,37
396.357,68.12111111,11.04133631,MontiG,37
396.579,75.47333333,9.949235482,MontiG,37
396.801,78.03333333,9.107121136,MontiG,37
397.022,75.08333333,9.481089159,MontiG,37
397.244,75.80555556,15.41834138,MontiG,37
397.466,88.19777778,19.14360953,MontiG,37
397.688,89.90888889,23.67546319,MontiG,37
397.909,76.43111111,21.32813243,MontiG,37
398.131,84.68888889,17.21537127,MontiG,37
398.353,76.51333333,17.36501799,MontiG,37
398.574,60.83555556,9.928342112,MontiG,37
398.796,51.64555556,10.61750976,MontiG,37
399.018,54.89444444,15.1936972,MontiG,37
399.239,46.24444444,14.39145671,MontiG,37
399.461,52.2,14.53440011,MontiG,37
399.682,46.48222222,15.83069585,MontiG,37
399.904,40.95222222,20.00736552,MontiG,37
400.126,48.78,15.86367241,MontiG,37
400.347,47.98666667,16.35561096,MontiG,37
400.569,45.11444444,18.04593097,MontiG,37
400.79,51.80666667,17.9141964,MontiG,37
401.012,61.12222222,18.50920949,MontiG,37
401.233,56.98333333,18.48829546,MontiG,37
