wavelength,mean_reflectance,se_reflectance,Species,Temp
347.817,211.7433333,121.1455284,AcroB,28
348.042,157.4933333,66.67574464,AcroB,28
348.268,118.97,56.86109673,AcroB,28
348.493,272.96,126.3454395,AcroB,28
348.719,-59.00555556,39.62169816,AcroB,28
348.944,102.26,30.57405279,AcroB,28
349.17,90.34777778,17.81368957,AcroB,28
349.395,75.24666667,30.13257416,AcroB,28
349.621,58.78666667,34.26081819,AcroB,28
349.846,62.93777778,28.53453612,AcroB,28
350.071,55.76555556,28.90688071,AcroB,28
350.297,54.34555556,19.35794601,AcroB,28
350.522,57.66222222,10.05492333,AcroB,28
350.747,43.38888889,13.57313931,AcroB,28
350.973,52.07888889,20.04901948,AcroB,28
351.198,56.39888889,25.76136474,AcroB,28
351.423,12.55222222,33.15969708,AcroB,28
351.649,-23.45111111,59.76592777,AcroB,28
351.874,-10.08666667,33.11420225,AcroB,28
352.099,-10.51555556,17.5566255,AcroB,28
352.324,-10.52333333,16.63229219,AcroB,28
352.55,-15.52666667,17.00164736,AcroB,28
352.775,-18.28666667,21.97868819,AcroB,28
353,-4.668888889,22.37062645,AcroB,28
353.225,22.42777778,14.68649585,AcroB,28
353.45,14.29222222,17.09960095,AcroB,28
353.675,-2.928888889,18.96839617,AcroB,28
353.9,4.703333333,24.29946866,AcroB,28
354.125,21.35,15.92917724,AcroB,28
354.351,13.08888889,18.81608828,AcroB,28
354.576,33.69555556,25.92216888,AcroB,28
354.801,19.54444444,29.99280116,AcroB,28
355.026,13.52555556,30.09311372,AcroB,28
355.251,15.07777778,12.76577479,AcroB,28
355.476,-14.75333333,13.98516613,AcroB,28
355.701,-99.74333333,25.38416538,AcroB,28
355.926,-56.90888889,12.3065074,AcroB,28
356.15,-18.29777778,26.68052506,AcroB,28
356.375,3.957777778,32.67522341,AcroB,28
356.6,-96.56777778,74.25066412,AcroB,28
356.825,25.30666667,23.11015465,AcroB,28
357.05,21.61111111,36.32785792,AcroB,28
357.275,-4.495555556,76.44488998,AcroB,28
357.5,20.70777778,57.10280623,AcroB,28
357.724,526.5488889,592.6693349,AcroB,28
