wavelength,mean_reflectance,se_reflectance,Species,Temp
347.817,178.4211111,137.9947593,MontiB,28
348.042,134.8055556,64.73423446,MontiB,28
348.268,115.0622222,54.27850879,MontiB,28
348.493,298.5388889,178.1719631,MontiB,28
348.719,-71.41555556,78.03654482,MontiB,28
348.944,82.09,33.61944063,MontiB,28
349.17,81.26777778,12.8744002,MontiB,28
349.395,56.56555556,15.78435592,MontiB,28
349.621,47.20111111,38.65741681,MontiB,28
349.846,58.68888889,38.72257444,MontiB,28
350.071,51.57444444,46.75815316,MontiB,28
350.297,49.21777778,39.73631231,MontiB,28
350.522,62.78666667,22.54930575,MontiB,28
350.747,49.74444444,24.12340705,MontiB,28
350.973,74.43111111,23.97545021,MontiB,28
351.198,93.59,39.7138718,MontiB,28
351.423,39.29111111,32.83482976,MontiB,28
351.649,30.74666667,70.87845981,MontiB,28
351.874,26.31888889,36.44114519,MontiB,28
352.099,14.10888889,23.53371863,MontiB,28
352.324,13.16555556,22.72407839,MontiB,28
352.55,11.65,21.68443418,MontiB,28
352.775,34.81333333,30.16575956,MontiB,28
353,36.86777778,35.10992285,MontiB,28
353.225,57.42777778,19.08915551,MontiB,28
353.45,48.98777778,23.05583388,MontiB,28
353.675,41.67111111,28.81109661,MontiB,28
353.9,47.41666667,26.40691596,MontiB,28
354.125,51.72,19.11846757,MontiB,28
354.351,57.16555556,27.42890323,MontiB,28
354.576,83.66333333,30.53636234,MontiB,28
354.801,74.53111111,27.78191482,MontiB,28
355.026,65.14333333,28.80493139,MontiB,28
355.251,40.93444444,15.87609836,MontiB,28
355.476,23.53555556,24.46362511,MontiB,28
355.701,-34.09444444,70.18171097,MontiB,28
355.926,3.026666667,67.82209197,MontiB,28
356.15,22.70555556,49.25316244,MontiB,28
356.375,31.36555556,52.82622636,MontiB,28
356.6,0.118888889,118.376129,MontiB,28
356.825,58.62333333,37.8348287,MontiB,28
357.05,36.47555556,31.23633372,MontiB,28
357.275,6.321111111,58.14843206,MontiB,28
357.5,42.83333333,44.46120759,MontiB,28
357.724,32.19444444,464.6186355,MontiB,28
357.949,47.14555556,81.40759329,MontiB,28
358.174,-40.09222222,161.0633546,MontiB,28
358.399,114.7388889,49.973337,MontiB,28
358.624,161.9133333,53.09364999,MontiB,28
358.848,169.7855556,64.1843828,MontiB,28
359.073,22963.01444,8667.583318,MontiB,28
359.298,258.2,68.62159336,MontiB,28
359.522,239.3622222,64.90248175,MontiB,28
359.747,-660.0788889,308.448746,MontiB,28
359.972,163.7611111,32.94541523,MontiB,28
360.196,93.10666667,64.20084382,MontiB,28
360.421,141.9111111,373.6202363,MontiB,28
360.645,5.04,104.0661615,MontiB,28
360.87,44.44111111,38.20678289,MontiB,28
361.095,59.37222222,49.4600215,MontiB,28
361.319,74.11888889,67.71889476,MontiB,28
361.544,105.8977778,79.94565509,MontiB,28
361.768,62.37,36.114814,MontiB,28
361.993,46.92888889,35.46426661,MontiB,28
362.217,48.18777778,31.11812998,MontiB,28
362.441,47.39888889,32.55765387,MontiB,28
362.666,30.52666667,28.41094151,MontiB,28
362.89,6.986666667,34.78710574,MontiB,28
363.115,13.64444444,32.64055187,MontiB,28
363.339,15.42555556,28.54152421,MontiB,28
363.563,17.50777778,27.26622946,MontiB,28
363.788,21.63333333,18.77079416,MontiB,28
364.012,0.81,24.58974527,MontiB,28
364.236,-3.09,45.19675944,MontiB,28
364.461,9.858888889,54.75916132,MontiB,28
364.685,-135.7055556,198.4672451,MontiB,28
364.909,-34.99888889,92.15901868,MontiB,28
365.133,-8.713333333,69.18500094,MontiB,28
365.358,6.616666667,57.82164546,MontiB,28
365.582,-69.30555556,73.44939476,MontiB,28
365.806,-2.577777778,58.68354729,MontiB,28
366.03,1.235555556,32.37354498,MontiB,28
366.254,-189.0266667,95.89928663,MontiB,28
366.479,-1083.318889,557.1202836,MontiB,28
366.703,-186.2644444,64.69098953,MontiB,28
366.927,-812.2733333,213.6003489,MontiB,28
367.151,-1166.675556,333.6851127,MontiB,28
367.375,18313.04889,5740.553843,MontiB,28
367.599,1084.593333,290.8094532,MontiB,28
367.823,-128.0644444,82.64486427,MontiB,28
368.047,-148.57,76.53917236,MontiB,28
368.271,-234.4433333,85.06751055,MontiB,28
368.495,1237.064444,373.0061781,MontiB,28
368.719,-24371.92889,11515.02589,MontiB,28
368.943,-355.2411111,178.9028121,MontiB,28
369.167,186.7577778,72.32072206,MontiB,28
369.391,199.8633333,82.37916095,MontiB,28
369.615,436.2088889,155.4372516,MontiB,28
369.839,236.5855556,100.5878086,MontiB,28
370.062,149.1555556,47.94236153,MontiB,28
370.286,124.7544444,25.33970712,MontiB,28
370.51,83.96333333,27.56275144,MontiB,28
370.734,68.84666667,32.74691821,MontiB,28
370.958,73.69,58.48761774,MontiB,28
371.181,63.94555556,40.54245274,MontiB,28
371.405,105.0288889,99.33845508,MontiB,28
371.629,59.83,11.95464749,MontiB,28
371.853,59.05666667,18.04319929,MontiB,28
372.076,77.23444444,20.82895064,MontiB,28
372.3,66.79777778,13.90176021,MontiB,28
372.524,66.04222222,17.07436797,MontiB,28
372.747,52.95333333,29.60618768,MontiB,28
372.971,47.30222222,28.13693114,MontiB,28
373.195,52.68777778,23.16278686,MontiB,28
373.418,38.48666667,25.71620247,MontiB,28
373.642,-21.62333333,35.83759199,MontiB,28
373.865,-10.35,20.30959328,MontiB,28
374.089,-21.53,46.84677209,MontiB,28
374.312,-12.74444444,28.88467765,MontiB,28
374.536,-34.95333333,62.08739299,MontiB,28
374.759,0.826666667,43.01649481,MontiB,28
374.983,0.451111111,39.93588337,MontiB,28
375.206,-12.1,32.82179353,MontiB,28
375.43,-21.59,31.70726935,MontiB,28
375.653,-17.13111111,32.50855373,MontiB,28
375.877,0.325555556,27.87755352,MontiB,28
376.1,10.84111111,33.32238067,MontiB,28
376.323,12.43333333,37.03192989,MontiB,28
376.547,0.123333333,42.23782985,MontiB,28
376.77,20.22444444,45.94647039,MontiB,28
376.994,-20.24333333,32.41888836,MontiB,28
377.217,-36.54888889,36.20043094,MontiB,28
377.44,-37.51,35.7543064,MontiB,28
377.663,11.41333333,32.09258778,MontiB,28
377.887,0.967777778,34.37225329,MontiB,28
378.11,-39.75,61.343039,MontiB,28
378.333,-41.09444444,49.24964969,MontiB,28
378.556,-36.21333333,41.63234948,MontiB,28
378.78,-41.66333333,45.5052212,MontiB,28
379.003,-6.91,24.05393386,MontiB,28
379.226,-14.47333333,23.64520609,MontiB,28
379.449,21.99777778,24.06454222,MontiB,28
379.672,20.04111111,25.38573205,MontiB,28
379.895,10.2,29.25946041,MontiB,28
380.118,-8.272222222,25.00985292,MontiB,28
380.341,18.51333333,20.93382475,MontiB,28
380.564,10.91777778,19.05485269,MontiB,28
380.787,12.97111111,21.31834606,MontiB,28
381.01,14.72333333,20.57576045,MontiB,28
381.233,7.462222222,22.72770722,MontiB,28
381.456,11.08555556,21.37059381,MontiB,28
381.679,14.46333333,21.42155858,MontiB,28
381.902,-46.07888889,32.54507836,MontiB,28
382.125,-167.7911111,60.95061606,MontiB,28
382.348,-60.26666667,24.0072609,MontiB,28
382.571,-78.48444444,45.87637887,MontiB,28
382.794,-66.43111111,47.65351326,MontiB,28
383.017,-25.09555556,38.46934151,MontiB,28
383.24,-37.16,32.95821218,MontiB,28
383.463,-48.20666667,44.2983549,MontiB,28
383.685,-81.68555556,53.70326342,MontiB,28
383.908,-293.7644444,142.7546365,MontiB,28
384.131,-96.08111111,72.25911125,MontiB,28
384.354,-106.4433333,90.69968745,MontiB,28
384.576,-158.7655556,142.5576142,MontiB,28
384.799,689.2477778,591.5543371,MontiB,28
385.022,-2106.842222,1361.52748,MontiB,28
385.245,145.4066667,74.78064095,MontiB,28
385.467,80.53222222,35.02890092,MontiB,28
385.69,68.48777778,31.77284141,MontiB,28
