wavelength,mean_reflectance,se_reflectance,Species,Temp
347.817,180.5022222,104.5835567,AcroG,34
348.042,117.0433333,34.30599045,AcroG,34
348.268,96.86888889,39.8815693,AcroG,34
348.493,333.8111111,135.4766274,AcroG,34
348.719,-68.35444444,40.35168916,AcroG,34
348.944,62.90555556,31.80599729,AcroG,34
349.17,78.77111111,6.519317154,AcroG,34
349.395,50.08,30.59283315,AcroG,34
349.621,55.83888889,41.05440083,AcroG,34
349.846,60.38333333,25.9844355,AcroG,34
350.071,59.47333333,22.232233,AcroG,34
350.297,73.07,28.04675828,AcroG,34
350.522,69.12111111,9.279189175,AcroG,34
350.747,53.74333333,12.77060733,AcroG,34
350.973,83.14444444,18.17734018,AcroG,34
351.198,116.4888889,28.54563624,AcroG,34
351.423,59.66111111,18.20030629,AcroG,34
351.649,87.24,21.82577773,AcroG,34
351.874,64.02111111,18.51829007,AcroG,34
352.099,34.24666667,12.76760682,AcroG,34
352.324,33.06222222,14.00358156,AcroG,34
352.55,29.56444444,14.40002532,AcroG,34
352.775,37.79222222,21.95820203,AcroG,34
353,39.75333333,38.52361315,AcroG,34
353.225,56.71333333,23.51045647,AcroG,34
353.45,50.5,25.22819218,AcroG,34
353.675,31.50333333,30.99623783,AcroG,34
353.9,42.18222222,21.59232516,AcroG,34
354.125,41.06,19.05106507,AcroG,34
354.351,34.77888889,26.23582696,AcroG,34
354.576,58.60222222,30.9383522,AcroG,34
354.801,41.07777778,33.00519079,AcroG,34
355.026,36.85444444,40.64438607,AcroG,34
355.251,28.06444444,22.64928454,AcroG,34
355.476,13.98888889,21.11692867,AcroG,34
355.701,-59.12888889,54.67349051,AcroG,34
355.926,-17.27111111,60.64154375,AcroG,34
356.15,11.11444444,53.35259454,AcroG,34
356.375,23.79,59.31393421,AcroG,34
356.6,11.34444444,149.6024375,AcroG,34
356.825,68.69111111,47.59879068,AcroG,34
357.05,37.97555556,55.05218122,AcroG,34
357.275,27.81222222,94.55757976,AcroG,34
357.5,30.72444444,66.8404319,AcroG,34
357.724,294.3011111,838.3754264,AcroG,34
357.949,114.9533333,254.6185747,AcroG,34
358.174,-24.16555556,248.764919,AcroG,34
358.399,100.01,96.5225798,AcroG,34
358.624,141.6466667,89.88584187,AcroG,34
358.848,170.7811111,114.4799322,AcroG,34
359.073,19804.90556,14270.25063,AcroG,34
359.298,208.7088889,106.6340085,AcroG,34
359.522,168.7955556,82.50953238,AcroG,34
359.747,-297.7155556,296.749563,AcroG,34
359.972,82.76,37.84956592,AcroG,34
360.196,-35.09111111,81.99455271,AcroG,34
360.421,722.2577778,474.2123516,AcroG,34
360.645,132.7666667,100.1524417,AcroG,34
360.87,82.59111111,55.75405998,AcroG,34
361.095,104.1855556,58.01382617,AcroG,34
361.319,141.3911111,81.24394375,AcroG,34
361.544,161.5888889,99.12027023,AcroG,34
361.768,89.55222222,49.58385578,AcroG,34
361.993,74.32333333,46.29956202,AcroG,34
362.217,75.95222222,37.47107407,AcroG,34
362.441,70.34222222,30.79083832,AcroG,34
362.666,51.28111111,21.96478721,AcroG,34
362.89,34.78,23.44396269,AcroG,34
363.115,35.60555556,25.82586799,AcroG,34
363.339,47.57666667,20.0820783,AcroG,34
363.563,46.41,17.96811684,AcroG,34
363.788,44.01222222,17.1680382,AcroG,34
364.012,33.16333333,16.11093888,AcroG,34
364.236,38.66222222,39.18414513,AcroG,34
364.461,64.70888889,66.21917378,AcroG,34
364.685,36.41111111,241.0938364,AcroG,34
364.909,96.04888889,117.7781044,AcroG,34
365.133,103.0655556,79.64651846,AcroG,34
365.358,83.26,61.71605394,AcroG,34
365.582,77.96,105.1435148,AcroG,34
365.806,77.79333333,84.9656125,AcroG,34
366.03,44.71333333,42.6159389,AcroG,34
366.254,-76.85888889,115.6887887,AcroG,34
366.479,-528.8388889,952.1383766,AcroG,34
366.703,-127.95,105.3254741,AcroG,34
366.927,-689.6922222,306.1037729,AcroG,34
367.151,-1248.341111,470.9298061,AcroG,34
