wavelength,mean_reflectance,se_reflectance,Species,Temp
347.817,256.0066667,87.4320302,MontiG,37
348.042,164.1366667,47.99421183,MontiG,37
348.268,120.0911111,29.05035549,MontiG,37
348.493,288.3622222,65.87035959,MontiG,37
348.719,-70.08666667,26.42223503,MontiG,37
348.944,68.75111111,29.29387189,MontiG,37
349.17,83.52,20.22759331,MontiG,37
349.395,69.12111111,31.37516266,MontiG,37
349.621,89.59555556,42.7875257,MontiG,37
349.846,65.72444444,24.85839666,MontiG,37
350.071,68.81666667,15.60140578,MontiG,37
350.297,55.56777778,25.82230958,MontiG,37
350.522,61.89666667,20.49283089,MontiG,37
350.747,42.18111111,10.13314527,MontiG,37
350.973,56.86333333,9.464409829,MontiG,37
351.198,75.84888889,9.797948607,MontiG,37
351.423,41.72111111,13.20800922,MontiG,37
351.649,41.28555556,29.60335704,MontiG,37
351.874,16.77,20.68659178,MontiG,37
352.099,11.17555556,10.90812929,MontiG,37
352.324,7.971111111,14.93153197,MontiG,37
352.55,11.50111111,18.36951345,MontiG,37
352.775,26.02222222,27.52802779,MontiG,37
353,29.34222222,33.07116851,MontiG,37
353.225,59.20888889,25.38298492,MontiG,37
353.45,50.41555556,25.45008945,MontiG,37
353.675,36.15666667,31.92806151,MontiG,37
353.9,38.37555556,30.76553457,MontiG,37
354.125,43.83444444,24.33770823,MontiG,37
354.351,46.61333333,35.74070522,MontiG,37
354.576,57.44777778,51.49601201,MontiG,37
354.801,43.56666667,47.39389626,MontiG,37
355.026,33.43777778,52.75021639,MontiG,37
355.251,28.62888889,34.0064861,MontiG,37
355.476,6.476666667,38.20612854,MontiG,37
355.701,-94.80444444,80.17343216,MontiG,37
355.926,-65.32888889,88.05735601,MontiG,37
356.15,-21.28777778,63.24734413,MontiG,37
356.375,-5,81.03660173,MontiG,37
356.6,-100.8444444,166.7648339,MontiG,37
356.825,31.47333333,45.91180101,MontiG,37
357.05,38.60666667,44.70096431,MontiG,37
357.275,26.46,66.13961253,MontiG,37
357.5,33.58666667,43.92287013,MontiG,37
357.724,422.85,507.996985,MontiG,37
357.949,154.6344444,151.23165,MontiG,37
358.174,56.14666667,126.9178563,MontiG,37
358.399,96.29,35.5408792,MontiG,37
358.624,167.6877778,40.67680033,MontiG,37
358.848,191.2266667,79.68366657,MontiG,37
359.073,20421.77667,6250.029301,MontiG,37
359.298,254.0011111,68.47130517,MontiG,37
359.522,246.4944444,84.39411714,MontiG,37
359.747,-505.9888889,329.3265073,MontiG,37
359.972,117.0266667,49.12251945,MontiG,37
360.196,1.126666667,61.43351248,MontiG,37
360.421,876.2144444,282.3217647,MontiG,37
360.645,175.9366667,48.15060837,MontiG,37
360.87,89.12333333,26.97870877,MontiG,37
361.095,110.4944444,34.82592241,MontiG,37
361.319,155.3988889,47.16968927,MontiG,37
361.544,173.6166667,67.67307453,MontiG,37
361.768,111.9244444,22.400994,MontiG,37
361.993,93.46222222,16.45002501,MontiG,37
362.217,82.30555556,12.42976199,MontiG,37
362.441,74.40555556,13.74418939,MontiG,37
362.666,51.43333333,14.80783885,MontiG,37
362.89,19.60444444,17.62189439,MontiG,37
363.115,22.73888889,12.17680652,MontiG,37
363.339,35.41222222,15.32019527,MontiG,37
363.563,31.95222222,17.7658774,MontiG,37
363.788,30.56888889,17.00520159,MontiG,37
364.012,17.38444444,20.36823781,MontiG,37
364.236,7.258888889,35.6940479,MontiG,37
364.461,18.77333333,53.12810799,MontiG,37
364.685,-59.82111111,203.2669825,MontiG,37
364.909,25.82888889,81.11295041,MontiG,37
365.133,67.76,71.65131164,MontiG,37
365.358,77.79,58.74810885,MontiG,37
365.582,88.69222222,91.24551187,MontiG,37
365.806,86.27777778,74.42381644,MontiG,37
366.03,73.89333333,40.82532241,MontiG,37
366.254,-3.758888889,68.17677545,MontiG,37
366.479,224.7766667,618.0849473,MontiG,37
366.703,-61.81111111,64.69347531,MontiG,37
