wavelength,mean_reflectance,se_reflectance,Species,Temp
347.817,13.35666667,99.25816013,MontiB,28
348.042,24.28888889,131.6454615,MontiB,28
348.268,21.31222222,50.35536687,MontiB,28
348.493,-122.7744444,131.1431075,MontiB,28
348.719,599.8222222,565.5516641,MontiB,28
348.944,14.54222222,164.5621189,MontiB,28
349.17,49.80666667,55.78702177,MontiB,28
349.395,55.59222222,29.54927769,MontiB,28
349.621,14.58,24.48748551,MontiB,28
349.846,81.49444444,122.0910247,MontiB,28
350.071,117.1211111,91.39359694,MontiB,28
350.297,-147.1055556,313.7748888,MontiB,28
350.522,-238.2266667,212.8092719,MontiB,28
350.747,255.9177778,235.9021258,MontiB,28
350.973,143.2111111,143.2431466,MontiB,28
351.198,128.81,80.09097004,MontiB,28
351.423,76.58111111,60.42254809,MontiB,28
351.649,68.50444444,31.51557845,MontiB,28
351.874,69.17222222,24.61469922,MontiB,28
352.099,65.22444444,29.43362186,MontiB,28
352.324,97.94222222,54.80236902,MontiB,28
352.55,81.59111111,37.40717416,MontiB,28
352.775,64.93555556,21.38046092,MontiB,28
353,58.07666667,18.79038436,MontiB,28
353.225,59.37333333,23.28094513,MontiB,28
353.45,74.47666667,30.13791494,MontiB,28
353.675,64.12222222,27.03519164,MontiB,28
353.9,52.95444444,26.80904405,MontiB,28
354.125,57.59333333,28.3585992,MontiB,28
354.351,64.66555556,32.32213682,MontiB,28
354.576,52.10666667,29.66343518,MontiB,28
354.801,50.75888889,26.51044191,MontiB,28
355.026,35.52,22.75125541,MontiB,28
355.251,30.22777778,26.8082849,MontiB,28
355.476,34.60333333,40.85314638,MontiB,28
355.701,34.46888889,38.12584729,MontiB,28
355.926,22.10111111,19.27434342,MontiB,28
356.15,-0.046666667,22.00182024,MontiB,28
356.375,15.41555556,19.55015715,MontiB,28
356.6,3.705555556,30.12183778,MontiB,28
356.825,-84.59333333,40.9068283,MontiB,28
357.05,-185.69,67.65646113,MontiB,28
357.275,-274.4122222,62.41239764,MontiB,28
357.5,-397.8466667,113.8448616,MontiB,28
357.724,-182.2488889,63.44274797,MontiB,28
357.949,-75.53555556,29.83493704,MontiB,28
358.174,-54.54333333,19.85343968,MontiB,28
358.399,-107.6122222,36.57137911,MontiB,28
358.624,-11.08444444,14.12222607,MontiB,28
358.848,5.904444444,7.165832634,MontiB,28
359.073,17.54222222,5.7629872,MontiB,28
359.298,40.35777778,7.773286934,MontiB,28
359.522,40.66222222,5.375553799,MontiB,28
359.747,61.31,6.535831576,MontiB,28
359.972,57.62666667,4.972755919,MontiB,28
360.196,59.94333333,9.878927333,MontiB,28
360.421,55.32222222,11.02629908,MontiB,28
360.645,49.00444444,15.48557369,MontiB,28
360.87,53.33888889,18.47242766,MontiB,28
361.095,52.18333333,22.91624471,MontiB,28
361.319,57.75777778,26.97900069,MontiB,28
361.544,49.00888889,24.11954496,MontiB,28
361.768,27.09,20.74267752,MontiB,28
361.993,0.561111111,29.90002214,MontiB,28
362.217,-217.5088889,119.0325509,MontiB,28
362.441,949.4055556,378.917219,MontiB,28
362.666,485.3988889,152.8968157,MontiB,28
362.89,-574.9,418.3570166,MontiB,28
363.115,-0.868888889,62.39475326,MontiB,28
363.339,-41.00888889,55.14046205,MontiB,28
363.563,-89.28555556,56.58319759,MontiB,28
363.788,326.8355556,97.2736462,MontiB,28
364.012,162.3477778,47.24304347,MontiB,28
364.236,170.1944444,54.77689369,MontiB,28
364.461,86.85888889,82.07891081,MontiB,28
364.685,42.79444444,96.44934116,MontiB,28
364.909,64.22222222,72.92568923,MontiB,28
365.133,52.09666667,47.89812472,MontiB,28
365.358,35.49,45.34367237,MontiB,28
365.582,13.86888889,77.15184835,MontiB,28
365.806,28.25111111,68.67688803,MontiB,28
366.03,48.99222222,84.78895369,MontiB,28
366.254,53.56777778,90.09407708,MontiB,28
366.479,68.37222222,69.808498,MontiB,28
366.703,-9960.594444,18549.48295,MontiB,28
366.927,201.1122222,423.9629454,MontiB,28
367.151,87.79666667,187.7308648,MontiB,28
367.375,-53.66222222,147.4107146,MontiB,28
367.599,-37.58333333,106.2786563,MontiB,28
367.823,-10.83333333,59.29151249,MontiB,28
368.047,6.301111111,60.59610427,MontiB,28
368.271,-76.53444444,153.1939033,MontiB,28
368.495,-345.2877778,345.1578033,MontiB,28
368.719,130.7733333,76.5810995,MontiB,28
368.943,74.97555556,30.12421994,MontiB,28
369.167,67.53555556,25.17741515,MontiB,28
369.391,57.36111111,17.9165206,MontiB,28
369.615,73.7,18.39020274,MontiB,28
369.839,50.61,7.334039176,MontiB,28
370.062,49.44,16.09794652,MontiB,28
370.286,44.86444444,8.237241531,MontiB,28
370.51,48.47222222,10.07033215,MontiB,28
370.734,35.30444444,14.0716264,MontiB,28
370.958,24.46777778,11.30123101,MontiB,28
371.181,21.03111111,14.19066462,MontiB,28
371.405,9.341111111,20.1707876,MontiB,28
371.629,16.51444444,20.83823027,MontiB,28
371.853,20.77555556,19.90375582,MontiB,28
372.076,21.69777778,19.30773385,MontiB,28
372.3,2.654444444,31.833703,MontiB,28
372.524,4.011111111,24.76194343,MontiB,28
372.747,-7.291111111,29.33864807,MontiB,28
372.971,-2.887777778,26.8854813,MontiB,28
373.195,2.791111111,23.51486944,MontiB,28
373.418,0.697777778,23.43379683,MontiB,28
373.642,4.917777778,29.22729242,MontiB,28
373.865,-25.01777778,55.91295467,MontiB,28
374.089,-72.94111111,89.40642182,MontiB,28
374.312,-50.80666667,70.94619991,MontiB,28
374.536,-32.62444444,29.939222,MontiB,28
374.759,0.594444444,14.84171049,MontiB,28
374.983,-30.59222222,24.68767522,MontiB,28
375.206,-4.217777778,17.71616531,MontiB,28
375.43,-0.578888889,22.17813126,MontiB,28
375.653,14.96666667,19.80822081,MontiB,28
375.877,22.02111111,21.64468117,MontiB,28
376.1,37.43333333,39.40751908,MontiB,28
376.323,50.28444444,33.13299584,MontiB,28
376.547,46.33777778,22.60102671,MontiB,28
376.77,53.20555556,34.56317433,MontiB,28
376.994,86.08333333,66.43555669,MontiB,28
377.217,93.31111111,64.3836889,MontiB,28
377.44,97.10111111,32.78932277,MontiB,28
377.663,133.1144444,45.71781639,MontiB,28
377.887,103.9655556,63.75361909,MontiB,28
378.11,107.3933333,61.40319231,MontiB,28
378.333,89.85222222,40.77535358,MontiB,28
378.556,73.84888889,15.55364319,MontiB,28
378.78,64.57555556,14.33609915,MontiB,28
379.003,85.06333333,20.53895707,MontiB,28
379.226,74.09555556,23.64176818,MontiB,28
379.449,65.95222222,15.60996186,MontiB,28
379.672,60.99666667,12.6884454,MontiB,28
379.895,56.54222222,16.49677307,MontiB,28
380.118,54.92,11.66240675,MontiB,28
380.341,62.15666667,8.919054656,MontiB,28
380.564,50.00666667,8.093805809,MontiB,28
380.787,48.30666667,7.553812198,MontiB,28
381.01,47.46222222,12.24641783,MontiB,28
381.233,46.11,13.72472493,MontiB,28
381.456,39.01,13.75882308,MontiB,28
381.679,38.24333333,12.80546435,MontiB,28
381.902,29.22666667,13.72393239,MontiB,28
382.125,34.00888889,17.58019473,MontiB,28
382.348,28.62666667,17.58380466,MontiB,28
382.571,7.436666667,22.26828082,MontiB,28
382.794,-2.734444444,18.44475833,MontiB,28
383.017,7.904444444,15.90763771,MontiB,28
383.24,-26.93444444,20.04681974,MontiB,28
383.463,-81.45666667,48.76370498,MontiB,28
383.685,-36.31222222,52.30191841,MontiB,28
383.908,-33.29444444,35.00279044,MontiB,28
384.131,-30.79222222,38.90464024,MontiB,28
384.354,-63.08222222,92.42102162,MontiB,28
384.576,-16.81888889,51.41269792,MontiB,28
384.799,-23.04,78.32025666,MontiB,28
385.022,-3.996666667,51.85854776,MontiB,28
385.245,-9.244444444,33.37967084,MontiB,28
385.467,-3.251111111,36.05476333,MontiB,28
385.69,10.56111111,32.30019348,MontiB,28
385.913,27.51,12.37687162,MontiB,28
386.135,-17.77111111,10.42865719,MontiB,28
386.358,-43.80555556,22.51609349,MontiB,28
386.58,-8.713333333,18.70322439,MontiB,28
386.803,8.42,12.05262091,MontiB,28
387.025,11.41222222,9.827094785,MontiB,28
387.248,20.7,15.94199635,MontiB,28
387.47,19.49444444,21.70342006,MontiB,28
387.693,31.99777778,21.46794666,MontiB,28
387.915,46.24111111,22.96851166,MontiB,28
388.138,51.42555556,21.15085088,MontiB,28
388.36,58.29333333,31.57769119,MontiB,28
388.583,55.51888889,24.98296189,MontiB,28
388.805,66.03444444,19.10038981,MontiB,28
389.028,50.75,22.16545231,MontiB,28
389.25,63.37,29.68551285,MontiB,28
389.472,86.78111111,36.95307882,MontiB,28
389.695,58.31888889,22.30579373,MontiB,28
389.917,56.00666667,15.80076868,MontiB,28
390.139,65.29222222,19.08227864,MontiB,28
390.362,45.19111111,11.64225736,MontiB,28
390.584,50.56,9.944593372,MontiB,28
390.806,40.60111111,10.19203141,MontiB,28
391.028,59.29444444,11.38734423,MontiB,28
391.251,62.05111111,9.716926093,MontiB,28
391.473,68.97222222,11.17617391,MontiB,28
391.695,59.38,8.815067735,MontiB,28
391.917,51.16555556,8.517836571,MontiB,28
392.139,52.13444444,8.523625236,MontiB,28
392.362,63.64444444,10.75577046,MontiB,28
392.584,63.68333333,11.73572672,MontiB,28
392.806,69.25222222,15.96409196,MontiB,28
393.028,64.64777778,20.09697152,MontiB,28
393.25,63.81111111,21.51317978,MontiB,28
393.472,48.32444444,18.39737268,MontiB,28
393.694,45.98444444,13.13915791,MontiB,28
393.916,37.39555556,15.85042101,MontiB,28
394.138,37.94222222,25.02203192,MontiB,28
394.36,43.16777778,29.39994975,MontiB,28
394.582,43.43111111,27.83067148,MontiB,28
394.804,34.14555556,31.75544999,MontiB,28
395.026,32.10111111,33.45513729,MontiB,28
395.248,32.86222222,26.01087742,MontiB,28
395.47,39.77222222,21.96837,MontiB,28
395.692,48.91888889,21.05791098,MontiB,28
395.913,35.48111111,21.33116717,MontiB,28
396.135,27.38555556,28.92350968,MontiB,28
396.357,22.46444444,30.78724674,MontiB,28
396.579,20.96444444,27.27801339,MontiB,28
396.801,20.67777778,25.25476594,MontiB,28
397.022,16.67555556,33.40422641,MontiB,28
397.244,19.44444444,36.30551851,MontiB,28
397.466,-3.44,35.64821657,MontiB,28
397.688,4.468888889,40.80448775,MontiB,28
397.909,-0.598888889,37.05851257,MontiB,28
398.131,4.498888889,30.48367347,MontiB,28
398.353,17.37111111,32.19416278,MontiB,28
398.574,10.58555556,32.55111405,MontiB,28
398.796,17.49222222,24.82130205,MontiB,28
399.018,23.84222222,25.67909268,MontiB,28
399.239,29.79555556,19.08773654,MontiB,28
399.461,31.69888889,17.43542601,MontiB,28
399.682,26.01444444,14.58794991,MontiB,28
399.904,31.12444444,13.93519701,MontiB,28
400.126,28.93888889,12.25783101,MontiB,28
400.347,29.27111111,13.84068768,MontiB,28
400.569,30.11111111,18.72022103,MontiB,28
400.79,31.47555556,33.61826451,MontiB,28
401.012,34.86111111,25.49265538,MontiB,28
401.233,42.16777778,16.27810697,MontiB,28
401.454,41.39666667,12.03540492,MontiB,28
401.676,38.04555556,16.50467208,MontiB,28
401.897,40.84111111,18.68678906,MontiB,28
402.119,29.22555556,19.54139469,MontiB,28
402.34,32.63777778,22.53680658,MontiB,28
402.561,29.52666667,21.98348625,MontiB,28
402.783,46.88111111,17.98091942,MontiB,28
403.004,40.87777778,17.9087313,MontiB,28
403.225,35.82888889,12.69369229,MontiB,28
403.447,34.08111111,13.7511823,MontiB,28
403.668,27.50333333,14.65936136,MontiB,28
403.889,25.94444444,12.23639019,MontiB,28
404.11,28.20666667,14.12946012,MontiB,28
404.332,43.52333333,9.587785165,MontiB,28
404.553,51.05111111,11.13143937,MontiB,28
404.774,49.26,6.932382006,MontiB,28
404.995,49.82444444,7.56246732,MontiB,28
405.216,28.12111111,11.302234,MontiB,28
405.437,37.3,7.431665777,MontiB,28
405.658,42.37222222,8.323088517,MontiB,28
405.88,42.69,6.555617869,MontiB,28
406.101,45.69555556,8.677569348,MontiB,28
406.322,49.03222222,7.666221417,MontiB,28
406.543,45.14222222,5.909346231,MontiB,28
406.764,26.57,5.300385753,MontiB,28
406.985,24.29333333,2.308437288,MontiB,28
407.206,26.63555556,3.003232213,MontiB,28
407.427,21.01222222,2.431617014,MontiB,28
407.648,20.07,2.249812521,MontiB,28
407.869,11.37888889,3.41035621,MontiB,28
408.089,5.706666667,6.252857613,MontiB,28
408.31,7.745555556,7.321109072,MontiB,28
408.531,0.412222222,9.151733392,MontiB,28
408.752,-6.656666667,11.35267571,MontiB,28
408.973,-3.193333333,8.536893603,MontiB,28
409.194,1.024444444,7.791379849,MontiB,28
409.415,-6.108888889,8.135456779,MontiB,28
409.635,-7.512222222,7.423194754,MontiB,28
409.856,5.521111111,6.838922097,MontiB,28
410.077,14.02111111,5.088541159,MontiB,28
410.298,17.19888889,3.621150341,MontiB,28
410.518,10.47444444,3.720125459,MontiB,28
410.739,12.21888889,4.73004364,MontiB,28
410.96,18.17222222,5.91942578,MontiB,28
411.18,17.58777778,5.44162552,MontiB,28
411.401,18.14111111,5.553464055,MontiB,28
411.622,17.52888889,4.175148387,MontiB,28
411.842,21.29666667,4.535502168,MontiB,28
412.063,21.17333333,3.710335448,MontiB,28
412.284,16.37444444,3.391917541,MontiB,28
412.504,10.45444444,2.89216142,MontiB,28
412.725,5.325555556,3.87595496,MontiB,28
412.945,7.74,3.635631388,MontiB,28
413.166,8.421111111,3.074177093,MontiB,28
413.386,8.315555556,2.619875928,MontiB,28
413.607,6.224444444,3.283579421,MontiB,28
413.827,5.522222222,2.796061897,MontiB,28
414.048,3.536666667,2.927317386,MontiB,28
414.268,2.181111111,2.377776656,MontiB,28
414.489,0.013333333,2.509405689,MontiB,28
414.709,-0.501111111,2.586373228,MontiB,28
414.929,2.272222222,2.995725554,MontiB,28
415.15,3.937777778,3.023366824,MontiB,28
415.37,3.167777778,2.588049473,MontiB,28
415.59,1.287777778,2.449674502,MontiB,28
415.811,-0.444444444,2.673422359,MontiB,28
416.031,0.337777778,2.686995523,MontiB,28
416.251,1.163333333,2.255038067,MontiB,28
416.472,0.761111111,2.451923656,MontiB,28
416.692,1.268888889,2.583500282,MontiB,28
416.912,3.518888889,1.923517886,MontiB,28
417.132,4.016666667,1.66960963,MontiB,28
417.352,3.787777778,1.429865601,MontiB,28
417.573,4.136666667,1.215828955,MontiB,28
417.793,3.203333333,1.388053109,MontiB,28
418.013,4.068888889,1.444050656,MontiB,28
418.233,3.525555556,1.115765639,MontiB,28
418.453,3.173333333,0.759466779,MontiB,28
418.673,2.391111111,1.013972246,MontiB,28
418.893,2.503333333,1.085256948,MontiB,28
419.113,2.243333333,1.157339845,MontiB,28
419.333,1.666666667,1.244164333,MontiB,28
419.553,0.998888889,0.899275097,MontiB,28
