wavelength,mean_reflectance,se_reflectance,Species,Temp
347.817,-127.6811111,41.78829854,MontiG,28
348.042,-204.3966667,95.53126079,MontiG,28
348.268,-11.95666667,50.43062914,MontiG,28
348.493,-74.36111111,132.1435021,MontiG,28
348.719,5.501111111,619.4709246,MontiG,28
348.944,-208.0188889,139.5690424,MontiG,28
349.17,-20.86888889,52.59265435,MontiG,28
349.395,-0.618888889,34.53509887,MontiG,28
349.621,6.892222222,15.14177437,MontiG,28
349.846,83.90111111,122.5767112,MontiG,28
350.071,122.9988889,71.60783711,MontiG,28
350.297,-216.6733333,197.0704763,MontiG,28
350.522,-108.4344444,206.7530828,MontiG,28
350.747,-59.62,319.621251,MontiG,28
350.973,-44.17555556,124.3953244,MontiG,28
351.198,-3.63,61.4562818,MontiG,28
351.423,-41.53777778,48.00264083,MontiG,28
351.649,8.89,14.68813564,MontiG,28
351.874,12.45333333,5.24639411,MontiG,28
352.099,15.57333333,10.34278487,MontiG,28
352.324,34.39666667,24.75260536,MontiG,28
352.55,44.23666667,18.91947226,MontiG,28
352.775,28.12666667,17.00547852,MontiG,28
353,31.16555556,15.67646145,MontiG,28
353.225,22.28666667,22.86855805,MontiG,28
353.45,34.61333333,23.00085404,MontiG,28
353.675,21.19888889,22.70599897,MontiG,28
353.9,12.76777778,17.17046301,MontiG,28
354.125,15.41888889,19.53420683,MontiG,28
354.351,19.28777778,19.44780995,MontiG,28
354.576,12.54333333,16.49072997,MontiG,28
354.801,6.484444444,14.2749114,MontiG,28
355.026,-7.04,16.59512573,MontiG,28
355.251,-3.111111111,20.35152346,MontiG,28
355.476,-1.206666667,31.55321321,MontiG,28
355.701,7.966666667,29.18143389,MontiG,28
355.926,2.74,24.72213151,MontiG,28
356.15,-13.8,32.72863186,MontiG,28
356.375,13.43555556,27.49071506,MontiG,28
356.6,-3.297777778,41.75144149,MontiG,28
356.825,-60.69,51.67316349,MontiG,28
357.05,-101.9866667,99.68347841,MontiG,28
357.275,-188.1655556,75.99542056,MontiG,28
357.5,-308.9455556,147.1451611,MontiG,28
357.724,-143.1111111,76.28416325,MontiG,28
357.949,-61.33333333,47.92616278,MontiG,28
358.174,-51.50666667,54.32306902,MontiG,28
358.399,-114.4288889,75.95270279,MontiG,28
358.624,-19.53,34.82781372,MontiG,28
358.848,5.032222222,24.10631298,MontiG,28
359.073,13.35222222,18.18047268,MontiG,28
359.298,32.12,17.01988857,MontiG,28
359.522,28.63222222,16.1233298,MontiG,28
359.747,52.32444444,14.14107205,MontiG,28
359.972,52.26222222,10.70612066,MontiG,28
360.196,49.50444444,13.54299625,MontiG,28
360.421,42.49444444,17.35972951,MontiG,28
360.645,36.39666667,17.72413717,MontiG,28
360.87,44.43444444,17.8813024,MontiG,28
361.095,45.17,18.47657986,MontiG,28
361.319,39.10444444,32.05191586,MontiG,28
361.544,31.26777778,40.83088238,MontiG,28
361.768,13.14777778,31.29742452,MontiG,28
361.993,-13.65666667,42.73891455,MontiG,28
362.217,-272.4366667,187.2380549,MontiG,28
362.441,1321.527778,580.5596242,MontiG,28
362.666,539.6388889,279.7913792,MontiG,28
362.89,-855.6077778,548.6656326,MontiG,28
363.115,-39.3,81.78915076,MontiG,28
363.339,-86.73777778,102.2376333,MontiG,28
363.563,-148.3822222,134.125394,MontiG,28
363.788,402.6722222,190.6416517,MontiG,28
364.012,205.9455556,89.77766196,MontiG,28
364.236,222.0344444,110.4538249,MontiG,28
364.461,211.5811111,125.1764085,MontiG,28
364.685,-78.84777778,115.8277327,MontiG,28
364.909,-28.61888889,99.52753148,MontiG,28
365.133,-23.26888889,57.40901282,MontiG,28
365.358,-24.87222222,53.41347064,MontiG,28
365.582,-59.74888889,90.79997896,MontiG,28
365.806,-36.36111111,70.34263311,MontiG,28
366.03,-37.01111111,71.8230308,MontiG,28
366.254,-23.05666667,45.61124398,MontiG,28
366.479,-9.684444444,47.49786336,MontiG,28
366.703,11805.30222,14703.82703,MontiG,28
366.927,-193.3111111,297.248779,MontiG,28
367.151,-167.9933333,137.1167782,MontiG,28
367.375,135.2188889,132.0144347,MontiG,28
367.599,94.35222222,85.21221084,MontiG,28
367.823,68.15666667,43.2315931,MontiG,28
368.047,90.75333333,50.23138511,MontiG,28
368.271,173.2377778,131.1015368,MontiG,28
368.495,319.7233333,363.7420258,MontiG,28
368.719,-71.24666667,73.85963071,MontiG,28
368.943,4.587777778,31.04075819,MontiG,28
369.167,0.846666667,16.66474029,MontiG,28
369.391,10.01666667,16.59626536,MontiG,28
369.615,16.50666667,24.50356208,MontiG,28
369.839,18.52666667,14.69667348,MontiG,28
370.062,6.598888889,25.11978489,MontiG,28
370.286,16.78333333,16.16302374,MontiG,28
370.51,25.98333333,16.3108944,MontiG,28
370.734,6.063333333,19.35158792,MontiG,28
370.958,-0.314444444,19.37717888,MontiG,28
371.181,11.27777778,18.58433989,MontiG,28
371.405,-20.68111111,26.08939914,MontiG,28
