wavelength,mean_reflectance,se_reflectance,Species,Temp
347.817,-270.6977778,64.40545396,AcroG,37
348.042,-510.7844444,78.51153798,AcroG,37
348.268,-136.9933333,27.60022598,AcroG,37
348.493,-351.8488889,78.13295859,AcroG,37
348.719,1023.881111,526.5203979,AcroG,37
348.944,4.743333333,151.9623384,AcroG,37
349.17,40.47777778,51.5863976,AcroG,37
349.395,-8.868888889,41.01433133,AcroG,37
349.621,-36.76333333,22.843865,AcroG,37
349.846,-191.2977778,121.2809438,AcroG,37
350.071,356.3077778,123.2301319,AcroG,37
350.297,-829.12,304.4224991,AcroG,37
350.522,-930.8444444,322.0264224,AcroG,37
350.747,711.4633333,353.4706942,AcroG,37
350.973,225.5344444,113.3954603,AcroG,37
351.198,124.1933333,66.1830011,AcroG,37
351.423,67.41555556,55.93928813,AcroG,37
351.649,63.70222222,33.81446666,AcroG,37
351.874,59.73444444,15.65919082,AcroG,37
352.099,64.24,18.85861477,AcroG,37
352.324,114.2755556,40.5676879,AcroG,37
352.55,78.45666667,24.22912218,AcroG,37
352.775,58.49222222,12.81506287,AcroG,37
353,56.96555556,15.86331471,AcroG,37
353.225,61.81888889,16.99629869,AcroG,37
353.45,79.75,19.47016002,AcroG,37
353.675,66.45111111,16.98624837,AcroG,37
353.9,46.63111111,17.53624011,AcroG,37
354.125,52.73888889,20.18657416,AcroG,37
354.351,55.44555556,20.5083353,AcroG,37
354.576,40.42888889,14.4285712,AcroG,37
354.801,32.03666667,19.88712231,AcroG,37
355.026,30.16888889,21.91418804,AcroG,37
355.251,26.12222222,24.61673182,AcroG,37
355.476,22.38888889,37.24681677,AcroG,37
355.701,11.50444444,33.31209892,AcroG,37
355.926,4.567777778,19.0929203,AcroG,37
356.15,-16.88333333,31.34879195,AcroG,37
356.375,6.824444444,32.12332533,AcroG,37
356.6,-19.92888889,40.72845277,AcroG,37
356.825,-99.10111111,49.6715513,AcroG,37
357.05,-188.3888889,115.0394702,AcroG,37
357.275,-238.1966667,80.2396938,AcroG,37
357.5,-392.17,134.3547764,AcroG,37
357.724,-179.6555556,86.49329244,AcroG,37
357.949,-52.33777778,33.19780531,AcroG,37
358.174,-25.78333333,23.65866212,AcroG,37
358.399,-61.57888889,56.50164553,AcroG,37
358.624,5.151111111,23.7921789,AcroG,37
358.848,25.55,21.00440164,AcroG,37
359.073,34.56888889,15.79414915,AcroG,37
359.298,52.75111111,15.37659703,AcroG,37
359.522,52.63444444,14.79094368,AcroG,37
359.747,69.99444444,11.39427931,AcroG,37
359.972,65.11,9.204927262,AcroG,37
360.196,64.43666667,6.389296215,AcroG,37
360.421,51.90888889,9.215504611,AcroG,37
360.645,52.20555556,11.50601517,AcroG,37
360.87,59.23666667,8.389773526,AcroG,37
361.095,61.40222222,11.41772673,AcroG,37
361.319,64.77333333,18.32839723,AcroG,37
361.544,61.63555556,19.18016886,AcroG,37
361.768,34.54777778,23.0085716,AcroG,37
361.993,13.55222222,25.3094384,AcroG,37
362.217,-169.9955556,111.2585745,AcroG,37
362.441,786.8,268.1060488,AcroG,37
362.666,396.1266667,179.7182529,AcroG,37
362.89,-522.49,455.7306473,AcroG,37
363.115,-15.82222222,79.61321703,AcroG,37
363.339,-52.36333333,101.8865288,AcroG,37
363.563,-97.25666667,139.7951079,AcroG,37
363.788,336.0877778,217.4704573,AcroG,37
364.012,182.9644444,82.62964794,AcroG,37
364.236,174.6166667,70.27841098,AcroG,37
364.461,137.9166667,74.13565254,AcroG,37
364.685,-19.31111111,65.19557297,AcroG,37
364.909,15.97,36.98354374,AcroG,37
365.133,27.25444444,20.6765847,AcroG,37
365.358,27.90666667,10.41798782,AcroG,37
365.582,9.448888889,22.23765303,AcroG,37
365.806,19.00444444,27.73350696,AcroG,37
366.03,37.08222222,43.62416929,AcroG,37
366.254,37.61444444,42.972189,AcroG,37
366.479,63.70444444,43.77420772,AcroG,37
366.703,-8929.38,12477.88074,AcroG,37
366.927,251.5055556,203.4882613,AcroG,37
367.151,171.07,143.345717,AcroG,37
367.375,-168.2466667,97.15270464,AcroG,37
367.599,-114.8833333,89.23187415,AcroG,37
367.823,-58.07333333,38.73223442,AcroG,37
368.047,-29.52666667,39.73564542,AcroG,37
368.271,-158.4611111,90.34712343,AcroG,37
368.495,-548.5555556,206.4499496,AcroG,37
368.719,175.72,54.43156983,AcroG,37
368.943,100.7055556,33.32858554,AcroG,37
369.167,78.62444444,46.50756746,AcroG,37
369.391,73.82666667,33.09274464,AcroG,37
369.615,93.54777778,40.36321322,AcroG,37
369.839,55.32666667,22.26838819,AcroG,37
370.062,54.62888889,34.97063828,AcroG,37
370.286,48.73,26.31900625,AcroG,37
370.51,51.17111111,21.93869587,AcroG,37
370.734,34.80333333,29.71917972,AcroG,37
370.958,22.11222222,21.46498179,AcroG,37
371.181,23.59888889,20.35754564,AcroG,37
371.405,15.73888889,27.51645127,AcroG,37
371.629,26.90666667,16.23781942,AcroG,37
371.853,21.2,19.06184104,AcroG,37
372.076,18.47555556,24.13746368,AcroG,37
372.3,-2.414444444,33.50338231,AcroG,37
372.524,-3.743333333,26.51606739,AcroG,37
372.747,-13.08333333,24.90265912,AcroG,37
372.971,-15.10333333,22.60834513,AcroG,37
373.195,7.031111111,28.85665571,AcroG,37
373.418,10.68888889,38.02711066,AcroG,37
373.642,7.255555556,47.53036441,AcroG,37
373.865,-52.82777778,85.48880059,AcroG,37
374.089,-123.4844444,140.0145542,AcroG,37
374.312,-74.91777778,104.675817,AcroG,37
374.536,-42.59777778,50.30861887,AcroG,37
374.759,-12.52555556,32.87905381,AcroG,37
374.983,-33.17666667,53.24316784,AcroG,37
375.206,-23.08666667,45.94369447,AcroG,37
375.43,-4.626666667,37.58280925,AcroG,37
375.653,6.202222222,28.822806,AcroG,37
375.877,3.991111111,29.03492575,AcroG,37
376.1,-13.48111111,39.8311968,AcroG,37
376.323,17.57777778,26.78387275,AcroG,37
376.547,29.25666667,18.70924813,AcroG,37
376.77,21.72888889,17.7858941,AcroG,37
376.994,18.51777778,36.2801534,AcroG,37
377.217,13.81222222,43.45305487,AcroG,37
377.44,52.14333333,22.16662568,AcroG,37
377.663,97.69,39.81703394,AcroG,37
377.887,57.50333333,62.9052535,AcroG,37
378.11,48.87,58.19316273,AcroG,37
378.333,70.53444444,39.36281896,AcroG,37
378.556,65.40666667,23.71756534,AcroG,37
378.78,56.90888889,21.86389066,AcroG,37
379.003,78.50111111,20.84055136,AcroG,37
