wavelength,mean_reflectance,se_reflectance,Species,Temp
347.817,50.01222222,116.28327,AcroB,40
348.042,-35.36,188.8156706,AcroB,40
348.268,45.95777778,66.20172855,AcroB,40
348.493,38.93666667,150.4844701,AcroB,40
348.719,92.67333333,309.1159956,AcroB,40
348.944,12.03,96.34518545,AcroB,40
349.17,41.02222222,31.87675075,AcroB,40
349.395,49.80333333,24.34260525,AcroB,40
349.621,24.24888889,17.76579613,AcroB,40
349.846,97.51777778,150.6734073,AcroB,40
350.071,74.02444444,121.1271859,AcroB,40
350.297,-98.75444444,237.3453799,AcroB,40
350.522,-293.4477778,231.2517994,AcroB,40
350.747,198.2,162.398435,AcroB,40
350.973,107.4955556,83.58055454,AcroB,40
351.198,120.9366667,25.53807913,AcroB,40
351.423,101.5233333,24.85192568,AcroB,40
351.649,72.07555556,16.47589492,AcroB,40
351.874,69.01888889,15.81135259,AcroB,40
352.099,80.78222222,19.42350577,AcroB,40
352.324,153.2711111,33.8397913,AcroB,40
352.55,105.8833333,16.71820095,AcroB,40
352.775,78.50111111,13.71875982,AcroB,40
353,67.63,10.87628435,AcroB,40
353.225,75.27888889,16.68481241,AcroB,40
353.45,90.96777778,22.02188817,AcroB,40
353.675,76.77555556,21.85408182,AcroB,40
353.9,56.89,19.97603031,AcroB,40
354.125,66.96,22.61269023,AcroB,40
354.351,69.00444444,15.94082751,AcroB,40
354.576,46.51,15.60339861,AcroB,40
354.801,26.10111111,20.79567598,AcroB,40
355.026,19.37777778,21.45793014,AcroB,40
355.251,18.24666667,24.56617463,AcroB,40
355.476,25.49111111,30.93654576,AcroB,40
355.701,20.98777778,23.53564315,AcroB,40
355.926,10.01777778,17.04335493,AcroB,40
356.15,-11.96555556,25.12787407,AcroB,40
356.375,20.13,20.90138502,AcroB,40
356.6,3.357777778,25.67171143,AcroB,40
356.825,-37.11666667,59.86438138,AcroB,40
357.05,-41.13,135.1789397,AcroB,40
357.275,-109.5088889,108.4944133,AcroB,40
357.5,-176.8433333,155.724758,AcroB,40
357.724,-76.81222222,88.91600523,AcroB,40
357.949,-10.24888889,41.4577965,AcroB,40
358.174,-7.933333333,40.52036874,AcroB,40
358.399,-31.25111111,74.29092084,AcroB,40
358.624,23.74555556,30.14230455,AcroB,40
358.848,21.74222222,20.86067477,AcroB,40
359.073,31.26111111,17.27800518,AcroB,40
359.298,44.66222222,15.33449507,AcroB,40
359.522,39.04333333,13.77071775,AcroB,40
359.747,61.92,11.74399355,AcroB,40
359.972,59.59111111,11.73372534,AcroB,40
360.196,59.92333333,13.53626267,AcroB,40
360.421,50.26444444,18.90843939,AcroB,40
360.645,48.20222222,19.58826972,AcroB,40
360.87,52.12111111,16.28760958,AcroB,40
361.095,50.37777778,27.09690645,AcroB,40
361.319,57.76666667,28.78148304,AcroB,40
361.544,49.53888889,30.13393523,AcroB,40
361.768,33.67444444,21.58745108,AcroB,40
361.993,14.74777778,24.05775794,AcroB,40
362.217,-156.3255556,107.6243806,AcroB,40
362.441,819.5555556,277.5425035,AcroB,40
362.666,405.0666667,119.157961,AcroB,40
362.89,-494.6988889,339.9713159,AcroB,40
363.115,11.10222222,50.03629456,AcroB,40
363.339,-33.68,65.9570476,AcroB,40
363.563,-86.62777778,81.91118232,AcroB,40
363.788,327.8866667,120.3068833,AcroB,40
364.012,165.7911111,58.45830927,AcroB,40
364.236,179.5366667,87.99577062,AcroB,40
364.461,178.3488889,88.86775666,AcroB,40
364.685,-56.91222222,106.0807445,AcroB,40
364.909,-5.378888889,92.44603804,AcroB,40
365.133,10.08333333,74.41757572,AcroB,40
365.358,7.683333333,65.48176819,AcroB,40
365.582,-16.44666667,97.36336506,AcroB,40
365.806,23.95,88.06200541,AcroB,40
366.03,47.34222222,97.63323156,AcroB,40
366.254,55.54333333,104.420178,AcroB,40
366.479,92.29888889,86.80838627,AcroB,40
366.703,-16408.21556,20100.9207,AcroB,40
366.927,460.9044444,361.9115085,AcroB,40
367.151,232.5644444,195.7850676,AcroB,40
367.375,-148.0366667,101.8108183,AcroB,40
367.599,-83.30333333,69.86952622,AcroB,40
367.823,-27.92555556,43.4770369,AcroB,40
368.047,15.32444444,30.24454455,AcroB,40
368.271,-8.934444444,58.38494518,AcroB,40
368.495,-162.6733333,181.9131706,AcroB,40
368.719,64.83888889,49.67829778,AcroB,40
368.943,24.46111111,22.54534957,AcroB,40
369.167,22.83555556,24.45678853,AcroB,40
369.391,44.97,22.51059692,AcroB,40
369.615,61.67444444,22.9046666,AcroB,40
369.839,46.60222222,18.79216203,AcroB,40
370.062,49.71666667,24.04498028,AcroB,40
370.286,52.93666667,20.29817523,AcroB,40
370.51,59.40222222,17.45122325,AcroB,40
370.734,46.37777778,23.91772058,AcroB,40
370.958,37.74555556,22.49453151,AcroB,40
371.181,42.49333333,23.83881309,AcroB,40
371.405,47.91,32.78569121,AcroB,40
371.629,48.29555556,28.10100077,AcroB,40
371.853,41.58555556,26.48013071,AcroB,40
372.076,38.04333333,26.91005559,AcroB,40
372.3,23.33666667,31.25773635,AcroB,40
372.524,14.81888889,28.65117342,AcroB,40
372.747,5.165555556,30.27872114,AcroB,40
372.971,10.94222222,34.73431147,AcroB,40
373.195,26.76444444,36.97275002,AcroB,40
373.418,33.14222222,47.73415018,AcroB,40
373.642,18.88555556,51.42150182,AcroB,40
373.865,-7.454444444,93.42755327,AcroB,40
374.089,-55.26555556,134.9328198,AcroB,40
374.312,-39.80444444,121.0179107,AcroB,40
374.536,-16.87777778,58.55534732,AcroB,40
374.759,12.12888889,43.25597942,AcroB,40
374.983,7.538888889,63.89202612,AcroB,40
375.206,15.47555556,43.34280215,AcroB,40
375.43,19.77777778,32.86927997,AcroB,40
375.653,27.74333333,27.83736723,AcroB,40
375.877,26.33444444,35.30804572,AcroB,40
376.1,41.01,59.50059587,AcroB,40
376.323,42.18666667,36.54499996,AcroB,40
376.547,37.99333333,24.67497041,AcroB,40
376.77,41.09777778,36.83422018,AcroB,40
376.994,89.62222222,53.11201691,AcroB,40
377.217,98.34555556,58.67869883,AcroB,40
377.44,88.08222222,32.37519758,AcroB,40
377.663,115.2022222,49.55314446,AcroB,40
377.887,93.28444444,67.75677722,AcroB,40
378.11,98.53777778,69.07484346,AcroB,40
378.333,89.80666667,44.0918801,AcroB,40
378.556,76.66444444,26.14244018,AcroB,40
378.78,74.30888889,16.61183531,AcroB,40
379.003,92.49111111,18.87600547,AcroB,40
379.226,86.71,15.89435795,AcroB,40
379.449,71.43666667,14.3841477,AcroB,40
379.672,66.14111111,12.70189788,AcroB,40
379.895,62.26333333,13.68813734,AcroB,40
380.118,61.08222222,12.45506896,AcroB,40
380.341,65.32888889,10.255546,AcroB,40
380.564,55.89111111,9.246552881,AcroB,40
380.787,50.60888889,10.48444579,AcroB,40
381.01,51.75555556,10.16939175,AcroB,40
381.233,46.56444444,9.63136182,AcroB,40
381.456,42.97777778,13.79964699,AcroB,40
381.679,40.74333333,11.2606514,AcroB,40
381.902,31.50333333,11.2311051,AcroB,40
382.125,34.16444444,11.02644147,AcroB,40
382.348,30.88444444,10.38953397,AcroB,40
382.571,13.80444444,15.45530277,AcroB,40
382.794,6.152222222,22.43565645,AcroB,40
383.017,19.60555556,26.85145783,AcroB,40
383.24,0.736666667,46.73006627,AcroB,40
383.463,-45.33666667,68.88610145,AcroB,40
383.685,-6.41,67.89470876,AcroB,40
383.908,6.018888889,47.68953497,AcroB,40
384.131,16.00888889,66.23033241,AcroB,40
384.354,70.77111111,103.238639,AcroB,40
384.576,65.35,60.63558102,AcroB,40
384.799,50.96222222,92.78516941,AcroB,40
385.022,42.49777778,72.12880337,AcroB,40
385.245,32.79111111,50.36360893,AcroB,40
385.467,7.067777778,42.66958521,AcroB,40
385.69,20.70888889,36.41740458,AcroB,40
385.913,26.63555556,21.94254726,AcroB,40
386.135,-7.733333333,27.19252658,AcroB,40
386.358,-54.72666667,36.37893208,AcroB,40
386.58,-25.06444444,28.68693028,AcroB,40
386.803,-8.395555556,27.06873365,AcroB,40
387.025,-3.533333333,20.66608894,AcroB,40
387.248,11.76555556,21.17948202,AcroB,40
387.47,16.16666667,19.37226794,AcroB,40
387.693,31.78111111,20.01490539,AcroB,40
387.915,50.75444444,18.22265981,AcroB,40
388.138,61.42666667,17.87677355,AcroB,40
388.36,66.07,26.79821187,AcroB,40
388.583,61.09222222,24.03900966,AcroB,40
388.805,72.23888889,23.71212774,AcroB,40
389.028,64.25,24.04618243,AcroB,40
389.25,63.06888889,35.79491667,AcroB,40
389.472,80.22555556,51.0743761,AcroB,40
389.695,50,42.08139858,AcroB,40
389.917,46.30666667,31.40103147,AcroB,40
390.139,44.02111111,40.84081563,AcroB,40
390.362,25.56777778,29.98861721,AcroB,40
390.584,32.20777778,25.0239123,AcroB,40
390.806,33.71888889,19.96983051,AcroB,40
391.028,52.44,20.57368841,AcroB,40
391.251,54.74666667,18.79331644,AcroB,40
391.473,57.85888889,17.43941634,AcroB,40
391.695,56.07777778,14.66068237,AcroB,40
391.917,55.78111111,13.9539877,AcroB,40
392.139,59.69,15.10268196,AcroB,40
392.362,66.20666667,17.4917473,AcroB,40
392.584,71.14555556,14.08439739,AcroB,40
392.806,80.48222222,19.65111509,AcroB,40
393.028,68.96666667,24.03622354,AcroB,40
393.25,70.73555556,26.30381183,AcroB,40
393.472,51.37777778,21.9568489,AcroB,40
393.694,45.44666667,14.532783,AcroB,40
393.916,42.42555556,16.59313613,AcroB,40
394.138,47.11111111,22.19180898,AcroB,40
394.36,32.44,26.70603758,AcroB,40
394.582,37.83555556,27.99228041,AcroB,40
394.804,37.30555556,31.32056378,AcroB,40
395.026,34.85222222,37.71203361,AcroB,40
395.248,36.46222222,26.36027231,AcroB,40
395.47,47.85666667,23.4935876,AcroB,40
395.692,55.39888889,21.24547051,AcroB,40
395.913,48.83444444,19.78813066,AcroB,40
396.135,53.08888889,29.13418438,AcroB,40
396.357,56.17111111,28.60296884,AcroB,40
396.579,53.26333333,27.02884946,AcroB,40
396.801,62.32222222,24.75204071,AcroB,40
397.022,59.65333333,28.8982859,AcroB,40
397.244,67.96,29.38119762,AcroB,40
397.466,41.06111111,30.51498608,AcroB,40
397.688,64.37111111,34.82504843,AcroB,40
397.909,55.3,29.9065501,AcroB,40
398.131,53.6,23.1284785,AcroB,40
398.353,68.48666667,26.56070929,AcroB,40
398.574,67.39444444,27.76746645,AcroB,40
398.796,62.73333333,26.80270255,AcroB,40
399.018,58.93666667,30.49328483,AcroB,40
399.239,58.65333333,25.7044188,AcroB,40
399.461,58.14666667,27.42875358,AcroB,40
399.682,47.84222222,22.13348129,AcroB,40
399.904,52.82222222,23.06580192,AcroB,40
400.126,45.50888889,25.83430527,AcroB,40
400.347,39.00222222,26.31451553,AcroB,40
400.569,31.96,31.77385846,AcroB,40
400.79,25.57222222,39.22248478,AcroB,40
401.012,27.82888889,33.99868835,AcroB,40
401.233,37.33555556,23.03797905,AcroB,40
401.454,40.86555556,18.36624783,AcroB,40
401.676,34.47111111,21.11661034,AcroB,40
401.897,44.97,22.88184983,AcroB,40
402.119,34.95777778,26.88127566,AcroB,40
402.34,33.75444444,24.0912143,AcroB,40
402.561,31.18555556,25.32530629,AcroB,40
402.783,53.96888889,24.15069738,AcroB,40
403.004,58.41,22.64526626,AcroB,40
403.225,53.28111111,22.17671577,AcroB,40
403.447,48.54555556,19.32904501,AcroB,40
403.668,39.53555556,21.46979112,AcroB,40
403.889,36.77111111,17.71470281,AcroB,40
404.11,40.87666667,15.81593856,AcroB,40
404.332,48.67111111,13.13701945,AcroB,40
404.553,52.34444444,12.79864538,AcroB,40
404.774,51.68777778,15.34492056,AcroB,40
404.995,53.00333333,12.65672804,AcroB,40
405.216,27.15,14.71747352,AcroB,40
405.437,34.57222222,11.69188613,AcroB,40
405.658,37.11555556,10.2565767,AcroB,40
405.88,36.3,9.652267708,AcroB,40
406.101,42.85666667,10.89684105,AcroB,40
406.322,44.17333333,12.33163449,AcroB,40
406.543,38.61222222,10.87749011,AcroB,40
406.764,23.80222222,11.91335519,AcroB,40
406.985,22.65222222,11.00989064,AcroB,40
407.206,26.72333333,8.875697411,AcroB,40
407.427,19.65555556,7.839203006,AcroB,40
407.648,24.88666667,8.246660613,AcroB,40
407.869,16.03555556,10.11800472,AcroB,40
408.089,8.453333333,10.28114588,AcroB,40
408.31,8.903333333,9.945349951,AcroB,40
408.531,-1.123333333,10.6001295,AcroB,40
408.752,-4.341111111,15.14368323,AcroB,40
408.973,-1.041111111,14.78554944,AcroB,40
409.194,1.704444444,15.97039758,AcroB,40
409.415,-3.164444444,15.74265063,AcroB,40
409.635,-6.913333333,14.21640438,AcroB,40
409.856,5.741111111,15.07233799,AcroB,40
410.077,7.793333333,12.3599092,AcroB,40
410.298,12.32333333,11.01250017,AcroB,40
410.518,8.162222222,9.187514301,AcroB,40
410.739,12.79666667,8.093979948,AcroB,40
410.96,18.37111111,7.323432123,AcroB,40
411.18,17.16,5.766326131,AcroB,40
411.401,19.10888889,5.300759933,AcroB,40
411.622,20.29333333,4.459054809,AcroB,40
411.842,21.22555556,4.669017095,AcroB,40
412.063,22.13888889,4.343237608,AcroB,40
412.284,18.25888889,3.96999136,AcroB,40
412.504,14.27333333,4.31876446,AcroB,40
412.725,9.475555556,3.564753206,AcroB,40
412.945,12.30888889,2.875597885,AcroB,40
413.166,13.14222222,4.175613066,AcroB,40
413.386,13.65777778,3.961685965,AcroB,40
413.607,11.71111111,3.898365701,AcroB,40
413.827,9.928888889,3.675618474,AcroB,40
414.048,5.923333333,3.086894914,AcroB,40
414.268,6.474444444,2.484425549,AcroB,40
414.489,4.247777778,2.428410727,AcroB,40
414.709,4.565555556,2.026639429,AcroB,40
414.929,7.002222222,1.754610911,AcroB,40
415.15,8.563333333,1.897674294,AcroB,40
415.37,7.356666667,2.627000037,AcroB,40
415.59,5.154444444,2.285619573,AcroB,40
415.811,4.024444444,2.987851579,AcroB,40
416.031,5.201111111,2.861422025,AcroB,40
416.251,6.373333333,2.613000856,AcroB,40
416.472,6.081111111,3.07267767,AcroB,40
416.692,6.494444444,2.5430206,AcroB,40
