wavelength,mean_reflectance,se_reflectance,Species,Temp
347.817,5.137777778,15.77063821,MontiG,28
348.042,-18.22,17.79206121,MontiG,28
348.268,-11.71666667,21.77664771,MontiG,28
348.493,-44.32111111,26.87956545,MontiG,28
348.719,-46.46666667,23.19002987,MontiG,28
348.944,431.91,123.6096913,MontiG,28
349.17,75.52222222,24.52745219,MontiG,28
349.395,82.12222222,18.26737301,MontiG,28
349.621,44.32888889,15.13760547,MontiG,28
349.846,48.38666667,28.35783622,MontiG,28
350.071,31.76111111,20.01083018,MontiG,28
350.297,-37.81666667,45.44555111,MontiG,28
350.522,-46.45222222,47.7383019,MontiG,28
350.747,-100.8533333,71.09441753,MontiG,28
350.973,-54.22666667,56.10892574,MontiG,28
351.198,-34.82333333,32.10636484,MontiG,28
351.423,-69.94111111,49.39281834,MontiG,28
351.649,-93.41333333,155.7541805,MontiG,28
351.874,-1.986666667,68.30166648,MontiG,28
352.099,43.17,72.52829271,MontiG,28
352.324,3.433333333,85.86398462,MontiG,28
352.55,0.127777778,34.76388274,MontiG,28
352.775,19.25,20.66499057,MontiG,28
353,14.85444444,23.16308858,MontiG,28
353.225,20.51222222,23.59719538,MontiG,28
353.45,17.03777778,24.23019007,MontiG,28
353.675,28.06777778,20.18504904,MontiG,28
353.9,28.51222222,18.03007677,MontiG,28
354.125,36.05,16.49514746,MontiG,28
354.351,28.8,20.31705579,MontiG,28
354.576,23.68888889,15.12695858,MontiG,28
354.801,21.86777778,11.71214987,MontiG,28
355.026,-6.207777778,12.19316834,MontiG,28
355.251,18.88555556,14.60505897,MontiG,28
355.476,12.09777778,13.74852993,MontiG,28
355.701,-40.75888889,59.62935921,MontiG,28
355.926,-109.59,94.01981011,MontiG,28
356.15,-87.15777778,46.53474765,MontiG,28
356.375,-233.5977778,86.47193197,MontiG,28
356.6,2146.107778,512.7941841,MontiG,28
356.825,-1168.453333,322.260284,MontiG,28
357.05,-164.2633333,55.2467847,MontiG,28
357.275,-63.64444444,38.17478208,MontiG,28
357.5,-20.65111111,36.9841692,MontiG,28
357.724,-66.80111111,41.10909662,MontiG,28
357.949,-104.7388889,51.10164112,MontiG,28
358.174,-68.00888889,31.04671541,MontiG,28
358.399,-61.15777778,27.1667045,MontiG,28
358.624,-80.90111111,29.8037178,MontiG,28
358.848,-66.51,27.33573433,MontiG,28
359.073,-71.12777778,27.25119721,MontiG,28
359.298,-39.77222222,23.52119992,MontiG,28
359.522,-68.39,35.1550059,MontiG,28
359.747,-58.31666667,30.77518044,MontiG,28
359.972,-42.57111111,27.27507576,MontiG,28
360.196,-19.25111111,33.57077922,MontiG,28
360.421,-9.26,29.22521203,MontiG,28
360.645,24.75444444,28.05488967,MontiG,28
360.87,22.52666667,33.04959982,MontiG,28
361.095,31.21888889,27.91492135,MontiG,28
361.319,55.54777778,13.81151228,MontiG,28
361.544,55.88555556,13.88755249,MontiG,28
361.768,56.86555556,9.106027898,MontiG,28
361.993,67.17111111,7.335713752,MontiG,28
362.217,57.06222222,6.313171533,MontiG,28
362.441,62.57,7.534340706,MontiG,28
362.666,58.72666667,8.69175837,MontiG,28
362.89,71.78222222,8.248307436,MontiG,28
363.115,61.65333333,11.10082758,MontiG,28
363.339,66.28444444,10.53498982,MontiG,28
363.563,71.19666667,10.19553826,MontiG,28
363.788,70.62666667,13.20596396,MontiG,28
364.012,77.53222222,15.48730417,MontiG,28
364.236,52.95777778,20.53331707,MontiG,28
364.461,30.08222222,27.62407986,MontiG,28
364.685,44.23111111,30.36558129,MontiG,28
364.909,7.118888889,25.92550546,MontiG,28
365.133,-8.625555556,31.25703184,MontiG,28
365.358,-2.68,29.62124673,MontiG,28
365.582,-4.8,34.5913138,MontiG,28
365.806,-0.796666667,22.72256192,MontiG,28
366.03,9.355555556,15.8879439,MontiG,28
366.254,17.31444444,13.11973612,MontiG,28
366.479,16.78666667,8.843398848,MontiG,28
366.703,20.05777778,14.26653915,MontiG,28
366.927,32.92111111,13.78413016,MontiG,28
367.151,27.03555556,16.25019726,MontiG,28
367.375,35.67333333,17.53133382,MontiG,28
367.599,25.03555556,15.77204652,MontiG,28
367.823,14.90888889,16.59024661,MontiG,28
368.047,17.18888889,15.65259894,MontiG,28
368.271,15.61222222,25.33771082,MontiG,28
368.495,3.213333333,36.43008403,MontiG,28
368.719,-8.936666667,42.50757555,MontiG,28
368.943,-2.733333333,60.82565859,MontiG,28
369.167,-31.36333333,78.50634131,MontiG,28
369.391,-32.02444444,55.50089377,MontiG,28
369.615,-47.53,52.27890398,MontiG,28
369.839,-50.32888889,53.31165482,MontiG,28
370.062,-136.8188889,79.29110549,MontiG,28
370.286,-90.54222222,60.31400492,MontiG,28
370.51,-107.0388889,56.53520577,MontiG,28
370.734,-112.2211111,38.01289363,MontiG,28
370.958,-261.5677778,47.9768557,MontiG,28
371.181,-199.1355556,43.75133008,MontiG,28
371.405,-353.2233333,75.02109463,MontiG,28
371.629,-402.0055556,126.1577176,MontiG,28
371.853,-238.1177778,106.1920739,MontiG,28
372.076,-196.3666667,97.82673349,MontiG,28
372.3,-148.7788889,69.74568157,MontiG,28
372.524,-38.59555556,32.38387612,MontiG,28
372.747,-36.06222222,38.37773298,MontiG,28
372.971,-76.65555556,72.54941737,MontiG,28
373.195,-62.80333333,77.33988878,MontiG,28
373.418,-110.4266667,117.3423177,MontiG,28
373.642,142.7744444,103.1246127,MontiG,28
373.865,95.52222222,62.93456938,MontiG,28
374.089,218.0911111,141.0200577,MontiG,28
374.312,289.9911111,157.4307776,MontiG,28
374.536,114.2344444,65.45240048,MontiG,28
374.759,83.01888889,53.53748411,MontiG,28
374.983,63.25777778,33.56769965,MontiG,28
375.206,79.82222222,27.64990512,MontiG,28
375.43,107.6766667,43.52023773,MontiG,28
375.653,127.5655556,38.12800978,MontiG,28
375.877,110.8222222,25.85010087,MontiG,28
376.1,130.5544444,28.82801518,MontiG,28
376.323,148.6177778,86.40646303,MontiG,28
376.547,119.5255556,83.3627978,MontiG,28
376.77,71.94222222,33.27345912,MontiG,28
376.994,95.00888889,51.06377207,MontiG,28
377.217,111.69,53.15285396,MontiG,28
377.44,81.13222222,24.43779241,MontiG,28
377.663,71.72888889,24.95480908,MontiG,28
377.887,65.79111111,28.19074746,MontiG,28
378.11,75.54666667,23.33995128,MontiG,28
378.333,101.6966667,60.72217665,MontiG,28
378.556,120.4,50.56382193,MontiG,28
378.78,135.44,77.18550418,MontiG,28
379.003,225.0411111,201.4665823,MontiG,28
379.226,2554.126667,4900.418478,MontiG,28
379.449,22.56444444,141.9043324,MontiG,28
379.672,42.97111111,57.33951256,MontiG,28
379.895,47.77,31.91127186,MontiG,28
380.118,16.25666667,48.5871576,MontiG,28
380.341,44.59555556,43.44543243,MontiG,28
380.564,58.53111111,37.76243877,MontiG,28
380.787,65.80444444,39.85492751,MontiG,28
381.01,74.60333333,29.00483354,MontiG,28
381.233,61.15888889,22.65816549,MontiG,28
381.456,61.67777778,27.8229991,MontiG,28
381.679,61.40444444,39.67167321,MontiG,28
381.902,40.51222222,38.07664596,MontiG,28
382.125,45.19222222,63.25076457,MontiG,28
382.348,22.28555556,36.74488168,MontiG,28
382.571,27.94333333,25.49581176,MontiG,28
382.794,-1.457777778,30.94510475,MontiG,28
383.017,1.944444444,24.08788351,MontiG,28
383.24,-8.76,32.16642279,MontiG,28
383.463,-27.25111111,32.78782784,MontiG,28
383.685,-64.06888889,57.39842791,MontiG,28
383.908,-67.10222222,60.29743712,MontiG,28
384.131,-55.22555556,32.57000795,MontiG,28
384.354,-68.25111111,39.26419633,MontiG,28
384.576,-97.92111111,42.1228029,MontiG,28
384.799,-52.36444444,34.97379037,MontiG,28
385.022,-46.14,37.95719434,MontiG,28
385.245,-11.87,32.11481682,MontiG,28
385.467,-26.13444444,34.01021791,MontiG,28
385.69,-47.40333333,36.91542338,MontiG,28
385.913,-79.26777778,38.86524973,MontiG,28
386.135,-123.2477778,44.94802341,MontiG,28
386.358,-61.17333333,28.70170343,MontiG,28
386.58,-46.60333333,34.73996557,MontiG,28
386.803,-71.30888889,40.66093486,MontiG,28
387.025,-52.19666667,32.53659221,MontiG,28
387.248,-115.0711111,43.00334656,MontiG,28
387.47,-69.45,41.31172498,MontiG,28
387.693,-110.92,59.20422837,MontiG,28
387.915,-51.51555556,40.42074347,MontiG,28
388.138,-15.52222222,37.73549176,MontiG,28
388.36,3.048888889,49.12792621,MontiG,28
388.583,37.43333333,47.59479414,MontiG,28
388.805,57.83,79.52066488,MontiG,28
389.028,40.27444444,49.36294984,MontiG,28
389.25,60.24,42.84921013,MontiG,28
389.472,56.37111111,39.83674302,MontiG,28
389.695,81.95,36.44710992,MontiG,28
389.917,80.20333333,48.74457182,MontiG,28
390.139,88.70222222,34.06876187,MontiG,28
390.362,83.34777778,42.20347774,MontiG,28
390.584,83.61666667,38.24792701,MontiG,28
390.806,50.63333333,21.94482608,MontiG,28
391.028,44.20333333,22.40899598,MontiG,28
391.251,31.30555556,20.50344906,MontiG,28
391.473,31.12333333,32.20614612,MontiG,28
391.695,33.39777778,26.65234478,MontiG,28
391.917,18.69,20.84399438,MontiG,28
392.139,-86.09333333,47.06786023,MontiG,28
392.362,-27.17,48.07485848,MontiG,28
392.584,5.798888889,59.72888785,MontiG,28
392.806,169.5722222,249.6923419,MontiG,28
393.028,-151.1222222,180.2701491,MontiG,28
393.25,-204.5077778,248.8909467,MontiG,28
393.472,11.79222222,83.29291085,MontiG,28
393.694,-40.23111111,138.2062289,MontiG,28
393.916,1.46,51.01090073,MontiG,28
394.138,7.733333333,40.4659277,MontiG,28
394.36,18.17333333,37.13341031,MontiG,28
394.582,44.21,22.51614291,MontiG,28
394.804,25.38333333,19.53189331,MontiG,28
395.026,3.687777778,21.70285278,MontiG,28
395.248,11.28777778,17.80518248,MontiG,28
395.47,19.83222222,18.25606266,MontiG,28
395.692,23.03888889,18.7101739,MontiG,28
395.913,-73.59777778,26.93053406,MontiG,28
396.135,-4.941111111,14.44305672,MontiG,28
396.357,-15.5,19.75671034,MontiG,28
396.579,-14.17666667,18.87858783,MontiG,28
396.801,11.37333333,14.6788804,MontiG,28
397.022,16.05666667,23.42933664,MontiG,28
397.244,16.00111111,26.19848753,MontiG,28
397.466,9.82,30.71680361,MontiG,28
397.688,-4.756666667,33.9582926,MontiG,28
397.909,6.512222222,31.30330529,MontiG,28
398.131,5.435555556,34.31662247,MontiG,28
398.353,40.43444444,22.84614999,MontiG,28
398.574,41.36555556,26.7053003,MontiG,28
398.796,55.54444444,26.91161654,MontiG,28
399.018,53.24888889,26.04749659,MontiG,28
399.239,47.89555556,55.54723582,MontiG,28
399.461,39.54,54.508704,MontiG,28
399.682,33.48555556,123.4372342,MontiG,28
399.904,58.76555556,43.56784533,MontiG,28
400.126,53.68666667,91.11578536,MontiG,28
400.347,62.33555556,64.3101819,MontiG,28
400.569,56.49555556,57.83293265,MontiG,28
400.79,44.72333333,40.95234082,MontiG,28
401.012,39.19444444,41.16415137,MontiG,28
401.233,-183.35,115.6311823,MontiG,28
401.454,-74.37555556,45.81832165,MontiG,28
401.676,-41.27111111,24.40287319,MontiG,28
401.897,-59.99444444,25.41476416,MontiG,28
402.119,-17.67888889,15.99568104,MontiG,28
402.34,-23.68,28.26114233,MontiG,28
402.561,-3.377777778,23.57614293,MontiG,28
402.783,-12.61222222,17.6274832,MontiG,28
403.004,-5.061111111,16.46727301,MontiG,28
403.225,-3.768888889,22.91717246,MontiG,28
403.447,-7.82,26.74037608,MontiG,28
403.668,-4.204444444,30.43266713,MontiG,28
403.889,-14.87444444,35.77483987,MontiG,28
404.11,11.68555556,27.6586702,MontiG,28
404.332,6.56,25.19110199,MontiG,28
404.553,21.5,22.15287898,MontiG,28
404.774,9.728888889,17.22554868,MontiG,28
404.995,31.52444444,18.68009445,MontiG,28
405.216,41.35888889,14.9468451,MontiG,28
405.437,37.78,11.97798365,MontiG,28
405.658,30.00666667,14.89155134,MontiG,28
405.88,18.22444444,11.15133975,MontiG,28
406.101,16.04888889,9.28657196,MontiG,28
406.322,22.65333333,8.650774807,MontiG,28
406.543,25.30222222,7.858671368,MontiG,28
406.764,29.30666667,9.921872842,MontiG,28
406.985,21.91666667,10.3316498,MontiG,28
407.206,27.42666667,9.661741116,MontiG,28
407.427,19.29888889,11.86002986,MontiG,28
407.648,10.9,10.57422581,MontiG,28
407.869,8.072222222,12.12168389,MontiG,28
408.089,5.81,13.39806099,MontiG,28
408.31,1.976666667,14.82351429,MontiG,28
408.531,2.187777778,14.0099303,MontiG,28
408.752,3.215555556,9.764535888,MontiG,28
408.973,-9.463333333,12.97942309,MontiG,28
409.194,-18.14333333,9.480762992,MontiG,28
409.415,-16.95777778,7.841711316,MontiG,28
409.635,-18.64666667,6.94207168,MontiG,28
409.856,-21.35,5.625522256,MontiG,28
410.077,-14.67222222,6.66650452,MontiG,28
410.298,-13.25777778,6.219446588,MontiG,28
410.518,-14.74222222,5.693248846,MontiG,28
410.739,-12.57555556,6.126068385,MontiG,28
410.96,-1.794444444,5.06801559,MontiG,28
411.18,-11.87555556,5.820691236,MontiG,28
411.401,-10.81444444,4.820430765,MontiG,28
411.622,-7.616666667,3.901746828,MontiG,28
411.842,-6.77,5.412753476,MontiG,28
412.063,-5.883333333,4.697735956,MontiG,28
412.284,-1.696666667,4.004380686,MontiG,28
412.504,0.328888889,3.546374092,MontiG,28
412.725,-4.525555556,2.395213034,MontiG,28
412.945,-2.731111111,1.704437444,MontiG,28
413.166,0.144444444,1.292600025,MontiG,28
413.386,-6.037777778,1.416042772,MontiG,28
413.607,-5.036666667,2.097303354,MontiG,28
413.827,-8.1,2.882819836,MontiG,28
414.048,-6.753333333,2.175824826,MontiG,28
414.268,-7.286666667,3.207345624,MontiG,28
414.489,-8.072222222,2.868038053,MontiG,28
414.709,-6.771111111,3.009399432,MontiG,28
414.929,-6.367777778,3.331028841,MontiG,28
415.15,-5.182222222,2.615446742,MontiG,28
415.37,-4.093333333,2.617363307,MontiG,28
415.59,-5.532222222,2.560864173,MontiG,28
415.811,-4.161111111,2.305865232,MontiG,28
416.031,-3.745555556,2.040845077,MontiG,28
416.251,-1.805555556,2.00023264,MontiG,28
416.472,-1.985555556,2.164305893,MontiG,28
416.692,-1.06,1.753109342,MontiG,28
416.912,-0.822222222,2.052479627,MontiG,28
417.132,-1.44,1.676137753,MontiG,28
