wavelength,mean_reflectance,se_reflectance,Species,Temp
347.817,9.604444444,10.78328782,AcroB,37
348.042,-9.811111111,14.20347279,AcroB,37
348.268,-20.65666667,22.36898846,AcroB,37
348.493,-55.76555556,38.00369216,AcroB,37
348.719,-46.11111111,10.81527826,AcroB,37
348.944,435.9133333,155.7696225,AcroB,37
349.17,58.22444444,39.53013553,AcroB,37
349.395,68.48111111,19.46602067,AcroB,37
349.621,48.96555556,11.55352952,AcroB,37
349.846,58.38111111,14.4112306,AcroB,37
350.071,34.85444444,12.47846069,AcroB,37
350.297,-1.868888889,40.14074664,AcroB,37
350.522,-5.02,40.15930666,AcroB,37
350.747,-102.0055556,53.08921422,AcroB,37
350.973,-44.46666667,44.60234654,AcroB,37
351.198,-25.20222222,16.90372661,AcroB,37
351.423,-62.09666667,28.62625663,AcroB,37
351.649,-81.21555556,89.52714002,AcroB,37
351.874,3.955555556,40.44708013,AcroB,37
352.099,27.60222222,53.79819835,AcroB,37
352.324,-2.49,65.14329898,AcroB,37
352.55,-0.465555556,38.20273063,AcroB,37
352.775,16.96,22.43849,AcroB,37
353,7.991111111,30.28529382,AcroB,37
353.225,20.16666667,23.51479742,AcroB,37
353.45,8.783333333,21.66929985,AcroB,37
353.675,18.48111111,19.76419468,AcroB,37
353.9,24.95888889,22.17525176,AcroB,37
354.125,39.54111111,17.96912072,AcroB,37
354.351,38.61888889,28.62162159,AcroB,37
354.576,37.78222222,31.40628175,AcroB,37
354.801,27.68111111,28.17279682,AcroB,37
355.026,8.924444444,37.85869478,AcroB,37
355.251,36.66555556,47.05371721,AcroB,37
355.476,33.79222222,42.32373236,AcroB,37
355.701,16.09222222,111.1803291,AcroB,37
355.926,45.82666667,177.1471205,AcroB,37
356.15,0.278888889,89.34000137,AcroB,37
356.375,-87.48888889,119.0407001,AcroB,37
356.6,1148.235556,738.6117278,AcroB,37
356.825,-599.4011111,340.6661132,AcroB,37
357.05,-53.93222222,56.54060573,AcroB,37
357.275,11.88333333,34.57025132,AcroB,37
357.5,27.73888889,26.42417486,AcroB,37
357.724,-8.778888889,22.71023321,AcroB,37
357.949,-38.99222222,27.83752607,AcroB,37
358.174,-15.87888889,16.67631141,AcroB,37
358.399,-7.363333333,21.98245337,AcroB,37
358.624,-25.87,22.22329358,AcroB,37
358.848,-12.81333333,15.41987774,AcroB,37
359.073,-15.24555556,23.43150678,AcroB,37
359.298,0.82,18.54587321,AcroB,37
359.522,-18.99555556,22.40908384,AcroB,37
359.747,-9.682222222,19.75867888,AcroB,37
359.972,2.64,22.04827771,AcroB,37
360.196,11.90555556,24.36645193,AcroB,37
360.421,23.84222222,19.37585695,AcroB,37
360.645,48.91777778,20.02472381,AcroB,37
360.87,43.11333333,25.4810864,AcroB,37
361.095,59.43333333,27.75664847,AcroB,37
361.319,61.10666667,20.85591961,AcroB,37
361.544,52.02333333,22.11526077,AcroB,37
361.768,48.74333333,24.02632275,AcroB,37
361.993,54.72666667,20.36173831,AcroB,37
362.217,46.54555556,21.87999846,AcroB,37
362.441,55.76888889,18.83551221,AcroB,37
362.666,56.72444444,20.62949894,AcroB,37
362.89,68.96444444,18.42000264,AcroB,37
363.115,65.65777778,14.30883528,AcroB,37
363.339,66.37888889,12.5726779,AcroB,37
363.563,66.02222222,12.55962579,AcroB,37
363.788,63.77777778,19.19520155,AcroB,37
364.012,78.92222222,23.80870617,AcroB,37
364.236,63.09444444,23.65330745,AcroB,37
364.461,39.48111111,23.84115207,AcroB,37
364.685,53.65111111,20.30711592,AcroB,37
364.909,19.09444444,25.39015148,AcroB,37
365.133,11.69,31.20200067,AcroB,37
365.358,10.13,37.82314992,AcroB,37
365.582,-3.483333333,46.25989703,AcroB,37
365.806,7.477777778,31.29011172,AcroB,37
366.03,20.78,19.00790537,AcroB,37
366.254,27.67111111,16.22413662,AcroB,37
366.479,26.73888889,14.63650394,AcroB,37
