wavelength,mean_reflectance,se_reflectance,Species,Temp
347.817,7.6,23.30579322,AcroG,37
348.042,-7.247777778,28.39116025,AcroG,37
348.268,-14.53,27.39680135,AcroG,37
348.493,-49.82,35.81457234,AcroG,37
348.719,-44.62888889,22.83052576,AcroG,37
348.944,434.6444444,132.6625279,AcroG,37
349.17,70.49111111,23.09786883,AcroG,37
349.395,82.77888889,23.85758489,AcroG,37
349.621,56.22777778,14.4751624,AcroG,37
349.846,57.50333333,18.04595389,AcroG,37
350.071,44.20111111,27.87831311,AcroG,37
350.297,-0.602222222,81.67940785,AcroG,37
350.522,-1.041111111,61.71750286,AcroG,37
350.747,-99.98444444,92.4964268,AcroG,37
350.973,-56.56888889,53.78800603,AcroG,37
351.198,-31.22888889,25.45672784,AcroG,37
351.423,-69.68666667,41.5496577,AcroG,37
351.649,-163.6344444,121.2436923,AcroG,37
351.874,-12.66555556,62.84216911,AcroG,37
352.099,-4.768888889,69.56396131,AcroG,37
352.324,-26.82888889,107.9750051,AcroG,37
352.55,-19.16666667,50.62309358,AcroG,37
352.775,6.318888889,22.50637749,AcroG,37
353,-2.896666667,30.6953187,AcroG,37
353.225,8.124444444,24.47127748,AcroG,37
353.45,4.311111111,21.64855162,AcroG,37
353.675,11.78,20.01312199,AcroG,37
353.9,20.08555556,19.8914937,AcroG,37
354.125,33.63222222,13.90486641,AcroG,37
354.351,35.02666667,19.9332784,AcroG,37
354.576,39.15777778,20.99466726,AcroG,37
354.801,27.22,15.88895231,AcroG,37
355.026,-7.414444444,28.2347101,AcroG,37
355.251,13.92222222,22.30338708,AcroG,37
355.476,15.63333333,19.77789167,AcroG,37
355.701,-34.29,64.75991225,AcroG,37
355.926,-32.02888889,108.6071142,AcroG,37
356.15,-23.82777778,71.64540775,AcroG,37
356.375,-159.5933333,118.8645933,AcroG,37
356.6,1277.81,828.660124,AcroG,37
356.825,-854.1011111,444.0346545,AcroG,37
357.05,-95.44222222,79.23376412,AcroG,37
357.275,2.844444444,46.35672755,AcroG,37
357.5,51.43777778,32.43962041,AcroG,37
357.724,25.16333333,38.64181143,AcroG,37
357.949,-7.635555556,48.92021028,AcroG,37
358.174,2.125555556,26.59559304,AcroG,37
358.399,-20.17111111,22.98843444,AcroG,37
358.624,-25.44666667,22.28671472,AcroG,37
358.848,-18.22,15.85462129,AcroG,37
359.073,-28.99555556,18.23583712,AcroG,37
359.298,-12.20444444,16.68432654,AcroG,37
359.522,-42.74333333,22.89362829,AcroG,37
359.747,-39.32444444,18.43768071,AcroG,37
359.972,-41.75777778,17.39570804,AcroG,37
360.196,-30.47888889,18.75792023,AcroG,37
360.421,-6.12,14.4361899,AcroG,37
360.645,24.20777778,12.56386145,AcroG,37
360.87,33.86444444,19.7540641,AcroG,37
361.095,35.52,25.62206408,AcroG,37
361.319,49.99111111,16.9186079,AcroG,37
361.544,47.11,16.78930766,AcroG,37
361.768,50.44888889,16.6243041,AcroG,37
361.993,62.24,21.1256089,AcroG,37
362.217,50.13666667,17.92126679,AcroG,37
362.441,56.76,19.10479787,AcroG,37
362.666,55.9,17.58488555,AcroG,37
362.89,66.86555556,14.30490909,AcroG,37
363.115,65.24222222,14.07902525,AcroG,37
363.339,69.51222222,13.78368593,AcroG,37
363.563,69.18111111,15.10689907,AcroG,37
363.788,66.51666667,19.67567343,AcroG,37
364.012,76.29333333,24.54204796,AcroG,37
364.236,53.07444444,21.84845481,AcroG,37
364.461,34.00666667,23.49638552,AcroG,37
364.685,50.26777778,26.16389105,AcroG,37
364.909,25.78333333,26.90283153,AcroG,37
365.133,25.49444444,38.05401941,AcroG,37
365.358,25.25333333,34.55374406,AcroG,37
365.582,11.78444444,39.48036057,AcroG,37
365.806,9.42,26.36216634,AcroG,37
366.03,20.37,17.35126761,AcroG,37
366.254,30.70666667,16.54202175,AcroG,37
366.479,26.06888889,13.52170983,AcroG,37
366.703,35.40222222,13.25443045,AcroG,37
366.927,45.19666667,17.58491775,AcroG,37
367.151,43.56,16.50117021,AcroG,37
367.375,44.45333333,16.53080332,AcroG,37
367.599,36.38,13.37515284,AcroG,37
367.823,25.99777778,12.8804392,AcroG,37
368.047,29.02888889,14.70426642,AcroG,37
368.271,36.79333333,29.02325985,AcroG,37
368.495,30.62555556,46.03994686,AcroG,37
368.719,25.65333333,47.89624896,AcroG,37
368.943,49.97777778,45.86169327,AcroG,37
369.167,29.76111111,68.19522811,AcroG,37
369.391,10.47555556,46.29911877,AcroG,37
369.615,-1.285555556,55.31197866,AcroG,37
369.839,1.42,58.83339183,AcroG,37
370.062,-56.28777778,126.5874421,AcroG,37
370.286,-9.16,109.544391,AcroG,37
370.51,-38.91,75.43441659,AcroG,37
370.734,-50.75,39.57208377,AcroG,37
370.958,-117.45,40.53419999,AcroG,37
371.181,-109.2311111,55.13090974,AcroG,37
371.405,-214.9622222,63.96568375,AcroG,37
371.629,-284.34,72.33447949,AcroG,37
371.853,-171.36,49.84066966,AcroG,37
372.076,-173.6544444,36.53689934,AcroG,37
372.3,-131.23,37.91027779,AcroG,37
372.524,-29.57,19.68362943,AcroG,37
372.747,-28.81444444,20.02321717,AcroG,37
372.971,-58.25,42.5202599,AcroG,37
373.195,-54.06222222,65.77488228,AcroG,37
373.418,-95.96888889,125.1609107,AcroG,37
373.642,134.0944444,93.27343672,AcroG,37
373.865,101.0244444,63.41692382,AcroG,37
374.089,194.8311111,179.0421905,AcroG,37
374.312,213.15,185.8117293,AcroG,37
374.536,98.44444444,71.01209143,AcroG,37
374.759,56.90888889,70.4960587,AcroG,37
374.983,46.22555556,50.3917202,AcroG,37
375.206,53.83444444,46.53231891,AcroG,37
375.43,76.95,67.87298623,AcroG,37
375.653,76.58222222,78.08451565,AcroG,37
375.877,85.10111111,55.28318714,AcroG,37
376.1,86.23,79.90449633,AcroG,37
376.323,60.14555556,144.3638293,AcroG,37
376.547,26.38333333,146.3312412,AcroG,37
376.77,36.85888889,59.00376557,AcroG,37
376.994,1.784444444,90.09499588,AcroG,37
377.217,26.59222222,97.01030704,AcroG,37
377.44,43.76555556,51.70443745,AcroG,37
377.663,40.58,60.88714376,AcroG,37
377.887,22.34444444,41.18961499,AcroG,37
378.11,46.92555556,24.35516607,AcroG,37
378.333,9.657777778,46.50969623,AcroG,37
378.556,46.42444444,35.61973617,AcroG,37
378.78,78.76555556,48.45695073,AcroG,37
379.003,93.70666667,120.6014103,AcroG,37
379.226,-1095.018889,3890.53743,AcroG,37
379.449,111.8255556,101.4573189,AcroG,37
379.672,79.91777778,36.62613175,AcroG,37
379.895,55.95111111,25.20712376,AcroG,37
380.118,9.577777778,47.54878849,AcroG,37
380.341,23.85888889,44.648964,AcroG,37
380.564,36.34888889,33.15652083,AcroG,37
380.787,29.02111111,36.53408545,AcroG,37
381.01,53.34111111,20.19503858,AcroG,37
381.233,51.05555556,18.44954167,AcroG,37
381.456,42.38777778,14.98557124,AcroG,37
381.679,33.22555556,17.45662392,AcroG,37
381.902,6.682222222,13.31902412,AcroG,37
