wavelength,mean_reflectance,se_reflectance,Species,Temp
347.817,25.47666667,13.9323143,MontiB,40
348.042,6.854444444,16.22441539,MontiB,40
348.268,8.471111111,27.75465949,MontiB,40
348.493,-13.03333333,35.64104414,MontiB,40
348.719,-12.82666667,25.15326453,MontiB,40
348.944,344.6666667,158.5231943,MontiB,40
349.17,90.72555556,25.19778172,MontiB,40
349.395,78.58222222,18.91562822,MontiB,40
349.621,50.14,15.99078497,MontiB,40
349.846,61.53888889,17.95796984,MontiB,40
350.071,54.89,11.66099996,MontiB,40
350.297,41.91111111,37.45944743,MontiB,40
350.522,34.44666667,51.80567377,MontiB,40
350.747,0.152222222,91.09721519,MontiB,40
350.973,26.06222222,62.45571217,MontiB,40
351.198,14.67555556,39.71408404,MontiB,40
351.423,-11.04111111,66.61625006,MontiB,40
351.649,-16.36111111,172.9825184,MontiB,40
351.874,14.14222222,71.7982862,MontiB,40
352.099,22.82555556,101.8035037,MontiB,40
352.324,-16.08777778,124.3256577,MontiB,40
352.55,-15.05555556,55.8862881,MontiB,40
352.775,13.53333333,31.59788365,MontiB,40
353,1.266666667,36.28335749,MontiB,40
353.225,4.09,26.49777444,MontiB,40
353.45,-1.29,26.4927503,MontiB,40
353.675,8.697777778,30.18738858,MontiB,40
353.9,4.883333333,32.16666149,MontiB,40
354.125,24.85666667,21.96899641,MontiB,40
354.351,32.59777778,27.74091777,MontiB,40
354.576,31.89111111,26.96723453,MontiB,40
354.801,22.95777778,22.36156105,MontiB,40
355.026,3.716666667,28.75413214,MontiB,40
355.251,33.00777778,26.49242919,MontiB,40
355.476,30.51333333,20.81889407,MontiB,40
355.701,60.75222222,76.63059857,MontiB,40
355.926,55.67777778,138.0296373,MontiB,40
356.15,-6.036666667,63.78026542,MontiB,40
356.375,-98.44666667,95.77524457,MontiB,40
356.6,1067.357778,874.1022487,MontiB,40
356.825,-659.5977778,392.1815272,MontiB,40
357.05,-29.25666667,70.35839805,MontiB,40
357.275,39.40333333,37.88678839,MontiB,40
357.5,47.67666667,33.02621332,MontiB,40
357.724,1.976666667,47.02183198,MontiB,40
357.949,-21.32,56.76797075,MontiB,40
358.174,-20.95555556,28.69961188,MontiB,40
358.399,-11.12777778,28.97422546,MontiB,40
358.624,-26.37777778,42.77326527,MontiB,40
358.848,-8.15,37.00666357,MontiB,40
359.073,-23.83,33.67265718,MontiB,40
359.298,-10.07222222,29.58187723,MontiB,40
359.522,-29.80333333,38.47420374,MontiB,40
359.747,-28.49555556,37.53586601,MontiB,40
359.972,-17.68555556,33.92255982,MontiB,40
360.196,5.763333333,31.48419943,MontiB,40
360.421,11.59777778,27.86973009,MontiB,40
360.645,42.04,20.04941037,MontiB,40
360.87,41.31111111,22.35695543,MontiB,40
361.095,52.13,24.62540461,MontiB,40
361.319,59.83111111,17.72509594,MontiB,40
361.544,60.71,18.78418903,MontiB,40
361.768,58.89222222,17.62401899,MontiB,40
361.993,66.60666667,13.69897238,MontiB,40
362.217,57.29888889,12.31193042,MontiB,40
362.441,60.76222222,10.39796751,MontiB,40
362.666,53.69,11.19621117,MontiB,40
362.89,66.57,14.39270832,MontiB,40
363.115,62.61888889,11.1819436,MontiB,40
363.339,65.22111111,11.22257048,MontiB,40
363.563,71.22666667,12.83875916,MontiB,40
363.788,72.11111111,24.4453103,MontiB,40
364.012,78.8,29.17946709,MontiB,40
364.236,64.50555556,27.2850486,MontiB,40
364.461,35.79,26.07435128,MontiB,40
364.685,53.38666667,22.15779068,MontiB,40
364.909,25.89666667,22.86228895,MontiB,40
365.133,16.04444444,29.83567153,MontiB,40
365.358,24.54,20.65245147,MontiB,40
365.582,14.26222222,18.78754312,MontiB,40
365.806,11.79888889,13.07301812,MontiB,40
366.03,19.91555556,7.657580055,MontiB,40
366.254,30.85888889,6.013477166,MontiB,40
366.479,27.78,7.372435695,MontiB,40
366.703,34.70777778,9.288506121,MontiB,40
366.927,48.47333333,12.35800806,MontiB,40
367.151,41.84888889,13.62738156,MontiB,40
367.375,52.47333333,17.77314516,MontiB,40
367.599,50.85333333,18.88762949,MontiB,40
367.823,40.00111111,17.05084807,MontiB,40
368.047,47.06888889,18.90933077,MontiB,40
368.271,67.72666667,33.23156402,MontiB,40
368.495,68.54555556,57.7605904,MontiB,40
368.719,59.65111111,48.160829,MontiB,40
368.943,83.73222222,57.73071377,MontiB,40
369.167,73.17333333,61.26028865,MontiB,40
369.391,44.16666667,50.22191991,MontiB,40
369.615,16.66444444,53.48647263,MontiB,40
369.839,24.73222222,55.29275817,MontiB,40
370.062,23.61333333,115.4642029,MontiB,40
370.286,21.62888889,126.6548683,MontiB,40
370.51,-8.706666667,122.6265713,MontiB,40
370.734,-37.50888889,86.11904745,MontiB,40
370.958,-114.6066667,156.0626324,MontiB,40
371.181,-104.07,129.3365007,MontiB,40
