Species	Temp	Pre_wavelength	Pre_mean_emission	Pre_se_emission	Post_wavelength	Post_mean_emission	Post_se_emission	Relative_emission	Condition
MontiG	28	484.998	5.2277778	0.46176613	484.998	3.78	0.04226311	-1.4477778	LL
MontiG	34	484.998	4.6922222	0.39411838	484.998	4.9888889	0.05638987	0.2966667	LL
MontiG	37	484.998	4.4011111	0.36657584	484.998	2.5866667	0.04894364	-1.8144444	LL
MontiG	40	484.998	6.64	0.45553318	484.998	1.6566667	0.16698008	-4.9833333	LL
MontiG	28	572.879	3.9733333	0.28645566	572.879	3.4133333	0.02234986	-0.56	LL
MontiG	34	572.879	3.4866667	0.30346294	572.879	4.2822222	0.03386999	0.7955555	LL
MontiG	37	572.879	3.7022222	0.34688058	572.879	7.3277778	0.11513699	3.6255556	LL
MontiG	40	572.879	4.5355556	0.23620542	572.879	5.2722222	0.40585211	0.7366666	LL
MontiG	28	604.656	4.0944444	0.29994498	604.656	3.5666667	0.03131706	-0.5277777	LL
MontiG	34	604.656	3.62	0.32556043	604.656	4.4822222	0.03391482	0.8622222	LL
MontiG	37	604.656	3.8288889	0.36351763	604.656	7.0088889	0.11238243	3.18	LL
MontiG	40	604.656	4.63	0.2370788	604.656	5.0688889	0.39612144	0.4388889	LL
MontiG	28	649.746	1.6133333	0.13354458	649.746	1.4388889	0.02064731	-0.1744444	LL
MontiG	34	649.746	1.4822222	0.11958501	649.746	1.9255556	0.01593067	0.4433334	LL
MontiG	37	649.746	1.5711111	0.13956127	649.746	4.2644444	0.05743269	2.6933333	LL
MontiG	40	649.746	1.8844444	0.0939852	649.746	3.0088889	0.28690889	1.1244445	LL
MontiG	28	662.388	0.9611111	0.0854072	662.388	0.8733333	0.0270352	-0.0877778	LL
MontiG	34	662.388	0.9133333	0.07292475	662.388	1.1622222	0.02254144	0.2488889	LL
MontiG	37	662.388	0.9277778	0.08466979	662.388	2.9088889	0.06447466	1.9811111	LL
MontiG	40	662.388	1.16	0.09042747	662.388	2.0166667	0.21435796	0.8566667	LL
MontiB	28	585.721	1.8855556	0.02182861	585.721	2.1011111	0.02113161	0.2155555	LL
MontiB	34	585.721	2.1355556	0.28276962	585.721	4.7533333	0.02506505	2.6177777	LL
MontiB	37	585.721	2.0855556	0.13594462	585.721	4.7344444	0.05335592	2.6488888	LL
MontiB	40	585.721	1.73	0.09098893	585.721	2.3577778	0.06640045	0.6277778	LL
MontiB	28	607.934	3.8866667	0.04957114	607.934	3.8266667	0.04166299	-0.06	LL
MontiB	34	607.934	4.5033333	0.5024216	607.934	6.7577778	0.02298071	2.2544445	LL
MontiB	37	607.934	3.9477778	0.22706655	607.934	5.0955556	0.03888889	1.1477778	LL
MontiB	40	607.934	4.1311111	0.25720937	607.934	2.6077778	0.06466328	-1.5233333	LL
MontiB	28	649.746	1.9622222	0.03413906	649.746	1.9611111	0.03069298	-0.0011111	LL
MontiB	34	649.746	2.4788889	0.27712003	649.746	3.7222222	0.04360242	1.2433333	LL
MontiB	37	649.746	2.0922222	0.14104085	649.746	3.1711111	0.03631504	1.0788889	LL
MontiB	40	649.746	2.2088889	0.14064872	649.746	1.5888889	0.04166757	-0.62	LL
MontiB	28	667.984	1.0655556	0.04498327	667.984	0.9688889	0.0276599	-0.0966667	LL
MontiB	34	667.984	1.1655556	0.11005381	667.984	1.8111111	0.03405577	0.6455555	LL
MontiB	37	667.984	1.0722222	0.08203964	667.984	2.0855556	0.06340006	1.0133334	LL
MontiB	40	667.984	1.14	0.05509791	667.984	0.9588889	0.04396096	-0.1811111	LL
AcroG	28	516.18	3.8277778	0.45737445	516.18	3.6444444	0.06075076	-0.1833334	LL
AcroG	34	516.18	5.0322222	0.15936423	516.18	3.1988889	0.53675696	-1.8333333	LL
AcroG	37	516.18	3.9411111	0.19970187	516.18	8.2011111	0.73439323	4.26	LL
AcroG	40	516.18	5.7511111	0.08420362	516.18	3.3922222	0.23224181	-2.3588889	LL
AcroG	28	577.443	4.0611111	0.12015884	577.443	2.8811111	0.0725261	-1.18	LL
AcroG	34	577.443	3.9544444	0.28543756	577.443	3.9488889	0.47483614	-0.0055555	LL
AcroG	37	577.443	4.1755556	0.37306934	577.443	10.6177778	0.91235268	6.4422222	LL
AcroG	40	577.443	3.7366667	0.0580735	577.443	5.2011111	0.28669713	1.4644444	LL
AcroG	28	604.656	4.4311111	0.14293784	604.656	3.0266667	0.0774266	-1.4044444	LL
AcroG	34	604.656	4.1788889	0.32096878	604.656	4.2644444	0.50232579	0.0855555	LL
AcroG	37	604.656	4.6122222	0.43358847	604.656	10.4955556	0.87481785	5.8833334	LL
AcroG	40	604.656	3.8011111	0.05161712	604.656	5.1544444	0.28387417	1.3533333	LL
AcroG	28	649.746	2.0055556	0.11537788	649.746	1.4011111	0.04211303	-0.6044445	LL
AcroG	34	649.746	1.89	0.19341334	649.746	1.8488889	0.22347165	-0.0411111	LL
AcroG	37	649.746	2.0766667	0.17121386	649.746	7.6411111	0.55970246	5.5644444	LL
AcroG	40	649.746	1.9011111	0.04360687	649.746	3.3977778	0.21035418	1.4966667	LL
AcroG	28	667.984	1.0566667	0.03206776	667.984	0.8188889	0.04587578	-0.2377778	LL
AcroG	34	667.984	1.1744444	0.11305754	667.984	0.9144444	0.09749738	-0.26	LL
AcroG	37	667.984	1.0466667	0.08884756	667.984	5.5988889	0.41834703	4.5522222	LL
AcroG	40	667.984	1.2266667	0.05504801	667.984	2.3288889	0.15184496	1.1022222	LL
AcroB	28	581.999	6.1211111	0.56503018	581.999	3.6944444	0.04183841	-2.4266667	LL
AcroB	34	581.999	4.5955556	0.32142721	581.999	3.7411111	0.2429656	-0.8544445	LL
AcroB	37	581.999	3.7	0.41430983	581.999	10.1833333	0.16883887	6.4833333	LL
AcroB	40	581.999	4.1933333	0.66638778	581.999	7.3988889	0.19242986	3.2055556	LL
AcroB	28	604.656	7.4	0.61516356	604.656	4.65	0.04645095	-2.75	LL
AcroB	34	604.656	5.5588889	0.32404753	604.656	4.6444444	0.31086274	-0.9144445	LL
AcroB	37	604.656	4.6233333	0.51624079	604.656	10.2333333	0.18521788	5.61	LL
AcroB	40	604.656	5.0544444	0.779471	604.656	7.3755556	0.18099173	2.3211112	LL
AcroB	28	649.746	4.0277778	0.45788577	649.746	2.5322222	0.04557867	-1.4955556	LL
AcroB	34	649.746	2.9722222	0.20308255	649.746	2.6933333	0.25260893	-0.2788889	LL
AcroB	37	649.746	2.4955556	0.26880367	649.746	7.44	0.12528064	4.9444444	LL
AcroB	40	649.746	2.7755556	0.51377107	649.746	5.2611111	0.16458533	2.4855555	LL
AcroB	28	667.984	2.0766667	0.26744794	667.984	1.3577778	0.03657109	-0.7188889	LL
AcroB	34	667.984	1.53	0.1068371	667.984	1.5322222	0.18449072	0.0022222	LL
AcroB	37	667.984	1.3788889	0.14616043	667.984	4.9433333	0.09451088	3.5644444	LL
AcroB	40	667.984	1.5166667	0.30540404	667.984	3.6355556	0.11762409	2.1188889	LL
MontiG	28	484.998	5.3033333	0.067290065	484.998	5.0844444	0.60305117	-0.2188889	HL
